date,price
2025-11-17,6875.0
2025-11-18,6700.0
2025-11-19,6750.0
2025-11-20,6750.0
2025-11-21,6750.0
2025-11-22,6600.0
2025-11-24,6500.0
2025-11-25,6500.0
2025-11-26,6625.0
2025-11-27,6750.0
2025-11-28,6625.0
2025-11-29,6750.0
2025-12-01,6650.0
2025-12-02,6500.0
2025-12-03,6450.0
2025-12-04,6450.0
2025-12-05,6450.0
2025-12-06,6625.0
2025-12-08,6650.0
2025-12-09,6650.0
2025-12-10,6700.0
2025-12-11,6750.0
2025-12-12,6750.0
2025-12-13,6700.0
2025-12-15,6800.0
2025-12-16,6875.0
2025-12-17,6900.0
2025-12-18,6850.0
2025-12-19,6850.0
2025-12-20,6850.0
2025-12-22,6850.0
2025-12-23,6800.0
2025-12-24,6800.0
2025-12-25,6875.0
2025-12-26,6900.0
2025-12-27,6900.0
2025-12-29,6900.0
2025-12-30,6975.0
2025-12-31,6975.0
2026-01-01,6975.0
2026-01-02,7050.0
2026-01-03,7075.0
2026-01-05,7250.0
2026-01-06,7500.0
2026-01-07,7500.0
2026-01-08,7500.0
2026-01-09,7500.0
2026-01-10,7500.0
2026-01-12,7500.0
2026-01-13,7500.0
2026-01-16,7600.0
2026-01-17,7600.0
2026-01-19,7600.0
2026-01-20,7600.0
2026-01-21,7625.0
2026-01-22,7550.0
2026-01-24,7650.0
2026-01-27,7600.0
2026-01-28,7650.0
2026-01-29,7650.0
2026-01-30,7675.0
2026-01-31,7625.0
2026-02-02,7650.0
2026-02-03,7625.0
2026-02-04,7675.0
2026-02-05,7700.0
2026-02-06,7650.0
2026-02-07,7650.0
2026-02-09,7650.0
2026-02-10,7300.0
2026-02-11,7525.0
2026-02-12,7400.0
2026-02-13,7500.0
2026-02-14,7550.0
2026-02-16,7600.0
2026-02-17,7600.0
2026-02-18,7550.0
2026-02-19,7550.0
2026-02-20,7650.0
2026-02-21,7650.0
2026-02-23,7750.0
2026-02-24,7600.0
2026-02-25,7700.0
2026-02-26,7500.0
2026-02-27,7550.0
2026-02-28,7700.0
2026-03-02,7500.0
2026-03-05,7750.0
2026-03-06,7650.0
2026-03-07,7750.0
2026-03-09,7725.0
2026-03-10,7800.0
2026-03-11,7750.0
2026-03-12,7750.0
2026-03-13,7800.0
2026-03-14,7250.0
2026-03-16,7250.0
2026-03-17,7650.0
2026-03-18,7750.0
2026-03-23,7375.0
2026-03-24,7500.0
2026-04-01,7400.0
2026-04-03,7150.0
2026-04-04,7500.0
2026-04-06,7650.0
2026-04-07,7500.0
2026-04-08,8250.0
2026-04-09,8175.0
2026-04-10,8225.0
2026-04-11,8250.0
2026-04-13,8350.0
2026-04-14,8000.0
2026-04-15,8150.0
2026-04-16,7750.0
2026-04-17,7500.0
2026-04-18,7500.0
2026-04-20,7550.0
2026-04-21,7500.0
2026-04-22,7675.0
2026-04-23,7650.0
2026-04-24,7625.0
2026-04-25,7500.0
2026-04-28,7550.0
2026-04-29,7600.0
2026-04-30,7500.0
2026-05-01,7625.0
2026-05-02,7600.0
2026-05-04,7650.0
2026-05-05,7600.0
2026-05-06,8500.0
2026-05-07,7550.0
2026-05-08,8000.0
2026-05-11,8100.0
2026-05-12,8150.0
2026-05-13,8200.0
2026-05-14,8500.0
2026-05-15,8850.0
2026-05-16,8250.0
2026-05-18,8350.0
2026-05-19,8500.0
2026-05-20,8255.0
2026-06-01,7175.0
2026-06-02,7150.0
2026-06-12,8300.0
2026-08-24,7750.0
2026-08-26,8875.0
2026-08-27,8750.0
2026-08-29,9000.0
2026-08-31,8800.0
2026-09-08,9250.0
2026-09-09,9600.0
2026-09-10,9575.0
2026-09-11,9700.0
2026-09-12,9600.0
2026-09-14,9900.0
2026-09-16,9850.0
2026-09-17,8850.0
2026-09-18,8750.0
2026-09-19,8850.0
2026-09-21,8875.0
2026-09-22,9000.0
2026-09-23,9000.0
