date,price
2025-01-01,7075.0
2025-01-02,7100.0
2025-01-03,7125.0
2025-01-04,7150.0
2025-01-06,7150.0
2025-01-07,7150.0
2025-01-08,7150.0
2025-01-09,7150.0
2025-01-10,7150.0
2025-01-11,7200.0
2025-01-13,7250.0
2025-01-16,7250.0
2025-01-17,7300.0
2025-01-18,7325.0
2025-01-20,7250.0
2025-01-21,7175.0
2025-01-22,7250.0
2025-01-23,7250.0
2025-01-24,7250.0
2025-01-25,7150.0
2025-01-27,7250.0
2025-01-28,7150.0
2025-01-29,7250.0
2025-01-30,7250.0
2025-01-31,7200.0
2025-02-01,7150.0
2025-02-03,7150.0
2025-02-04,7150.0
2025-02-05,7150.0
2025-02-06,7150.0
2025-02-07,7175.0
2025-02-08,7150.0
2025-02-10,7150.0
2025-02-11,7150.0
2025-02-12,7150.0
2025-02-13,7200.0
2025-02-14,7100.0
2025-02-15,7100.0
2025-02-17,7125.0
2025-02-18,7150.0
2025-02-19,7100.0
2025-02-20,7150.0
2025-02-21,7150.0
2025-02-22,7150.0
2025-02-24,7200.0
2025-02-25,7250.0
2025-02-27,6800.0
2025-02-28,6850.0
2025-03-01,6850.0
2025-03-04,7075.0
2025-03-05,6950.0
2025-03-06,7100.0
2025-03-07,7125.0
2025-03-08,7200.0
2025-03-10,7125.0
2025-03-11,7100.0
2025-03-12,7100.0
2025-03-15,7125.0
2025-03-17,7125.0
2025-03-18,7100.0
2025-03-19,7100.0
2025-03-20,7150.0
2025-03-21,7125.0
2025-03-22,7100.0
2025-03-24,7050.0
2025-04-01,7125.0
2025-04-02,7100.0
2025-04-03,7175.0
2025-04-04,7200.0
2025-04-05,7125.0
2025-04-07,7200.0
2025-04-08,7300.0
2025-04-09,7300.0
2025-04-10,7275.0
2025-04-11,7350.0
2025-04-15,7250.0
2025-04-16,7250.0
2025-04-17,7375.0
2025-04-18,7250.0
2025-04-19,7400.0
2025-04-21,7450.0
2025-04-22,7450.0
2025-04-23,7500.0
2025-04-24,7550.0
2025-04-25,7650.0
2025-05-12,7250.0
2025-05-13,7300.0
2025-05-14,7375.0
2025-05-15,7375.0
2025-05-16,7500.0
2025-05-17,7500.0
2025-05-19,7375.0
2025-05-20,7375.0
2025-05-21,7400.0
2025-05-22,7250.0
2025-05-23,7400.0
2025-05-24,7325.0
2025-05-26,7250.0
2025-05-27,7050.0
2025-05-28,7425.0
2025-05-29,7400.0
2025-05-30,7100.0
2025-05-31,7250.0
2025-06-02,7200.0
2025-06-03,7300.0
2025-06-05,7250.0
2025-06-06,7500.0
2025-06-07,7500.0
2025-06-09,7500.0
2025-06-10,7625.0
2025-06-11,7500.0
2025-06-12,7500.0
2025-06-13,7550.0
2025-06-14,7650.0
2025-06-16,7500.0
2025-09-02,6250.0
2025-09-03,6250.0
2025-09-04,6500.0
2025-09-05,6625.0
2025-09-06,6750.0
2025-09-10,6650.0
2025-09-11,6700.0
2025-09-12,6400.0
2025-09-13,6700.0
2025-09-15,6900.0
2025-09-16,7050.0
2025-09-17,6750.0
2025-09-18,6750.0
2025-09-19,6750.0
2025-09-20,6875.0
2025-09-22,6875.0
2025-09-23,6750.0
2025-09-24,6750.0
2025-09-25,6750.0
2025-09-26,6875.0
2025-09-27,6950.0
2025-09-30,6900.0
2025-10-01,6850.0
2025-10-03,6850.0
2025-10-04,6900.0
2025-10-06,7000.0
2025-10-07,7000.0
2025-10-08,7000.0
2025-10-09,7250.0
2025-10-10,7400.0
2025-10-11,7300.0
2025-10-13,7125.0
2025-10-14,7125.0
2025-10-15,7000.0
2025-10-16,7000.0
2025-10-17,7050.0
2025-10-27,7250.0
2025-10-28,7250.0
2025-10-29,7300.0
2025-10-30,7250.0
2025-10-31,7250.0
2025-11-01,7250.0
2025-11-03,7250.0
2025-11-04,7200.0
2025-11-05,7250.0
2025-11-07,7250.0
2025-11-08,7250.0
2025-11-10,7125.0
2025-11-11,7100.0
2025-11-12,7050.0
2025-11-13,7125.0
2025-11-14,6950.0
2025-11-15,6875.0
