date,price
2025-01-01,6635.0
2025-01-02,6855.0
2025-01-03,6840.0
2025-01-04,6675.0
2025-01-06,6885.0
2025-01-07,6890.0
2025-01-08,6955.0
2025-01-09,7030.0
2025-01-10,6715.0
2025-01-11,6795.0
2025-01-13,6860.0
2025-01-15,6720.0
2025-01-16,6935.0
2025-01-17,6990.0
2025-01-18,6805.0
2025-01-20,6775.0
2025-01-21,6775.0
2025-01-22,6940.0
2025-01-23,6915.0
2025-01-24,6775.0
2025-01-25,6705.0
2025-01-27,6730.0
2025-01-28,6730.0
2025-01-29,6725.0
2025-01-30,6605.0
2025-01-31,6605.0
2025-02-01,6615.0
2025-02-03,6550.0
2025-02-04,6555.0
2025-02-05,6485.0
2025-02-06,6560.0
2025-02-07,6675.0
2025-02-08,6820.0
2025-02-10,6780.0
2025-02-11,6715.0
2025-02-12,6680.0
2025-02-13,6730.0
2025-02-14,6740.0
2025-02-15,6820.0
2025-02-17,6780.0
2025-02-18,6785.0
2025-02-19,6900.0
2025-02-20,6800.0
2025-02-21,6810.0
2025-02-22,6820.0
2025-02-24,6715.0
2025-02-25,6925.0
2025-02-27,6610.0
2025-02-28,6645.0
2025-03-01,6725.0
2025-03-03,6905.0
2025-03-04,6635.0
2025-03-05,6645.0
2025-03-06,6805.0
2025-03-07,6755.0
2025-03-08,6820.0
2025-03-18,6775.0
2025-03-19,6160.0
2025-03-20,6410.0
2025-03-21,6680.0
2025-03-22,6425.0
2025-03-24,6835.0
2025-03-25,6640.0
2025-04-02,7040.0
2025-04-03,7110.0
2025-04-04,7060.0
2025-04-08,7095.0
2025-04-09,6830.0
2025-04-10,7110.0
2025-04-11,6450.0
2025-04-14,7070.0
2025-04-17,7085.0
2025-04-18,6960.0
2025-04-21,7190.0
2025-04-22,7140.0
2025-04-23,7095.0
2025-04-24,6410.0
2025-04-25,7165.0
2025-04-26,7485.0
2025-04-28,7200.0
2025-05-01,6965.0
2025-05-02,7225.0
2025-05-03,6725.0
2025-05-05,6500.0
2025-05-06,7140.0
2025-05-09,7215.0
2025-05-10,6375.0
2025-05-12,7000.0
2025-05-13,7290.0
2025-05-14,7185.0
2025-05-15,7050.0
2025-05-16,7095.0
2025-05-17,6430.0
2025-05-19,6660.0
2025-05-21,4500.0
2025-05-22,7155.0
2025-05-23,6880.0
2025-05-24,6375.0
2025-05-26,6185.0
2025-05-28,6575.0
2025-05-29,7360.0
2025-05-30,7360.0
2025-06-02,6975.0
2025-06-03,6890.0
2025-06-04,7100.0
2025-06-10,7650.0
2025-06-11,6240.0
2025-06-12,7255.0
2025-06-14,7175.0
2025-06-21,7180.0
2025-09-22,6045.0
2025-09-23,6320.0
2025-09-24,5740.0
2025-09-25,5835.0
2025-09-26,5530.0
2025-09-27,5785.0
2025-09-29,6025.0
2025-09-30,6250.0
2025-10-01,5780.0
2025-10-03,6250.0
2025-10-04,5300.0
2025-10-06,6030.0
2025-10-08,6180.0
2025-10-09,6365.0
2025-10-11,6605.0
2025-10-13,6480.0
2025-10-14,6350.0
2025-10-15,6085.0
2025-10-16,6105.0
2025-10-17,6265.0
2025-10-27,6750.0
2025-10-30,7215.0
2025-10-31,7395.0
2025-11-01,6615.0
2025-11-03,6485.0
2025-11-04,6625.0
2025-11-08,6288.0
2025-11-11,6285.0
2025-11-14,6390.0
2025-11-15,6350.0
2025-11-17,6350.0
2025-11-20,6370.0
2025-11-21,6342.0
2025-11-24,6292.0
2025-11-25,6330.0
2025-11-27,6450.0
2025-11-28,6480.0
2025-11-29,6448.0
2025-12-01,6502.0
2025-12-03,6407.0
2025-12-04,6312.0
2025-12-05,6395.0
2025-12-08,6577.0
2025-12-09,6502.0
2025-12-10,6485.0
2025-12-11,6482.0
2025-12-12,6438.0
2025-12-13,6472.0
2025-12-15,6500.0
2025-12-17,6435.0
2025-12-18,6562.0
2025-12-22,6628.0
2025-12-23,6487.0
2025-12-24,6278.0
2025-12-25,6525.0
2025-12-26,6645.0
2025-12-29,6582.0
2025-12-30,6587.0
2025-12-31,6580.0
2026-01-01,6780.0
2026-01-02,6587.0
2026-01-03,6582.0
2026-01-05,6375.0
2026-01-06,6748.0
2026-01-07,6622.0
2026-01-12,7140.0
2026-01-13,6900.0
2026-01-15,6692.0
2026-01-17,7130.0
2026-01-19,7015.0
2026-01-20,6788.0
2026-01-21,7137.0
2026-01-23,7332.0
2026-01-24,7025.0
2026-01-27,7000.0
2026-01-29,6812.0
2026-01-31,6968.0
2026-02-02,6948.0
2026-02-03,7092.0
2026-02-04,7158.0
2026-02-09,6898.0
2026-02-12,7045.0
2026-02-13,7188.0
2026-02-14,7110.0
2026-02-16,6880.0
2026-02-17,7098.0
2026-02-18,7028.0
2026-02-19,6902.0
2026-02-20,7075.0
2026-02-21,7138.0
2026-02-23,6842.0
2026-02-24,14100.0
2026-02-25,6938.0
