date,price
2025-01-04,7205.0
2025-01-06,7180.0
2025-01-07,7380.0
2025-01-08,7405.0
2025-01-09,7455.0
2025-01-10,7405.0
2025-01-13,7355.0
2025-01-15,7380.0
2025-01-16,7300.0
2025-01-17,7250.0
2025-01-18,7380.0
2025-01-20,7250.0
2025-01-21,7250.0
2025-01-22,7130.0
2025-01-23,7080.0
2025-01-24,7100.0
2025-01-27,7000.0
2025-01-28,6750.0
2025-01-29,6500.0
2025-01-31,7000.0
2025-02-03,6900.0
2025-02-04,6930.0
2025-02-05,6950.0
2025-02-06,6750.0
2025-02-10,6925.0
2025-02-11,7000.0
2025-02-12,7025.0
2025-02-13,7050.0
2025-02-14,7000.0
2025-02-15,6750.0
2025-02-17,7050.0
2025-02-18,7050.0
2025-02-19,7025.0
2025-02-20,7000.0
2025-02-22,7225.0
2025-02-24,7305.0
2025-02-25,7150.0
2025-02-28,7175.0
2025-03-01,7050.0
2025-03-03,7000.0
2025-03-04,7050.0
2025-03-05,7000.0
2025-03-06,7000.0
2025-03-07,7050.0
2025-03-10,6900.0
2025-03-11,7050.0
2025-03-13,7075.0
2025-03-15,6750.0
2025-03-18,7055.0
2025-03-19,7200.0
2025-03-20,7075.0
2025-03-21,7100.0
2025-03-22,7000.0
2025-03-24,6500.0
2025-04-01,7055.0
2025-04-03,7425.0
2025-04-05,7000.0
2025-04-07,7050.0
2025-04-08,7225.0
2025-04-09,7125.0
2025-04-10,7150.0
2025-04-14,7300.0
2025-04-15,7175.0
2025-04-16,7375.0
2025-04-17,7250.0
2025-04-18,7350.0
2025-04-19,7325.0
2025-04-21,7250.0
2025-04-22,7250.0
2025-04-23,7250.0
2025-04-24,7500.0
2025-04-25,7450.0
2025-04-26,6000.0
2025-04-28,6000.0
2025-04-29,7250.0
2025-04-30,6500.0
2025-05-02,6500.0
2025-05-03,6500.0
2025-05-05,6500.0
2025-05-07,7375.0
2025-05-08,6500.0
2025-05-09,7450.0
2025-05-12,7450.0
2025-05-13,7425.0
2025-05-14,7000.0
2025-05-15,7400.0
2025-05-16,7400.0
2025-05-17,6500.0
2025-05-19,6500.0
2025-05-20,6750.0
2025-05-21,7400.0
2025-05-22,7325.0
2025-05-23,7425.0
2025-05-27,6500.0
2025-05-28,7400.0
2025-05-29,6500.0
2025-05-30,7000.0
2025-05-31,7400.0
2025-06-02,7000.0
2025-06-04,7000.0
2025-06-05,7475.0
2025-06-09,7500.0
2025-06-10,7250.0
2025-06-12,7250.0
2025-06-13,7225.0
2025-06-14,7500.0
2025-06-16,7500.0
2025-06-17,7500.0
2025-06-18,7500.0
2025-06-20,7625.0
2025-06-21,7750.0
2025-06-23,7500.0
2025-06-24,7850.0
2025-06-25,7750.0
2025-06-26,7500.0
2025-06-28,7000.0
2025-06-30,7750.0
2025-07-01,7825.0
2025-07-02,7875.0
2025-07-03,7750.0
2025-07-04,7500.0
2025-07-05,7500.0
2025-07-08,7900.0
2025-07-09,7750.0
2025-07-10,7500.0
2025-07-11,7750.0
2025-07-12,7775.0
2025-07-14,7750.0
2025-07-15,7750.0
2025-07-16,6850.0
2025-07-17,6750.0
2025-07-18,7900.0
2025-07-19,7875.0
2025-07-21,7825.0
2025-07-22,8000.0
2025-07-23,8000.0
2025-07-24,8000.0
2025-07-25,8000.0
2025-07-26,8000.0
2025-07-28,7750.0
2025-07-29,7500.0
2025-07-30,8000.0
2025-07-31,8000.0
2025-08-01,8000.0
2025-08-02,8000.0
2025-08-04,7500.0
2025-08-05,7500.0
2025-08-06,8000.0
2025-08-07,7950.0
2025-08-08,7850.0
2025-08-11,7750.0
2025-08-12,7750.0
2025-08-13,7900.0
2025-08-19,7500.0
2025-08-22,7500.0
2025-08-23,7750.0
2025-08-25,7500.0
2025-08-26,7500.0
2025-08-27,7950.0
2025-08-29,7750.0
2025-08-30,7925.0
2025-09-01,7775.0
2025-09-02,7500.0
2025-09-03,7750.0
2025-09-04,7500.0
2025-09-05,7500.0
2025-09-06,7500.0
2025-09-08,7500.0
2025-09-10,7500.0
2025-09-11,7500.0
2025-09-12,7500.0
2025-09-13,7600.0
2025-09-15,7500.0
2025-09-16,7500.0
2025-09-17,7500.0
2025-09-18,7500.0
2025-09-19,7500.0
2025-09-20,7500.0
2025-09-22,7725.0
2025-09-23,7500.0
2025-09-24,7500.0
2025-09-25,7500.0
2025-09-26,7500.0
2025-09-27,7500.0
2025-09-29,7500.0
2025-09-30,7000.0
2025-10-01,7500.0
2025-10-03,7500.0
2025-10-04,7500.0
2025-10-06,7000.0
2025-10-07,6750.0
2025-10-14,7500.0
2025-10-15,7500.0
2025-10-16,7500.0
2025-10-17,7500.0
2025-10-27,7500.0
2025-10-28,7500.0
2025-10-29,7500.0
2025-10-30,7500.0
2025-10-31,7500.0
2025-11-01,7500.0
2025-11-03,7500.0
2025-11-04,7500.0
2025-11-05,7500.0
2025-11-06,7500.0
2025-11-11,7500.0
2025-11-12,7000.0
2025-11-13,7500.0
2025-11-14,7500.0
2025-11-15,7500.0
2025-11-17,7500.0
2025-11-18,7500.0
2025-11-19,7500.0
2025-11-20,7500.0
2025-11-21,7500.0
2025-11-22,7500.0
2025-11-24,7500.0
2025-11-25,7500.0
2025-11-26,7500.0
2025-11-27,7500.0
2025-11-28,7500.0
2025-11-29,7500.0
2025-12-01,7500.0
2025-12-02,7500.0
2025-12-04,7500.0
2025-12-05,7500.0
2025-12-06,7500.0
2025-12-08,7500.0
2025-12-09,7500.0
2025-12-10,7500.0
2025-12-11,7500.0
2025-12-12,7500.0
2025-12-13,7500.0
2025-12-15,7500.0
2025-12-17,7500.0
2025-12-18,7500.0
2025-12-22,7500.0
2025-12-23,7500.0
2025-12-24,7500.0
2025-12-26,7500.0
2025-12-27,7500.0
2025-12-29,7500.0
2025-12-30,7500.0
2025-12-31,7500.0
2026-01-01,7500.0
2026-01-02,7500.0
2026-01-03,7500.0
2026-01-05,7500.0
2026-01-06,7500.0
2026-01-07,7500.0
2026-01-08,7500.0
2026-01-09,7500.0
2026-01-10,7500.0
2026-01-12,7500.0
2026-01-13,7500.0
2026-01-15,7500.0
2026-01-16,7500.0
2026-01-17,7500.0
2026-01-19,7500.0
2026-01-20,7500.0
2026-01-21,7500.0
2026-01-22,7500.0
2026-01-23,7500.0
2026-01-27,7500.0
2026-01-28,7500.0
2026-01-29,7500.0
2026-01-30,7500.0
2026-01-31,7500.0
2026-02-02,7500.0
2026-02-03,7500.0
2026-02-04,7500.0
2026-02-05,7500.0
2026-02-09,7500.0
2026-02-10,7500.0
2026-02-11,7500.0
2026-02-12,5000.0
2026-02-13,7500.0
2026-02-14,7500.0
2026-03-16,7000.0
2026-03-24,7500.0
2026-04-03,7500.0
2026-04-06,7500.0
2026-04-07,8000.0
2026-04-08,8000.0
2026-04-09,8000.0
2026-04-13,8000.0
2026-04-14,8000.0
2026-04-15,8500.0
2026-04-16,8000.0
2026-04-17,8000.0
2026-04-18,8000.0
2026-04-20,8000.0
2026-04-21,8000.0
2026-04-22,8000.0
2026-04-23,8500.0
2026-04-24,8000.0
2026-04-25,8500.0
2026-04-27,8000.0
2026-04-28,8000.0
2026-04-29,8000.0
2026-04-30,8000.0
2026-05-01,8500.0
2026-05-02,8500.0
2026-05-04,8500.0
2026-05-05,8500.0
2026-05-06,9000.0
2026-05-07,9000.0
2026-05-08,8500.0
2026-05-09,8500.0
2026-05-22,9000.0
2026-06-11,8000.0
2026-06-12,8000.0
2026-06-13,8000.0
2026-06-19,8000.0
2026-09-08,8500.0
2026-09-09,9000.0
2026-09-10,9000.0
2026-09-11,9000.0
2026-09-12,9500.0
2026-09-14,9000.0
2026-09-17,9000.0
2026-09-18,9000.0
2026-09-19,9000.0
2026-09-21,9000.0
2026-09-22,9000.0
2026-09-23,9000.0
