date,price
2025-01-03,7300.0
2025-01-04,7300.0
2025-01-05,7300.0
2025-01-06,7380.0
2025-01-07,7300.0
2025-01-08,7300.0
2025-01-09,7330.0
2025-01-10,7396.29
2025-01-11,7325.0
2025-01-12,7300.0
2025-01-13,7300.0
2025-01-14,7250.0
2025-01-15,7250.0
2025-01-16,7300.0
2025-01-17,7325.0
2025-01-18,7300.0
2025-01-19,7200.0
2025-01-20,7200.0
2025-01-21,7250.0
2025-01-22,7325.0
2025-01-23,7210.0
2025-01-24,7200.0
2025-01-25,7250.0
2025-01-26,7350.0
2025-01-27,7350.0
2025-01-28,7350.0
2025-01-29,7230.0
2025-01-30,7240.0
2025-01-31,7200.0
2025-02-01,7175.0
2025-02-02,7200.0
2025-02-03,7230.0
2025-02-04,7210.0
2025-02-05,7350.0
2025-02-06,7200.0
2025-02-07,7325.0
2025-02-08,7200.0
2025-02-09,7250.0
2025-02-10,7200.0
2025-02-11,7215.0
2025-02-12,7100.0
2025-02-13,7120.0
2025-02-14,7100.0
2025-02-15,7050.0
2025-02-16,7000.0
2025-02-17,7100.0
2025-02-18,7050.0
2025-02-19,7060.0
2025-02-20,7000.0
2025-02-21,7250.0
2025-02-22,7200.0
2025-02-23,7050.0
2025-02-24,7350.0
2025-02-25,7000.0
2025-02-26,7000.0
2025-02-27,7300.0
2025-02-28,7050.0
2025-03-01,7200.0
2025-03-02,7150.0
2025-03-03,7200.0
2025-03-04,7121.0
2025-03-05,7110.0
2025-03-06,7300.0
2025-03-07,7100.0
2025-03-08,7100.0
2025-03-09,7100.0
2025-03-10,7300.0
2025-03-11,7300.0
2025-03-12,7300.0
2025-03-13,7300.0
2025-03-14,7150.0
2025-03-15,7100.0
2025-03-16,7100.0
2025-03-17,7300.0
2025-03-18,7100.0
2025-03-19,7250.0
2025-03-20,7250.0
2025-03-21,7300.0
2025-03-22,7200.0
2025-03-23,7200.0
2025-03-24,7300.0
2025-03-25,7250.0
2025-03-26,7275.0
2025-03-27,7275.0
2025-03-28,7250.0
2025-03-29,7400.0
2025-03-30,7300.0
2025-03-31,7200.0
2025-04-01,7200.0
2025-04-02,7225.0
2025-04-03,7400.0
2025-04-04,7300.0
2025-04-05,7250.0
2025-04-06,7200.0
2025-04-07,7200.0
2025-04-08,7350.0
2025-04-09,7250.0
2025-04-10,7250.0
2025-04-11,7200.0
2025-04-12,7200.0
2025-04-13,7250.0
2025-04-14,7400.0
2025-04-15,7200.0
2025-04-16,7450.0
2025-04-17,7250.0
2025-04-18,7250.0
2025-04-19,7350.0
2025-04-20,7200.0
2025-04-21,7460.0
2025-04-22,7250.0
2025-04-23,7250.0
2025-04-24,7400.0
2025-04-25,7250.0
2025-04-26,7200.0
2025-04-27,7400.0
2025-04-28,7600.0
2025-04-29,7610.0
2025-04-30,7300.0
2025-05-01,7375.0
2025-05-02,7350.0
2025-05-03,7501.0
2025-05-04,7200.0
2025-05-05,7600.0
2025-05-06,7200.0
2025-05-07,7580.0
2025-05-08,7250.0
2025-05-09,7580.0
2025-05-10,7200.0
2025-05-11,7200.0
2025-05-12,7250.0
2025-05-13,6700.0
2025-05-14,7350.0
2025-05-15,7300.0
2025-05-16,7350.0
2025-05-17,7200.0
2025-05-18,7250.0
2025-05-19,7350.0
2025-05-20,7275.0
2025-05-21,6780.0
2025-05-22,7250.0
2025-05-23,7275.0
2025-05-24,7275.0
2025-05-25,7275.0
2025-05-26,7255.0
2025-05-27,7225.0
2025-05-28,7200.0
2025-05-29,6610.0
2025-05-30,7220.0
2025-05-31,6710.0
2025-06-01,7250.0
2025-06-02,7250.0
2025-06-03,6451.0
2025-06-04,7150.0
2025-06-05,6851.0
2025-06-06,6950.0
2025-06-07,6851.0
2025-06-08,6950.0
2025-06-09,6940.0
2025-06-10,6900.0
2025-06-11,6850.0
2025-06-12,6900.0
2025-06-13,6850.0
2025-06-14,6400.0
2025-06-15,6875.0
2025-06-16,6850.0
2025-06-17,6450.0
2025-06-18,6875.0
2025-06-19,6500.0
2025-06-20,6750.0
2025-06-21,6825.0
2025-06-22,6825.0
2025-06-23,6825.0
2025-06-24,6825.0
2025-06-25,6825.0
2025-06-26,6850.0
2025-06-27,6750.0
2025-06-28,6800.0
2025-06-29,6850.0
