date,price
2025-12-01,7000.0
2025-12-02,6650.0
2025-12-03,6550.0
2025-12-08,6950.0
2025-12-09,6950.0
2025-12-11,7000.0
2025-12-12,6850.0
2025-12-15,6850.0
2025-12-16,6750.0
2025-12-17,6500.0
2025-12-18,6500.0
2025-12-19,6750.0
2025-12-22,6900.0
2025-12-23,6750.0
2025-12-26,7000.0
2025-12-27,7000.0
2026-01-01,7000.0
2026-01-02,7150.0
2026-01-05,7500.0
2026-01-06,7500.0
2026-01-07,7500.0
2026-01-08,7500.0
2026-01-09,7100.0
2026-01-10,7250.0
2026-01-12,7500.0
2026-01-13,7650.0
2026-01-15,7500.0
2026-01-16,7650.0
2026-01-19,7450.0
2026-01-20,7500.0
2026-01-21,7250.0
2026-01-22,7400.0
2026-01-27,7600.0
2026-01-28,7500.0
2026-01-29,7100.0
2026-01-30,7500.0
2026-01-31,7050.0
2026-02-02,7500.0
2026-02-03,7550.0
2026-02-05,7500.0
2026-02-06,7400.0
2026-02-07,7500.0
2026-02-09,7600.0
2026-02-10,7300.0
2026-02-11,7500.0
2026-02-12,7250.0
2026-02-13,7350.0
2026-02-14,7300.0
2026-02-19,7250.0
2026-02-20,7500.0
2026-02-23,7500.0
2026-02-24,7500.0
2026-02-25,7250.0
2026-02-26,7500.0
2026-02-27,7500.0
2026-02-28,7350.0
2026-03-02,7500.0
2026-03-05,7500.0
2026-03-06,7500.0
2026-03-09,7500.0
2026-03-10,7500.0
2026-03-11,7600.0
2026-03-12,7650.0
2026-03-13,7650.0
2026-03-14,7600.0
2026-03-16,7500.0
2026-03-20,7550.0
2026-03-21,7700.0
2026-03-23,7750.0
2026-03-24,7750.0
2026-04-04,8000.0
2026-04-06,7500.0
2026-04-07,8000.0
2026-04-08,8250.0
2026-04-09,8500.0
2026-04-11,8250.0
2026-04-13,8250.0
2026-04-14,8250.0
2026-04-15,8250.0
2026-04-16,8250.0
2026-04-17,8250.0
2026-04-18,8300.0
2026-04-21,8250.0
2026-04-22,8500.0
2026-04-24,8350.0
2026-04-25,8350.0
2026-04-27,8500.0
2026-04-28,8350.0
2026-04-29,8350.0
2026-05-04,8500.0
2026-05-05,8650.0
2026-05-07,8900.0
2026-05-08,8750.0
2026-05-11,8500.0
2026-05-12,9000.0
2026-05-13,8900.0
2026-05-15,8750.0
2026-05-16,8900.0
2026-05-18,8500.0
2026-05-19,9000.0
2026-05-20,8850.0
2026-05-22,8650.0
2026-05-23,8550.0
2026-05-25,8500.0
2026-05-26,9000.0
2026-05-27,9000.0
2026-05-28,8500.0
2026-05-29,8900.0
2026-05-30,8500.0
2026-06-01,9000.0
2026-06-03,8000.0
2026-06-04,8400.0
2026-06-05,8400.0
2026-06-06,7800.0
2026-06-08,8000.0
2026-06-09,8400.0
2026-06-10,8250.0
2026-06-11,7775.0
2026-06-12,7900.0
2026-06-15,7500.0
2026-06-16,8550.0
2026-06-17,8500.0
2026-06-18,8500.0
2026-06-19,8500.0
2026-06-20,8250.0
2026-06-22,8650.0
2026-06-27,7690.0
2026-06-29,8630.0
2026-06-30,8615.0
2026-07-03,8750.0
2026-07-06,5500.0
2026-07-07,7005.0
2026-07-10,8730.0
2026-07-11,8180.0
2026-07-13,8615.0
2026-07-14,8510.0
2026-07-15,9120.0
2026-07-17,8205.0
2026-07-20,8805.0
2026-07-21,8075.0
2026-07-28,8980.0
2026-07-31,9305.0
2026-08-08,7000.0
2026-08-10,9105.0
2026-08-11,9515.0
2026-08-12,9555.0
2026-08-18,9355.0
2026-08-19,9020.0
2026-08-20,8830.0
2026-08-22,9830.0
2026-08-25,9105.0
2026-08-26,9155.0
2026-09-07,9430.0
2026-09-08,9250.0
2026-09-09,9430.0
2026-09-10,9380.0
2026-09-11,9800.0
2026-09-12,9700.0
2026-09-17,9305.0
2026-09-18,9350.0
2026-09-21,8865.0
2026-09-22,8745.0
