date,price
2025-01-02,7250.0
2025-01-03,7250.0
2025-01-04,7250.0
2025-01-06,7100.0
2025-01-07,7150.0
2025-01-08,7250.0
2025-01-09,7250.0
2025-01-10,7250.0
2025-01-11,7250.0
2025-01-13,7250.0
2025-01-15,7250.0
2025-01-16,7100.0
2025-01-17,7250.0
2025-01-18,7250.0
2025-01-20,7450.0
2025-01-21,7150.0
2025-01-22,7150.0
2025-01-23,7150.0
2025-01-24,7150.0
2025-01-25,7250.0
2025-01-27,7100.0
2025-01-28,7100.0
2025-01-29,7250.0
2025-01-30,7250.0
2025-01-31,7000.0
2025-02-05,6500.0
2025-02-06,6475.0
2025-02-07,6750.0
2025-02-08,6750.0
2025-02-10,6650.0
2025-02-11,6800.0
2025-02-12,6630.0
2025-02-13,6750.0
2025-02-14,6500.0
2025-02-15,6750.0
2025-02-17,6750.0
2025-02-18,6750.0
2025-02-19,6950.0
2025-02-20,6900.0
2025-02-21,6950.0
2025-02-22,6950.0
2025-02-24,7000.0
2025-02-25,6800.0
2025-02-27,6800.0
2025-02-28,6750.0
2025-03-01,6800.0
2025-03-03,6750.0
2025-03-04,6540.0
2025-03-05,6900.0
2025-03-06,6800.0
2025-03-07,7100.0
2025-03-08,6900.0
2025-03-10,6800.0
2025-03-12,6850.0
2025-03-13,7150.0
2025-03-15,7250.0
2025-03-17,6925.0
2025-03-18,7100.0
2025-03-19,7650.0
2025-03-20,7100.0
2025-03-21,7250.0
2025-03-22,7250.0
2025-03-24,7250.0
2025-04-01,7150.0
2025-04-02,7250.0
2025-04-03,7250.0
2025-04-04,7250.0
2025-04-05,7250.0
2025-04-07,7250.0
2025-04-08,7300.0
2025-04-11,7350.0
2025-04-14,7350.0
2025-04-15,7400.0
2025-04-16,7400.0
2025-04-17,7450.0
2025-04-18,7250.0
2025-04-19,7250.0
2025-04-21,7500.0
2025-04-22,7500.0
2025-04-23,7500.0
2025-04-24,7500.0
2025-04-25,7400.0
2025-04-26,7250.0
2025-04-28,7250.0
2025-04-29,7400.0
2025-04-30,7400.0
2025-05-02,7500.0
2025-05-03,7500.0
2025-05-05,7350.0
2025-05-06,6750.0
2025-05-08,7125.0
2025-05-09,7250.0
2025-05-10,7300.0
2025-05-12,7450.0
2025-05-13,7500.0
2025-05-14,7500.0
2025-05-15,7500.0
2025-05-16,7250.0
2025-05-17,7250.0
2025-05-19,7250.0
2025-05-20,7250.0
2025-05-21,7250.0
2025-05-22,7500.0
2025-05-23,7150.0
2025-05-24,7500.0
2025-05-26,7500.0
2025-05-27,7500.0
2025-05-28,6900.0
2025-05-29,7450.0
2025-05-31,7500.0
2025-06-02,7250.0
2025-06-03,7500.0
2025-06-04,7500.0
2025-06-05,7300.0
2025-06-07,7600.0
2025-06-09,7600.0
2025-06-10,7500.0
2025-06-11,7400.0
2025-06-12,7500.0
2025-06-13,7900.0
2025-06-14,7500.0
2025-06-16,7525.0
2025-06-19,7640.0
2025-06-20,7450.0
2025-06-21,7850.0
2025-06-23,7750.0
2025-06-24,7750.0
2025-06-25,7750.0
2025-06-28,7525.0
2025-06-30,7750.0
2025-07-01,8100.0
2025-07-02,8150.0
2025-07-03,7800.0
2025-07-04,7750.0
2025-07-05,7500.0
2025-07-07,7750.0
2025-07-12,7750.0
2025-07-14,7950.0
2025-07-15,7800.0
2025-07-16,8100.0
2025-07-17,7400.0
2025-07-18,7650.0
2025-07-19,7750.0
2025-07-21,7750.0
2025-07-22,7750.0
2025-07-23,7750.0
2025-07-24,7750.0
2025-07-25,7850.0
2025-07-26,7575.0
2025-07-28,7950.0
2025-07-29,7750.0
2025-07-30,7500.0
2025-07-31,7250.0
2025-08-01,7450.0
2025-08-02,7600.0
2025-08-04,7750.0
2025-08-05,7650.0
2025-08-06,7750.0
2025-08-07,7500.0
2025-08-08,7800.0
2025-08-11,7900.0
2025-08-12,7800.0
2025-08-13,7600.0
2025-08-14,8050.0
2025-08-18,8155.0
2025-08-19,7000.0
2025-08-20,8100.0
2025-08-22,7500.0
2025-08-23,6500.0
2025-08-25,7850.0
2025-08-26,8000.0
2025-09-01,6900.0
2025-09-02,7750.0
2025-09-03,7050.0
2025-09-04,7750.0
2025-09-05,6750.0
2025-09-06,6500.0
2025-09-08,6500.0
2025-09-09,6400.0
2025-09-10,6800.0
2025-09-11,6900.0
2025-09-12,6900.0
2025-09-13,6900.0
2025-09-15,6800.0
2025-09-16,6900.0
2025-09-17,6900.0
2025-09-18,7150.0
2025-09-19,7500.0
2025-09-20,6900.0
2025-09-22,6750.0
2025-09-23,6750.0
2025-09-24,6650.0
2025-09-25,6500.0
2025-09-26,6500.0
2025-09-27,6750.0
2025-09-29,6500.0
2025-09-30,6750.0
2025-10-03,6500.0
2025-10-04,6650.0
2025-10-06,6500.0
2025-10-07,6750.0
2025-10-08,6500.0
2025-10-09,6850.0
2025-10-10,6900.0
2025-10-13,6750.0
2025-10-14,6750.0
2025-10-15,6500.0
2025-10-16,6550.0
2025-10-17,6750.0
2025-10-18,7000.0
2025-10-27,7250.0
2025-11-04,6800.0
2025-11-05,6650.0
2025-11-06,7250.0
2025-11-07,6550.0
