date,price
2025-01-01,7000.0
2025-01-02,7050.0
2025-01-03,7000.0
2025-01-04,7150.0
2025-01-06,7100.0
2025-01-07,7075.0
2025-01-08,7075.0
2025-01-09,7100.0
2025-01-10,7075.0
2025-01-11,7075.0
2025-01-13,7100.0
2025-01-16,7250.0
2025-01-17,7225.0
2025-01-18,7250.0
2025-01-20,7250.0
2025-01-21,7250.0
2025-01-22,7150.0
2025-01-23,7225.0
2025-01-24,7250.0
2025-01-25,7250.0
2025-01-27,7250.0
2025-01-28,7250.0
2025-01-29,7250.0
2025-01-30,7150.0
2025-01-31,7150.0
2025-02-01,7150.0
2025-02-03,7050.0
2025-02-04,7050.0
2025-02-05,7050.0
2025-02-06,6200.0
2025-02-07,6650.0
2025-02-10,6950.0
2025-02-11,6950.0
2025-02-12,6950.0
2025-02-13,6950.0
2025-02-14,6950.0
2025-02-15,6950.0
2025-02-17,6950.0
2025-02-18,6950.0
2025-02-19,6950.0
2025-02-20,6950.0
2025-02-21,6950.0
2025-02-22,6950.0
2025-02-24,6950.0
2025-02-25,6950.0
2025-02-27,6950.0
2025-02-28,6950.0
2025-03-01,6950.0
2025-03-03,6950.0
2025-03-04,6950.0
2025-03-05,6950.0
2025-03-07,6950.0
2025-03-08,6950.0
2025-03-10,6960.0
2025-03-11,6950.0
2025-03-12,6950.0
2025-03-13,6950.0
2025-03-15,6950.0
2025-03-17,6950.0
2025-03-18,6950.0
2025-03-19,6500.0
2025-03-20,6500.0
2025-03-21,6500.0
2025-03-22,6375.0
2025-03-24,6580.0
2025-03-25,6850.0
2025-04-02,6500.0
2025-04-03,6500.0
2025-04-04,6750.0
2025-04-05,6500.0
2025-04-07,6625.0
2025-04-08,6250.0
2025-04-09,6750.0
2025-04-10,6750.0
2025-04-11,6625.0
2025-04-14,6625.0
2025-04-16,6650.0
2025-04-18,6550.0
2025-04-21,6550.0
2025-04-26,6500.0
2025-04-29,6850.0
2025-04-30,6750.0
2025-05-01,6750.0
2025-05-06,6550.0
2025-05-10,6750.0
2025-05-12,6850.0
2025-05-13,6750.0
2025-05-15,6850.0
2025-05-20,6875.0
2025-05-21,6875.0
2025-05-23,6875.0
2025-05-27,6625.0
2025-06-05,6500.0
2025-09-17,6750.0
2025-09-23,6500.0
2025-10-01,6500.0
2025-10-03,6500.0
2025-10-07,6500.0
2025-10-08,6500.0
2025-10-09,6500.0
2025-10-11,6750.0
2025-10-13,6875.0
2025-10-14,6875.0
2025-10-15,6840.0
2025-10-16,6825.0
2025-10-17,6750.0
2025-10-27,6875.0
2025-11-03,7250.0
2025-11-04,7250.0
2025-11-05,7250.0
2025-11-06,6688.0
2025-11-07,7150.0
2025-11-08,7150.0
2025-11-10,6500.0
2025-11-11,6850.0
2025-11-12,6850.0
2025-11-13,6750.0
2025-11-14,6900.0
2025-11-15,6850.0
2025-11-17,7000.0
2025-11-18,6950.0
2025-11-19,6950.0
2025-11-20,6875.0
2025-11-21,6850.0
2025-11-22,6850.0
2025-11-24,6950.0
2025-11-25,6950.0
2025-11-26,7000.0
2025-11-27,7000.0
2025-11-28,7000.0
2025-11-29,6800.0
2025-12-01,7000.0
2025-12-02,7000.0
2025-12-03,7000.0
2025-12-04,7000.0
2025-12-05,7000.0
2025-12-06,7000.0
2025-12-08,7000.0
2025-12-09,7000.0
2025-12-10,7250.0
2025-12-11,7000.0
2025-12-12,7000.0
2025-12-13,7000.0
2025-12-15,7000.0
2025-12-16,7000.0
2025-12-17,7000.0
2025-12-18,7000.0
2025-12-19,7000.0
2025-12-20,7000.0
2025-12-22,7000.0
2025-12-23,7000.0
2025-12-24,7125.0
2025-12-25,7000.0
2025-12-26,7000.0
2025-12-27,7000.0
2025-12-29,7000.0
2025-12-30,7000.0
2025-12-31,7150.0
2026-01-01,7250.0
2026-01-02,7250.0
2026-01-05,7000.0
2026-01-06,7000.0
2026-01-07,7250.0
2026-01-08,7250.0
2026-01-09,7250.0
2026-01-10,7450.0
2026-01-12,7250.0
2026-01-13,7450.0
2026-01-16,7350.0
2026-01-17,7350.0
2026-01-19,7450.0
2026-01-20,7250.0
2026-01-21,7250.0
2026-01-22,7250.0
2026-01-23,7250.0
2026-01-24,7350.0
2026-01-27,7250.0
2026-01-28,7250.0
2026-01-29,7250.0
2026-01-31,7250.0
2026-02-02,7250.0
2026-02-04,7250.0
2026-02-05,7250.0
2026-02-06,7250.0
2026-02-07,7250.0
2026-02-10,7250.0
2026-02-13,7250.0
2026-02-16,7250.0
2026-02-18,7250.0
2026-02-19,7250.0
2026-02-20,7250.0
2026-02-21,7250.0
2026-02-23,7250.0
2026-02-24,7250.0
2026-02-25,7250.0
2026-02-26,7250.0
2026-03-02,7250.0
2026-03-05,7250.0
2026-03-07,7250.0
2026-03-09,7250.0
2026-03-10,7250.0
2026-03-23,7000.0
2026-03-24,7000.0
2026-04-02,6350.0
2026-04-04,7000.0
2026-04-06,6500.0
2026-04-07,6500.0
2026-04-10,6500.0
2026-04-13,6500.0
2026-04-14,6500.0
2026-04-22,6500.0
