date,price
2025-01-02,7015.0
2025-01-03,7080.0
2025-01-04,6230.0
2025-01-06,6930.0
2025-01-07,6892.0
2025-01-08,7010.0
2025-01-09,6740.0
2025-01-10,6930.0
2025-01-11,6710.0
2025-01-13,6640.0
2025-01-15,6850.0
2025-01-17,6920.0
2025-01-18,7250.0
2025-01-20,7175.0
2025-01-21,7225.0
2025-01-22,7125.0
2025-01-23,7140.0
2025-01-24,7150.0
2025-01-25,7000.0
2025-01-27,6565.0
2025-01-28,7185.0
2025-01-29,6860.0
2025-01-30,6515.0
2025-01-31,6845.0
2025-02-01,6520.0
2025-02-03,7260.0
2025-02-04,6655.0
2025-02-05,6175.0
2025-02-06,6460.0
2025-02-07,6230.0
2025-02-08,7255.0
2025-02-10,7130.0
2025-02-11,6385.0
2025-02-12,7255.0
2025-02-13,7300.0
2025-02-14,6450.0
2025-02-15,6635.0
2025-02-17,6875.0
2025-02-18,6690.0
2025-02-19,6670.0
2025-02-20,6385.0
2025-02-21,6580.0
2025-02-22,6665.0
2025-02-24,6605.0
2025-02-25,7010.0
2025-02-27,7125.0
2025-02-28,6500.0
2025-03-01,6770.0
2025-03-03,6010.0
2025-03-04,6555.0
2025-03-05,6415.0
2025-03-06,6635.0
2025-03-07,7150.0
2025-03-08,6520.0
2025-03-10,6525.0
2025-03-11,6765.0
2025-03-12,6440.0
2025-03-15,6515.0
2025-03-17,5845.0
2025-03-18,6670.0
2025-03-19,6720.0
2025-03-20,7255.0
2025-03-21,6685.0
2025-03-22,6090.0
2025-03-24,6605.0
2025-03-25,7125.0
2025-04-01,5960.0
2025-04-02,6350.0
2025-04-04,6325.0
2025-04-07,6330.0
2025-04-09,6785.0
2025-04-11,7125.0
2025-04-16,6085.0
2025-04-19,6410.0
2025-04-23,6615.0
2025-04-26,6140.0
2025-04-30,7305.0
2025-05-03,7105.0
2025-05-07,6755.0
2025-05-10,6425.0
2025-05-14,6240.0
2025-05-17,6715.0
2025-05-21,6575.0
2025-05-28,6910.0
2025-06-04,6395.0
2025-06-11,7325.0
2025-06-14,6050.0
2025-07-16,7000.0
2025-07-23,6375.0
2025-08-02,6100.0
2025-08-11,10055.0
2025-08-30,5445.0
2025-09-01,5525.0
2025-09-02,4845.0
2025-09-04,6650.0
2025-09-06,6360.0
2025-09-08,6040.0
2025-09-09,5775.0
2025-09-10,6370.0
2025-09-11,6145.0
2025-09-12,6585.0
2025-09-13,6470.0
2025-09-15,6575.0
2025-09-16,6540.0
2025-09-17,6505.0
2025-09-18,7255.0
2025-09-19,7260.0
2025-09-20,6395.0
2025-09-22,7255.0
2025-09-23,6120.0
2025-09-24,5890.0
2025-09-25,5815.0
2025-09-26,5795.0
2025-09-27,5865.0
2025-09-29,6125.0
2025-09-30,5530.0
2025-10-01,5435.0
2025-10-03,5655.0
2025-10-04,5815.0
2025-10-06,5825.0
2025-10-07,5860.0
2025-10-08,5685.0
2025-10-09,7150.0
2025-10-10,5980.0
2025-10-11,7250.0
2025-10-13,6280.0
2025-10-14,6150.0
2025-10-15,7255.0
2025-10-16,6870.0
2025-10-17,7235.0
2025-10-27,7525.0
2025-10-28,7265.0
2025-10-29,7395.0
2025-10-30,6710.0
2025-10-31,7470.0
2025-11-01,6900.0
2025-11-03,7585.0
2025-11-04,5510.0
2025-11-05,7525.0
2025-11-06,7215.0
2025-11-07,7330.0
2025-11-08,7350.0
2025-11-10,7300.0
2025-11-11,7535.0
2025-11-12,7505.0
2025-11-13,6505.0
2025-11-14,6430.0
2025-11-15,7450.0
2025-11-17,7480.0
2025-11-18,7105.0
2025-11-19,7410.0
2025-11-20,7010.0
2025-11-21,7005.0
2025-11-22,6505.0
2025-11-24,6430.0
2025-11-25,7005.0
2025-11-26,7010.0
2025-11-27,7305.0
2025-11-28,7135.0
2025-12-01,7025.0
2025-12-02,6875.0
2026-02-04,7175.0
2026-02-13,7500.0
2026-03-06,7000.0
2026-04-06,7800.0
2026-04-17,8050.0
2026-05-04,8250.0
2026-05-08,7900.0
2026-05-27,7750.0
2026-06-27,8175.0
2026-06-29,8400.0
2026-07-18,7950.0
2026-07-27,6000.0
2026-07-31,7850.0
2026-08-05,6255.0
2026-08-07,7500.0
2026-08-10,7550.0
2026-08-11,7600.0
2026-08-13,6600.0
2026-08-17,8150.0
2026-08-18,7200.0
2026-08-20,7375.0
2026-08-21,7975.0
2026-08-22,9500.0
2026-08-24,8525.0
2026-08-25,8355.0
2026-08-29,9225.0
2026-08-31,8675.0
2026-09-01,8750.0
2026-09-07,9075.0
2026-09-08,9125.0
2026-09-09,9550.0
2026-09-10,9895.0
2026-09-11,9940.0
2026-09-12,9880.0
2026-09-14,9850.0
2026-09-15,9810.0
2026-09-16,9525.0
2026-09-17,8305.0
2026-09-18,9025.0
2026-09-19,8750.0
2026-09-21,7950.0
2026-09-22,7305.0
2026-09-23,8475.0
