date,price
2025-01-03,7255.0
2025-01-04,7130.0
2025-01-06,7205.0
2025-01-07,7205.0
2025-01-08,7255.0
2025-01-09,7205.0
2025-01-10,7255.0
2025-01-11,7230.0
2025-01-13,7255.0
2025-01-15,7305.0
2025-01-16,7280.0
2025-01-17,7280.0
2025-01-18,7280.0
2025-01-20,7205.0
2025-01-21,7230.0
2025-01-22,7130.0
2025-01-23,7130.0
2025-01-24,7205.0
2025-01-25,7105.0
2025-01-27,7055.0
2025-01-28,7055.0
2025-01-29,7080.0
2025-01-30,7005.0
2025-01-31,7005.0
2025-02-01,7005.0
2025-02-02,6955.0
2025-02-04,6955.0
2025-02-05,6930.0
2025-02-07,6855.0
2025-02-08,6830.0
2025-02-10,6880.0
2025-02-11,6880.0
2025-02-12,6905.0
2025-02-13,6880.0
2025-02-14,6805.0
2025-02-15,6805.0
2025-02-17,6880.0
2025-02-19,7155.0
2025-02-20,6905.0
2025-02-21,6830.0
2025-02-22,6805.0
2025-02-24,6880.0
2025-02-25,6855.0
2025-02-27,7105.0
2025-02-28,6955.0
2025-03-01,6955.0
2025-03-03,7055.0
2025-03-04,7005.0
2025-03-05,6755.0
2025-03-06,6830.0
2025-03-07,6955.0
2025-03-08,6930.0
2025-03-11,6855.0
2025-03-13,6930.0
2025-03-18,6855.0
2025-03-21,7130.0
2025-03-25,6955.0
2025-04-08,7130.0
2025-04-12,7130.0
2025-04-15,7130.0
2025-04-18,7230.0
2025-04-22,7055.0
2025-04-29,7355.0
2025-05-02,7305.0
2025-05-09,6755.0
2025-05-13,7405.0
2025-05-20,7530.0
2025-05-23,7355.0
2025-05-27,7130.0
2025-06-03,6930.0
2025-09-23,7205.0
2025-09-24,6930.0
2025-09-25,7005.0
2025-09-26,7055.0
2025-09-29,6905.0
2025-09-30,7055.0
2025-10-01,7105.0
2025-10-03,6755.0
2025-10-04,6630.0
2025-10-06,6480.0
2025-10-07,6555.0
2025-10-08,6980.0
2025-10-09,7255.0
2025-10-10,6780.0
2025-10-11,6905.0
2025-10-13,6705.0
2025-10-14,7105.0
2025-10-15,6605.0
2025-10-16,7130.0
2025-10-17,7155.0
2025-10-18,7205.0
2025-10-27,7255.0
2025-10-28,7680.0
2025-10-29,7280.0
2025-10-30,7405.0
2025-10-31,7530.0
2025-11-03,7455.0
2025-11-04,7180.0
2025-11-05,7180.0
2025-11-06,7105.0
2025-11-08,7005.0
2025-11-11,6830.0
2025-11-12,6755.0
2025-11-13,6905.0
2025-11-14,7005.0
2025-11-15,7080.0
2025-11-17,7130.0
2025-11-18,7005.0
2025-11-19,6980.0
2025-11-20,6955.0
2025-11-21,7005.0
2025-11-22,7005.0
2025-11-24,6905.0
2025-11-25,7005.0
2025-11-26,7055.0
2025-11-27,7080.0
2025-11-28,7080.0
2025-11-29,7030.0
2025-12-01,7255.0
2025-12-02,7005.0
2025-12-03,6855.0
2025-12-04,6780.0
2025-12-05,6805.0
2025-12-06,6880.0
2025-12-08,6880.0
2025-12-09,7205.0
2025-12-10,7205.0
2025-12-11,7205.0
2025-12-12,7080.0
2025-12-13,6880.0
2025-12-15,7105.0
2025-12-16,7130.0
2025-12-17,7155.0
2025-12-18,7230.0
2025-12-19,6905.0
2025-12-20,7130.0
2025-12-22,7255.0
2025-12-23,7255.0
2025-12-24,7380.0
2025-12-25,7305.0
2025-12-26,7380.0
2025-12-27,7255.0
2025-12-29,7280.0
2025-12-30,7380.0
2025-12-31,7280.0
2026-01-01,7205.0
2026-01-02,7180.0
2026-01-03,7205.0
2026-01-05,7405.0
2026-01-06,7330.0
2026-01-07,7375.0
2026-01-08,7330.0
2026-01-09,7330.0
2026-01-10,7305.0
2026-01-12,7530.0
2026-01-13,7605.0
2026-01-15,7530.0
2026-01-16,7755.0
2026-01-17,7630.0
2026-01-19,7930.0
2026-01-20,7780.0
2026-01-21,7880.0
2026-01-22,7380.0
2026-01-23,7480.0
2026-01-24,7380.0
2026-01-27,7780.0
2026-01-28,7780.0
2026-01-29,7780.0
2026-01-30,7555.0
2026-01-31,7680.0
2026-02-02,7530.0
2026-02-03,7405.0
2026-02-04,7505.0
2026-02-05,7480.0
2026-02-06,7380.0
2026-02-07,7605.0
2026-02-09,7680.0
2026-02-10,7355.0
2026-02-11,7280.0
2026-02-12,7605.0
2026-02-13,7555.0
2026-02-14,7505.0
2026-02-16,7505.0
2026-02-17,7230.0
2026-02-18,7280.0
2026-02-19,7530.0
2026-02-20,7255.0
2026-02-21,7680.0
2026-02-23,7330.0
2026-02-24,7655.0
2026-02-26,7505.0
2026-02-27,7555.0
2026-02-28,7755.0
2026-03-03,7505.0
2026-03-06,7530.0
2026-03-10,7505.0
2026-03-13,7580.0
2026-03-17,7430.0
2026-03-24,7505.0
2026-04-02,7830.0
2026-04-07,7580.0
2026-04-14,8005.0
2026-04-21,8580.0
2026-04-28,8030.0
2026-05-05,8705.0
2026-05-12,8480.0
2026-05-26,9180.0
2026-06-02,7505.0
2026-09-14,9630.0
2026-09-17,9780.0
2026-09-21,8555.0
