date,price
2025-01-01,7000.0
2025-01-02,7000.0
2025-01-03,6750.0
2025-01-04,7125.0
2025-01-06,7150.0
2025-01-07,7000.0
2025-01-08,7000.0
2025-01-09,7200.0
2025-01-10,7000.0
2025-01-11,7121.0
2025-01-13,7200.0
2025-01-16,7000.0
2025-01-17,7250.0
2025-01-18,7000.0
2025-01-20,7250.0
2025-01-21,7300.0
2025-01-22,7000.0
2025-01-23,7000.0
2025-01-24,7000.0
2025-01-25,7160.0
2025-01-27,6700.0
2025-01-28,6750.0
2025-01-29,7000.0
2025-01-30,6000.0
2025-01-31,7000.0
2025-02-01,6500.0
2025-02-03,6850.0
2025-02-04,6900.0
2025-02-05,6400.0
2025-02-06,6500.0
2025-02-08,6975.0
2025-02-10,6260.0
2025-02-11,5910.0
2025-02-12,6250.0
2025-02-13,6000.0
2025-02-14,6700.0
2025-02-15,6450.0
2025-02-17,6750.0
2025-02-18,5500.0
2025-02-19,6500.0
2025-02-22,5000.0
2025-02-24,6750.0
2025-02-25,5550.0
2025-02-28,6250.0
2025-03-01,6500.0
2025-03-03,6750.0
2025-03-05,6750.0
2025-03-12,6200.0
2025-08-20,8000.0
2025-08-21,7500.0
2025-09-06,6260.0
2025-09-10,5750.0
2025-09-11,5000.0
2025-09-12,5500.0
2025-09-13,6000.0
2025-09-15,6000.0
2025-09-16,6750.0
2025-09-17,6400.0
2025-09-18,6625.0
2025-09-20,6750.0
2025-09-22,6500.0
2025-09-23,6750.0
2025-09-24,6750.0
2025-09-25,6750.0
2025-09-26,6750.0
2025-09-27,6750.0
2025-09-30,6750.0
2025-10-01,6750.0
2025-10-03,6750.0
2025-10-04,6900.0
2025-10-06,6750.0
2025-10-07,6750.0
2025-10-08,6750.0
2025-10-09,6800.0
2025-10-10,7100.0
2025-10-11,6800.0
2025-10-13,6800.0
2025-10-14,6750.0
2025-10-15,6750.0
2025-10-16,6750.0
2025-10-17,6750.0
2025-10-27,7050.0
2025-10-28,7100.0
2025-10-29,7150.0
2025-10-30,7150.0
2025-10-31,6900.0
2025-11-01,7100.0
2025-11-03,7000.0
2025-11-05,7150.0
2025-11-06,7150.0
2025-11-07,7000.0
2025-11-08,7000.0
2025-11-10,7000.0
2025-11-11,6950.0
2025-11-12,7050.0
2025-11-13,7000.0
2025-11-14,7000.0
2025-11-15,7000.0
2025-11-17,6625.0
2025-11-18,6000.0
2025-11-19,6250.0
2025-11-20,6000.0
2025-11-21,6250.0
2025-11-22,6250.0
2025-11-24,6400.0
2025-11-25,6400.0
2025-11-26,6450.0
2025-11-27,6500.0
2025-11-28,6400.0
2025-11-29,6500.0
2025-12-01,6500.0
2025-12-02,6450.0
2025-12-03,6400.0
2025-12-04,6500.0
2025-12-05,6250.0
2025-12-06,6400.0
2025-12-08,6500.0
2025-12-09,6500.0
2025-12-10,6600.0
2025-12-12,6350.0
2025-12-13,6500.0
2025-12-15,6600.0
2025-12-16,6500.0
2025-12-17,6550.0
2025-12-18,6650.0
2025-12-19,6500.0
2025-12-20,6550.0
2025-12-22,6600.0
2025-12-23,6500.0
2025-12-24,6600.0
2025-12-25,6700.0
2025-12-26,7000.0
2025-12-27,6700.0
2025-12-29,6750.0
2025-12-30,6900.0
2025-12-31,6900.0
2026-01-01,7000.0
2026-01-02,6750.0
2026-01-03,6800.0
2026-01-05,7150.0
2026-01-06,6900.0
2026-01-07,7000.0
2026-01-08,6900.0
2026-01-09,7100.0
2026-01-10,7300.0
2026-01-12,7350.0
2026-01-13,7400.0
2026-01-16,7000.0
2026-01-17,7400.0
2026-01-19,7250.0
2026-01-20,7250.0
2026-01-21,7250.0
2026-01-22,6750.0
2026-01-24,7400.0
2026-01-27,7250.0
2026-01-28,7500.0
2026-01-29,7500.0
2026-01-30,7500.0
2026-01-31,7250.0
2026-02-02,7000.0
2026-02-03,7000.0
2026-02-04,6900.0
2026-02-05,7250.0
2026-02-06,7375.0
2026-02-07,7250.0
2026-02-09,7125.0
2026-02-10,7000.0
2026-02-11,7000.0
2026-02-12,6500.0
2026-02-13,7000.0
2026-02-14,7200.0
2026-02-16,7250.0
2026-02-17,7250.0
2026-02-18,7350.0
2026-02-19,7000.0
2026-02-20,6600.0
2026-02-21,6755.0
2026-02-23,7000.0
2026-02-24,7000.0
2026-02-25,7150.0
2026-02-26,6500.0
2026-02-27,6730.0
2026-02-28,7675.0
2026-03-02,7000.0
2026-03-07,7155.0
2026-07-22,14005.0
2026-08-25,8605.0
2026-09-08,8250.0
2026-09-09,8750.0
2026-09-10,8500.0
2026-09-11,8755.0
2026-09-12,9105.0
2026-09-16,10005.0
2026-09-17,9350.0
2026-09-19,8750.0
2026-09-21,9000.0
2026-09-22,8675.0
2026-09-23,8500.0
