date,price
2025-01-02,7135.0
2025-01-07,6915.0
2025-01-09,6915.0
2025-01-10,6900.0
2025-01-11,6780.0
2025-01-15,7060.0
2025-01-16,6955.0
2025-01-17,6705.0
2025-02-14,6730.0
2025-02-17,6570.0
2025-02-24,6575.0
2025-02-27,6715.0
2025-02-28,6715.0
2025-03-01,6570.0
2025-03-03,6385.0
2025-03-04,5935.0
2025-03-05,6270.0
2025-03-06,6325.0
2025-03-07,6460.0
2025-03-17,6570.0
2025-03-18,6515.0
2025-03-19,6590.0
2025-03-21,6835.0
2025-03-22,6230.0
2025-04-02,6900.0
2025-04-03,6695.0
2025-04-04,6405.0
2025-04-05,6435.0
2025-04-07,6575.0
2025-04-08,6380.0
2025-04-10,6675.0
2025-04-11,6270.0
2025-04-14,6925.0
2025-04-15,6425.0
2025-04-16,6610.0
2025-04-17,6580.0
2025-04-18,6620.0
2025-04-19,6495.0
2025-04-21,7015.0
2025-04-22,7230.0
2025-04-23,6880.0
2025-04-24,6935.0
2025-04-25,6750.0
2025-04-26,6760.0
2025-04-28,7085.0
2025-04-29,7085.0
2025-04-30,7165.0
2025-05-01,6810.0
2025-05-03,7010.0
2025-05-14,7160.0
2025-05-15,7295.0
2025-05-17,6715.0
2025-05-19,7190.0
2025-05-20,6625.0
2025-05-21,7000.0
2025-05-22,6985.0
2025-05-23,6910.0
2025-05-27,6960.0
2025-05-30,6935.0
2025-05-31,6580.0
2025-06-02,6830.0
2025-06-03,6535.0
2025-06-05,6475.0
2025-06-07,6370.0
2025-06-09,6965.0
2025-06-10,6580.0
2025-06-11,6420.0
2025-06-12,6115.0
2025-06-13,6125.0
2025-06-14,6655.0
2025-06-16,6665.0
2025-06-17,5720.0
2025-06-18,6350.0
2025-06-19,7390.0
2025-06-20,6675.0
2025-06-21,6325.0
2025-06-24,7680.0
2025-06-25,7005.0
2025-06-30,6700.0
2025-07-01,6250.0
2025-07-03,6755.0
2025-07-10,5790.0
2025-07-14,6675.0
2025-07-19,5810.0
2025-07-21,7275.0
2025-07-23,6615.0
2025-07-25,7000.0
2025-08-05,5765.0
2025-08-19,6965.0
2025-08-21,6180.0
2025-09-02,7390.0
2025-09-15,7155.0
2025-09-16,6385.0
2025-09-19,6315.0
2025-09-23,5880.0
2025-09-24,6105.0
2025-09-25,6080.0
2025-09-26,6315.0
2025-09-27,6030.0
2025-09-29,6100.0
2025-09-30,6125.0
2025-10-01,7155.0
2025-10-03,6470.0
2025-10-04,5940.0
2025-10-06,6460.0
2025-10-07,6360.0
2025-10-08,6470.0
2025-10-09,6720.0
2025-10-10,6315.0
2025-10-11,6030.0
2025-10-13,6600.0
2025-10-15,6005.0
2025-10-16,6170.0
2025-10-17,6290.0
2025-11-03,6500.0
2025-11-04,6505.0
2025-11-05,6420.0
2025-11-06,6360.0
2026-02-24,6860.0
2026-02-25,6370.0
2026-02-26,6205.0
2026-02-27,6670.0
2026-02-28,6425.0
2026-03-02,6275.0
2026-03-03,6120.0
2026-03-05,7070.0
2026-03-07,6835.0
2026-03-09,6600.0
2026-03-10,6725.0
2026-03-11,6205.0
2026-03-12,6525.0
2026-03-13,6780.0
2026-03-14,7025.0
2026-03-16,7225.0
2026-03-17,7170.0
2026-03-20,7075.0
2026-03-21,7000.0
2026-03-23,6775.0
2026-03-24,6745.0
2026-04-04,6700.0
2026-04-06,7100.0
2026-04-08,6755.0
2026-04-09,7030.0
2026-04-10,6735.0
2026-04-11,6680.0
2026-04-14,6725.0
2026-04-15,6690.0
2026-04-21,6665.0
2026-04-22,7725.0
2026-04-23,6650.0
2026-04-24,6710.0
2026-04-25,7930.0
2026-04-28,6250.0
2026-04-29,6310.0
2026-05-01,6665.0
2026-05-16,7720.0
2026-05-18,7490.0
2026-05-19,7550.0
2026-05-20,7250.0
2026-05-21,7715.0
2026-05-25,6750.0
2026-05-27,7580.0
2026-05-29,5775.0
2026-05-30,4750.0
2026-06-02,6365.0
2026-06-03,6800.0
2026-06-05,6940.0
2026-06-08,6650.0
2026-06-20,5775.0
2026-06-24,5365.0
2026-06-25,6425.0
2026-06-30,6950.0
2026-07-03,8170.0
2026-07-17,6450.0
2026-08-14,6325.0
2026-08-25,8000.0
2026-09-08,8825.0
2026-09-12,8430.0
2026-09-14,8725.0
2026-09-15,8000.0
2026-09-21,8120.0
2026-09-22,8700.0
2026-09-23,7275.0
