date,price
2025-01-04,7250.0
2025-01-06,7400.0
2025-01-07,7410.0
2025-01-08,7380.0
2025-01-09,7330.0
2025-01-11,7280.0
2025-01-15,7180.0
2025-01-16,7205.0
2025-01-18,7205.0
2025-01-20,7255.0
2025-01-21,7180.0
2025-01-23,7180.0
2025-01-24,7255.0
2025-01-25,7180.0
2025-01-27,7130.0
2025-01-28,7080.0
2025-01-29,7130.0
2025-01-30,7180.0
2025-01-31,7005.0
2025-02-01,7055.0
2025-02-03,6905.0
2025-02-04,6930.0
2025-02-07,7055.0
2025-02-08,6980.0
2025-02-10,7055.0
2025-02-11,7130.0
2025-02-12,7105.0
2025-02-13,7180.0
2025-02-15,7005.0
2025-02-17,7155.0
2025-02-18,7005.0
2025-02-21,7105.0
2025-02-22,7080.0
2025-02-24,7105.0
2025-02-27,7155.0
2025-02-28,7105.0
2025-03-01,6880.0
2025-03-03,6880.0
2025-03-04,6780.0
2025-03-05,6705.0
2025-03-07,6680.0
2025-03-08,6830.0
2025-03-10,5205.0
2025-03-11,7055.0
2025-03-12,7055.0
2025-03-15,6955.0
2025-03-17,7105.0
2025-03-18,7205.0
2025-03-19,7205.0
2025-03-20,7205.0
2025-03-21,7155.0
2025-03-22,7205.0
2025-04-01,6780.0
2025-04-02,7005.0
2025-04-03,7255.0
2025-04-04,7280.0
2025-04-05,7105.0
2025-04-07,7205.0
2025-04-08,7355.0
2025-04-09,7105.0
2025-04-10,7105.0
2025-04-14,7480.0
2025-04-15,7255.0
2025-04-16,7255.0
2025-04-18,7005.0
2025-04-19,7380.0
2025-04-22,7405.0
2025-04-23,7380.0
2025-04-24,7455.0
2025-04-25,7405.0
2025-04-28,7455.0
2025-05-02,7505.0
2025-05-05,7505.0
2025-05-06,7530.0
2025-05-07,7355.0
2025-05-08,7305.0
2025-05-09,7130.0
2025-05-10,7255.0
2025-05-12,7530.0
2025-05-13,7605.0
2025-05-15,7480.0
2025-05-16,7505.0
2025-05-17,7530.0
2025-05-19,7405.0
2025-05-20,7455.0
2025-05-21,7405.0
2025-05-22,7455.0
2025-05-23,7505.0
2025-05-24,7380.0
2025-05-26,7405.0
2025-05-27,7305.0
2025-05-28,7430.0
2025-05-29,7330.0
2025-05-31,7455.0
2025-06-02,7480.0
2025-06-03,7505.0
2025-06-04,7555.0
2025-06-09,7555.0
2025-06-10,7805.0
2025-06-13,8005.0
2025-06-14,8030.0
2025-06-16,8030.0
2025-06-17,8080.0
2025-06-18,7905.0
2025-06-20,8080.0
2025-06-21,8055.0
2025-06-23,8030.0
2025-06-24,8005.0
2025-06-25,7980.0
2025-06-30,7980.0
2025-07-01,7855.0
2025-07-02,8080.0
2025-07-03,7905.0
2025-07-04,7880.0
2025-07-05,8105.0
2025-07-08,8005.0
2025-07-11,8180.0
2025-07-12,8055.0
2025-07-14,8155.0
2025-07-15,8305.0
2025-07-16,8205.0
2025-07-22,8405.0
2025-07-23,8130.0
2025-07-29,8155.0
2025-07-30,7855.0
2025-08-01,8080.0
2025-08-02,8130.0
2025-08-05,8105.0
2025-08-06,8055.0
2025-08-08,8055.0
2025-08-12,8005.0
2025-08-13,7755.0
2025-08-20,7855.0
2025-08-26,7755.0
2025-08-27,7955.0
2025-08-28,7905.0
2025-08-29,7855.0
2025-08-30,7680.0
2025-09-01,7605.0
2025-09-03,7605.0
2025-09-04,7580.0
2025-09-08,7605.0
2025-09-09,7655.0
2025-09-12,7655.0
2025-09-15,7830.0
2025-09-16,7280.0
2025-09-17,7755.0
2025-09-19,7805.0
2025-09-20,7780.0
2025-09-22,7955.0
2025-09-23,7780.0
2025-09-24,7730.0
2025-09-25,7805.0
2025-09-26,7655.0
2025-09-27,7280.0
2025-09-29,7280.0
2025-09-30,7380.0
2025-10-03,7380.0
2025-10-04,7505.0
2025-10-06,7480.0
2025-10-10,7605.0
2025-10-11,7355.0
2025-10-13,7705.0
2025-10-14,7730.0
2025-10-16,7105.0
2025-10-18,7205.0
2025-10-27,7680.0
2025-10-28,7605.0
2025-10-30,7505.0
2025-11-01,7555.0
2025-11-03,7580.0
2025-11-05,7355.0
2025-11-07,7255.0
2025-11-10,6905.0
2025-11-11,6980.0
2025-11-13,7005.0
2025-11-17,7055.0
2025-11-18,7055.0
2025-11-24,7205.0
2025-11-25,7180.0
2025-11-26,7255.0
2025-11-27,7255.0
2025-11-28,7230.0
2025-12-01,7105.0
2025-12-02,7105.0
2025-12-03,7205.0
2025-12-04,7230.0
2025-12-05,7280.0
2025-12-08,7355.0
2025-12-09,7205.0
2025-12-10,7205.0
2025-12-11,7255.0
2025-12-12,7105.0
2025-12-15,7380.0
2025-12-17,7455.0
2025-12-18,7430.0
2025-12-22,7405.0
2025-12-23,7430.0
2025-12-24,7555.0
2025-12-25,7605.0
2025-12-26,7605.0
2025-12-29,7680.0
2025-12-30,7630.0
2025-12-31,7405.0
2026-01-02,7605.0
2026-01-05,7705.0
2026-01-06,7605.0
2026-01-07,7680.0
2026-01-08,7705.0
2026-01-09,7680.0
2026-01-12,7755.0
2026-01-13,7855.0
2026-01-15,7830.0
2026-01-16,7830.0
2026-01-19,7830.0
2026-01-20,7680.0
2026-01-27,7680.0
2026-01-28,7655.0
2026-01-30,7655.0
2026-01-31,7680.0
2026-02-02,7580.0
2026-02-03,7555.0
2026-02-09,7555.0
2026-02-16,7255.0
2026-02-17,7205.0
2026-02-23,7180.0
2026-02-24,7230.0
2026-02-26,7255.0
2026-02-27,7330.0
2026-03-02,7130.0
2026-03-03,7305.0
2026-03-06,7230.0
2026-03-09,7705.0
2026-03-10,7705.0
2026-03-11,7655.0
2026-03-16,7855.0
2026-03-23,8055.0
2026-04-06,8680.0
2026-04-07,8630.0
2026-04-13,8705.0
2026-04-14,8705.0
2026-04-15,8680.0
2026-04-17,8605.0
2026-04-20,8905.0
2026-04-21,8830.0
2026-04-23,8905.0
2026-04-24,8855.0
2026-04-25,8930.0
2026-04-27,8930.0
2026-04-29,9055.0
2026-04-30,8955.0
2026-05-06,9105.0
2026-05-07,9205.0
2026-05-08,9205.0
2026-05-11,9155.0
2026-05-13,9305.0
2026-05-15,9655.0
2026-05-18,9505.0
2026-05-20,7505.0
2026-05-23,9605.0
2026-05-26,8255.0
2026-05-29,7605.0
2026-05-30,8905.0
2026-06-01,8005.0
2026-06-02,8505.0
2026-06-03,8705.0
2026-06-05,8705.0
2026-06-08,8505.0
2026-06-09,8505.0
