date,price
2025-01-02,7125.0
2025-01-03,7123.0
2025-01-04,7135.0
2025-01-06,7113.0
2025-01-07,7153.0
2025-01-08,7170.0
2025-01-09,7188.0
2025-01-10,7228.0
2025-01-11,7263.0
2025-01-13,7148.0
2025-01-16,7160.0
2025-01-17,7147.0
2025-01-18,7160.0
2025-01-20,7150.0
2025-01-21,7150.0
2025-01-22,7080.0
2025-01-23,7110.0
2025-01-24,7110.0
2025-01-25,7123.0
2025-01-27,6968.0
2025-01-28,7375.0
2025-01-29,6950.0
2025-01-30,7300.0
2025-01-31,7250.0
2025-02-01,6800.0
2025-02-04,6850.0
2025-02-05,6850.0
2025-02-06,6500.0
2025-02-07,7250.0
2025-02-08,7250.0
2025-02-10,7250.0
2025-02-11,6800.0
2025-02-12,7290.0
2025-02-13,7300.0
2025-02-14,6850.0
2025-02-15,6800.0
2025-02-17,7300.0
2025-02-18,6800.0
2025-02-19,6800.0
2025-02-20,6800.0
2025-02-21,7300.0
2025-02-22,6900.0
2025-02-24,7250.0
2025-02-25,6900.0
2025-02-27,7250.0
2025-02-28,6800.0
2025-03-01,6800.0
2025-03-03,7280.0
2025-03-04,6900.0
2025-03-05,6750.0
2025-03-06,7220.0
2025-03-07,7200.0
2025-03-08,6900.0
2025-03-10,7250.0
2025-03-11,7300.0
2025-03-12,6400.0
2025-03-17,6800.0
2025-03-18,6800.0
2025-03-19,7200.0
2025-03-20,6800.0
2025-03-21,6500.0
2025-03-22,7200.0
2025-10-02,7200.0
2025-10-04,6800.0
2025-10-06,7200.0
2025-10-07,6900.0
2025-10-08,6800.0
2025-10-09,6900.0
2025-10-10,6900.0
2025-10-11,6800.0
2025-10-13,7200.0
2025-10-14,7200.0
2025-10-15,7200.0
2025-10-16,6900.0
2025-10-17,6800.0
2025-10-29,7175.0
2025-10-30,7000.0
2025-10-31,6800.0
2025-11-01,6800.0
2025-11-03,7100.0
2025-11-04,6900.0
2025-11-05,7150.0
2025-11-06,6950.0
2025-11-07,6950.0
2025-11-08,7105.0
2025-11-10,7100.0
2025-11-11,7200.0
2025-11-12,6900.0
2025-11-13,6800.0
2025-11-14,7000.0
2025-11-15,7150.0
2025-11-17,7100.0
2025-11-18,6900.0
2025-11-19,6950.0
2025-11-20,7100.0
2025-11-21,7000.0
2025-11-22,7100.0
2025-11-24,7200.0
2025-11-25,7150.0
2025-11-26,7250.0
2025-11-27,7300.0
2025-11-28,7000.0
2025-11-29,7325.0
2025-12-01,7300.0
2025-12-02,7200.0
2025-12-03,7000.0
2025-12-04,7000.0
2025-12-05,7100.0
2025-12-06,7200.0
2025-12-08,7100.0
2025-12-09,7200.0
2025-12-10,7100.0
2025-12-11,7500.0
2025-12-13,7200.0
2025-12-15,7000.0
2025-12-16,7250.0
2025-12-18,7200.0
2025-12-19,7300.0
2025-12-20,7350.0
2025-12-22,7200.0
2025-12-23,7000.0
2025-12-24,7500.0
2025-12-26,7550.0
2025-12-27,7300.0
2025-12-29,7500.0
2025-12-30,7200.0
2025-12-31,7600.0
2026-01-01,7725.0
2026-01-02,7500.0
2026-01-03,7600.0
2026-01-05,7650.0
2026-01-06,7200.0
2026-01-08,7300.0
2026-01-09,7609.0
2026-01-10,7900.0
2026-01-12,7900.0
2026-01-13,7900.0
2026-01-16,7900.0
2026-01-17,7900.0
2026-01-19,7800.0
2026-01-20,7800.0
2026-01-21,7900.0
2026-01-22,7900.0
2026-01-24,7900.0
2026-01-27,7900.0
2026-01-28,7900.0
2026-01-29,7800.0
2026-01-30,7800.0
2026-01-31,7700.0
2026-02-02,7800.0
2026-02-03,7800.0
2026-02-04,7800.0
2026-02-05,7700.0
2026-02-06,7950.0
2026-02-07,7990.0
2026-02-09,7975.0
2026-02-10,7900.0
2026-02-11,7200.0
2026-02-12,7850.0
2026-02-13,7800.0
2026-02-14,7850.0
2026-02-16,7900.0
2026-02-17,7800.0
2026-02-18,7750.0
2026-02-19,7400.0
2026-02-20,7500.0
2026-02-21,7800.0
2026-02-23,7600.0
2026-02-24,7700.0
2026-02-25,7850.0
2026-02-26,7900.0
2026-02-27,7600.0
2026-03-07,6700.0
2026-03-09,6800.0
2026-03-10,7400.0
2026-03-12,7400.0
2026-03-13,7300.0
2026-03-18,7500.0
2026-09-14,8750.0
2026-09-17,9000.0
2026-09-23,9000.0
