date,price
2025-03-01,7050.0
2025-03-03,7050.0
2025-03-04,7050.0
2025-03-05,7000.0
2025-03-06,7000.0
2025-03-07,7050.0
2025-03-08,7100.0
2025-03-10,7200.0
2025-03-11,7200.0
2025-03-15,7200.0
2025-03-17,7200.0
2025-03-18,7200.0
2025-03-19,7250.0
2025-03-20,7250.0
2025-03-21,7250.0
2025-03-22,7250.0
2025-04-02,7305.0
2025-04-03,7355.0
2025-04-04,7305.0
2025-04-10,7355.0
2025-04-11,7305.0
2025-04-15,7405.0
2025-04-16,7455.0
2025-04-18,7405.0
2025-04-19,7405.0
2025-04-21,7355.0
2025-04-23,7350.0
2025-04-24,7350.0
2025-04-25,7350.0
2025-04-26,7505.0
2025-04-28,7400.0
2025-04-29,7350.0
2025-04-30,7355.0
2025-05-01,7400.0
2025-05-02,7400.0
2025-05-03,7400.0
2025-05-05,7350.0
2025-05-06,7400.0
2025-05-07,7250.0
2025-05-08,7350.0
2025-05-09,7250.0
2025-05-10,7400.0
2025-05-12,7400.0
2025-05-13,7400.0
2025-05-14,7400.0
2025-05-15,7450.0
2025-05-16,7400.0
2025-05-17,7400.0
2025-05-19,7400.0
2025-05-21,7400.0
2025-05-22,7400.0
2025-05-23,7350.0
2025-05-24,7350.0
2025-05-26,7350.0
2025-05-27,7400.0
2025-05-28,7400.0
2025-05-29,7450.0
2025-05-30,7505.0
2025-05-31,7405.0
2025-06-02,7500.0
2025-06-03,7600.0
2025-06-04,7600.0
2025-06-05,7700.0
2025-06-09,7400.0
2025-06-10,7200.0
2025-06-11,7700.0
2025-06-12,7750.0
2025-06-13,7750.0
2025-06-14,7800.0
2025-06-16,7800.0
2025-06-17,7750.0
2025-06-18,7750.0
2025-06-19,8000.0
2025-06-20,7800.0
2025-06-21,7800.0
2025-06-23,7750.0
2025-06-24,7850.0
2025-06-25,7950.0
2025-06-26,7900.0
2025-06-27,7950.0
2025-06-28,7900.0
2025-06-30,7850.0
2025-07-01,7800.0
2025-07-03,7750.0
2025-07-10,7950.0
2025-07-11,7800.0
2025-07-12,7800.0
2025-07-14,7900.0
2025-07-15,8100.0
2025-07-16,8100.0
2025-07-17,8100.0
2025-07-18,8050.0
2025-07-19,8100.0
2025-07-21,8100.0
2025-07-22,8100.0
2025-07-23,8100.0
2025-07-24,8000.0
2025-07-25,8000.0
2025-07-26,7900.0
2025-07-28,7900.0
2025-07-29,7900.0
2025-07-30,7900.0
2025-07-31,7900.0
2025-08-01,7850.0
2025-08-02,7755.0
2025-08-04,7905.0
2025-08-05,7755.0
2025-08-06,7905.0
2025-08-07,7805.0
2025-08-08,7855.0
2025-08-11,7850.0
2025-08-12,7855.0
2025-08-20,7555.0
2025-08-21,7805.0
2025-08-25,7405.0
2025-08-26,7755.0
2025-08-30,7505.0
2025-09-01,7500.0
2025-09-02,7605.0
2025-09-03,7405.0
2025-09-04,7405.0
2025-09-05,7505.0
2025-09-06,6905.0
2025-09-08,7255.0
2025-09-11,7155.0
2025-09-12,7405.0
2025-09-13,7405.0
2025-09-15,7505.0
2025-09-16,7500.0
2025-09-17,7105.0
2025-09-18,7455.0
2025-09-19,7005.0
2025-09-20,7205.0
2025-09-22,7005.0
2025-09-23,6905.0
2025-09-25,6755.0
2025-09-26,6505.0
2025-09-27,6405.0
2025-09-29,6555.0
2025-09-30,6505.0
2025-10-01,6505.0
2025-10-03,6505.0
2025-10-04,6505.0
2025-10-06,6505.0
2025-10-07,6505.0
2025-10-08,6505.0
2025-10-09,6555.0
2025-10-10,6555.0
2025-10-11,6605.0
2025-10-13,6755.0
2025-10-14,6755.0
2025-10-15,6505.0
2025-10-16,6505.0
2025-10-17,7005.0
2025-10-18,7005.0
2025-10-27,7400.0
2025-10-28,7350.0
2025-10-29,7500.0
2025-10-30,7400.0
2025-10-31,7000.0
2025-11-01,7000.0
2025-11-03,6750.0
2025-11-04,6750.0
2025-11-05,6500.0
2025-11-06,6500.0
2025-11-08,6750.0
2025-11-10,6750.0
2025-11-11,6750.0
2025-11-12,6900.0
2025-11-13,7000.0
2025-11-14,7100.0
2025-11-15,7125.0
2025-11-17,7000.0
2025-11-18,7000.0
2025-11-19,6900.0
2025-11-20,7000.0
2025-11-21,7000.0
2025-11-24,6850.0
2025-11-25,6850.0
2025-11-26,6900.0
2025-11-27,6850.0
2025-11-28,6900.0
2025-12-01,7000.0
2025-12-02,6950.0
2025-12-03,7000.0
2025-12-04,7000.0
2025-12-06,7150.0
2025-12-08,7150.0
2025-12-09,7150.0
2025-12-10,7100.0
2025-12-11,7150.0
2026-01-16,6250.0
2026-01-17,7550.0
