date,price
2025-01-03,6800.0
2025-01-04,6600.0
2025-01-05,6800.0
2025-01-06,6700.0
2025-01-07,6800.0
2025-01-08,6800.0
2025-01-09,6800.0
2025-01-10,6800.0
2025-01-11,6600.0
2025-01-12,6800.0
2025-01-13,6500.0
2025-01-15,6900.0
2025-01-16,6600.0
2025-01-17,6500.0
2025-01-18,6900.0
2025-01-20,6800.0
2025-01-21,6600.0
2025-01-22,6500.0
2025-01-23,6700.0
2025-01-24,6800.0
2025-01-25,6600.0
2025-01-26,6400.0
2025-01-27,6900.0
2025-01-28,6900.0
2025-01-29,6800.0
2025-01-30,6700.0
2025-01-31,6800.0
2025-02-01,6700.0
2025-02-02,6900.0
2025-02-03,7000.0
2025-02-04,6900.0
2025-02-05,7000.0
2025-02-06,6800.0
2025-02-07,6700.0
2025-02-10,6800.0
2025-02-11,7100.0
2025-02-12,6800.0
2025-02-13,7000.0
2025-02-14,7000.0
2025-02-15,6900.0
2025-02-17,6900.0
2025-02-18,7000.0
2025-02-19,6800.0
2025-02-20,6900.0
2025-02-21,6800.0
2025-02-22,7100.0
2025-02-23,7000.0
2025-02-24,6800.0
2025-02-25,6800.0
2025-02-26,7000.0
2025-02-27,7000.0
2025-02-28,6900.0
2025-03-01,7100.0
2025-03-02,7000.0
2025-03-03,6800.0
2025-03-04,7000.0
2025-03-05,7200.0
2025-03-06,7200.0
2025-03-07,7000.0
2025-03-10,7200.0
2025-03-11,7200.0
2025-03-12,7100.0
2025-03-13,7200.0
2025-03-14,7000.0
2025-03-15,7200.0
2025-03-16,7000.0
2025-03-17,7200.0
2025-03-18,7000.0
2025-03-19,7000.0
2025-03-20,5500.0
2025-03-21,7100.0
2025-03-22,7000.0
2025-03-23,7200.0
2025-03-24,7100.0
2025-03-25,7000.0
2025-03-26,7100.0
2025-03-27,7000.0
2025-03-28,6800.0
2025-03-29,7000.0
2025-03-31,6800.0
2025-04-01,7000.0
2025-04-02,7100.0
2025-04-03,7000.0
2025-04-04,7000.0
2025-04-05,7000.0
2025-04-06,7000.0
2025-04-07,7100.0
2025-04-08,6900.0
2025-04-09,6800.0
2025-04-10,7000.0
2025-04-11,6900.0
2025-04-12,7000.0
2025-04-13,7000.0
2025-04-14,6800.0
2025-04-15,6700.0
2025-04-16,6800.0
2025-04-17,6800.0
2025-04-18,6800.0
2025-04-19,6800.0
2025-04-20,6900.0
2025-04-21,7000.0
2025-04-22,6900.0
2025-04-23,7000.0
2025-04-24,6900.0
2025-04-25,6600.0
2025-04-26,6500.0
2025-04-27,6400.0
2025-04-28,6500.0
2025-04-29,6900.0
2025-04-30,6800.0
2025-05-01,6900.0
2025-05-02,6400.0
2025-05-03,6600.0
2025-05-04,6600.0
2025-05-05,6700.0
2025-05-06,6600.0
2025-05-07,6600.0
2025-05-08,6400.0
2025-05-09,6700.0
2025-05-10,6400.0
2025-05-11,6000.0
2025-05-12,6200.0
2025-05-13,6000.0
2025-05-14,4900.0
2025-05-15,5400.0
2025-05-16,6000.0
2025-05-17,4800.0
2025-05-18,4500.0
2025-05-19,4800.0
2025-05-20,4800.0
2025-05-21,5000.0
2025-05-22,6000.0
2025-05-23,5300.0
2025-05-24,5300.0
2025-05-25,5200.0
2025-05-26,5100.0
2025-05-27,5200.0
2025-05-28,5400.0
2025-05-29,5300.0
2025-05-30,5400.0
2025-05-31,5900.0
2025-06-01,5200.0
2025-06-02,5400.0
2025-06-03,5300.0
2025-06-04,5600.0
2025-06-05,5900.0
2025-06-06,5800.0
2025-06-07,5800.0
2025-06-08,5500.0
2025-06-09,5900.0
2025-06-10,5400.0
2025-06-11,5600.0
2025-06-12,5600.0
2025-06-13,5800.0
2025-06-14,5800.0
2025-06-15,6000.0
2025-06-16,5800.0
2025-06-17,5600.0
2025-06-18,5400.0
2025-06-19,5800.0
2025-06-20,6000.0
2025-06-21,5600.0
2025-06-22,5800.0
2025-06-23,6000.0
2025-06-24,5900.0
2025-06-25,5800.0
2025-06-26,5600.0
2025-06-27,5600.0
2025-06-28,5500.0
2025-06-29,5500.0
2025-06-30,5800.0
2025-07-01,5800.0
2025-07-02,5800.0
2025-07-03,5900.0
2025-07-04,5600.0
2025-07-05,5800.0
2025-07-06,5400.0
2025-07-07,6000.0
2025-07-08,5500.0
2025-07-09,5600.0
2025-07-10,6200.0
2025-07-11,5800.0
2025-07-12,5600.0
2025-07-13,5500.0
2025-07-14,5800.0
2025-07-15,5500.0
2025-07-16,6800.0
2025-07-17,5800.0
2025-07-18,5800.0
2025-07-19,5800.0
2025-07-20,5500.0
2025-07-21,6300.0
2025-07-22,5600.0
2025-07-23,5800.0
2025-07-24,5500.0
2025-07-25,5600.0
2025-07-26,5500.0
2025-07-27,5800.0
2025-07-28,5400.0
2025-07-29,5500.0
2025-07-30,6300.0
2025-07-31,5800.0
2025-08-01,6000.0
2025-08-02,6200.0
2025-08-03,5500.0
2025-08-04,5800.0
2025-08-05,5500.0
2025-08-06,5500.0
2025-08-07,6000.0
2025-08-08,5800.0
2025-08-09,5900.0
2025-08-10,5500.0
2025-08-11,5800.0
2025-08-12,5800.0
2025-08-13,5800.0
2025-08-14,5800.0
