date,price
2025-01-28,6750.0
2025-01-31,6900.0
2025-02-04,6500.0
2025-02-07,6900.0
2025-02-15,6875.0
2025-10-03,5300.0
2025-10-04,6062.5
2025-10-06,6050.0
2025-10-07,6200.0
2025-10-08,6000.0
2025-10-09,5537.5
2025-10-10,5687.5
2025-10-11,5875.0
2025-10-13,5625.0
2025-10-14,5875.0
2025-10-15,6175.0
2025-10-16,5938.0
2025-10-17,5437.5
2025-10-18,6275.0
2025-10-27,6600.0
2025-10-28,6250.0
2025-10-29,6600.0
2025-10-30,6150.0
2025-10-31,5925.0
2025-11-03,6325.0
2025-11-05,6063.0
2025-11-06,6013.0
2025-11-07,6275.0
2025-11-08,6300.0
2025-11-12,5850.0
2025-11-13,6262.5
2025-11-14,5990.0
2025-11-15,6475.0
2025-11-17,6465.0
2025-11-18,6475.0
2025-11-19,6175.0
2025-11-20,5875.0
2025-11-21,6200.0
2025-11-22,6140.0
2025-11-27,6090.0
2025-11-29,6275.0
2025-12-01,6040.0
2025-12-02,6575.0
2025-12-03,6725.0
2025-12-04,6425.0
2025-12-08,6565.0
2025-12-09,6700.0
2025-12-10,6375.0
2025-12-11,6200.0
2025-12-12,6590.0
2025-12-13,5975.0
2025-12-15,6225.0
2025-12-16,6300.0
2025-12-17,6375.0
2025-12-18,6125.0
2025-12-19,6400.0
2025-12-20,6175.0
2025-12-22,6700.0
2025-12-24,6840.0
2025-12-25,6700.0
2025-12-26,6465.0
2025-12-27,6390.0
2025-12-30,6450.0
2025-12-31,6350.0
2026-01-01,6465.0
2026-01-02,6325.0
2026-01-03,6725.0
2026-01-05,6590.0
2026-01-06,6200.0
2026-01-07,6475.0
2026-01-08,6340.0
2026-01-10,6990.0
2026-01-12,7190.0
2026-01-13,7325.0
2026-01-15,7375.0
2026-01-16,7440.0
2026-01-17,7615.0
2026-01-20,7300.0
2026-01-21,7215.0
2026-01-24,7115.0
2026-01-27,6990.0
2026-01-30,7125.0
2026-01-31,7040.0
2026-02-02,7165.0
2026-02-03,7090.0
2026-02-04,7365.0
2026-02-05,7125.0
2026-02-06,7025.0
2026-02-07,6750.0
2026-02-10,6875.0
2026-02-11,6675.0
2026-02-13,7390.0
2026-02-14,7350.0
2026-02-16,7250.0
2026-02-17,6865.0
2026-02-18,7065.0
2026-02-20,7165.0
2026-02-21,7025.0
2026-02-23,6925.0
2026-02-24,7125.0
2026-02-25,6815.0
2026-02-26,7165.0
2026-02-27,6780.0
2026-02-28,6900.0
2026-03-02,6625.0
2026-03-03,6315.0
2026-03-05,6050.0
2026-03-06,6625.0
2026-03-10,6790.0
2026-03-11,6565.0
2026-03-13,7200.0
2026-03-14,6965.0
2026-03-16,7215.0
2026-03-17,7100.0
2026-03-18,7375.0
2026-03-19,7275.0
2026-03-20,6625.0
2026-03-21,7300.0
2026-03-23,7190.0
2026-03-24,7445.0
2026-04-02,7940.0
2026-04-03,7625.0
2026-04-06,8025.0
2026-04-07,8120.0
2026-04-08,7900.0
2026-04-10,8065.0
2026-04-11,7775.0
2026-04-14,7950.0
2026-04-15,7690.0
2026-04-16,7715.0
2026-04-17,7690.0
2026-04-18,7550.0
2026-04-20,7565.0
2026-04-22,7725.0
2026-04-24,7475.0
2026-04-25,7965.0
2026-04-27,7750.0
2026-04-28,7565.0
2026-04-29,7840.0
2026-04-30,7850.0
2026-05-07,8000.0
2026-05-12,8150.0
2026-05-13,7750.0
2026-05-14,8400.0
2026-05-16,8250.0
2026-05-18,8250.0
2026-05-19,8625.0
2026-05-20,8400.0
2026-05-21,8250.0
2026-05-22,8000.0
2026-05-25,7750.0
2026-05-26,7875.0
2026-05-27,7700.0
2026-05-29,8175.0
2026-05-30,8000.0
2026-06-01,8225.0
2026-06-03,7600.0
2026-06-04,7850.0
2026-06-05,8090.0
2026-06-08,7925.0
2026-06-09,7255.0
2026-06-11,7400.0
