date,price
2025-01-04,7151.0
2025-01-08,7150.0
2025-01-10,7200.0
2025-01-11,7125.0
2025-01-15,7130.0
2025-01-16,7220.0
2025-01-17,7130.0
2025-01-18,7130.0
2025-01-20,7425.0
2025-01-21,7130.0
2025-01-22,7150.0
2025-01-23,7165.0
2025-01-24,7025.0
2025-01-25,7125.0
2025-01-27,7150.0
2025-01-29,6500.0
2025-01-31,7125.0
2025-02-03,6900.0
2025-02-04,7125.0
2025-02-05,6980.0
2025-02-10,6500.0
2025-02-11,7120.0
2025-02-12,7125.0
2025-02-13,7125.0
2025-02-14,7135.0
2025-02-15,7150.0
2025-02-17,7150.0
2025-02-18,7125.0
2025-02-20,7130.0
2025-02-21,7150.0
2025-02-24,7130.0
2025-02-25,7125.0
2025-02-27,7155.0
2025-02-28,6950.0
2025-03-01,7125.0
2025-03-03,7130.0
2025-03-04,7100.0
2025-03-05,7130.0
2025-03-07,7025.0
2025-03-08,7125.0
2025-03-10,7150.0
2025-03-11,6820.0
2025-03-12,6880.0
2025-03-15,6900.0
2025-03-17,7150.0
2025-03-18,6950.0
2025-03-21,7130.0
2025-03-22,7130.0
2025-04-01,7125.0
2025-04-07,7150.0
2025-04-08,7150.0
2025-04-10,7150.0
2025-04-11,7250.0
2025-04-15,7250.0
2025-04-16,7220.0
2025-04-17,7150.0
2025-04-18,7220.0
2025-04-21,7230.0
2025-04-23,7280.0
2025-04-25,7280.0
2025-04-26,7225.0
2025-04-28,7225.0
2025-04-29,7325.0
2025-05-01,7320.0
2025-05-02,7260.0
2025-05-03,7320.0
2025-05-05,7230.0
2025-05-06,7150.0
2025-05-07,7330.0
2025-05-08,7260.0
2025-05-09,7025.0
2025-05-10,7210.0
2025-05-12,6430.0
2025-05-13,7220.0
2025-05-14,7260.0
2025-05-15,6980.0
2025-05-20,7350.0
2025-05-21,7220.0
2025-05-22,7380.0
2025-05-23,7225.0
2025-05-24,7220.0
2025-05-26,7130.0
2025-05-27,7225.0
2025-05-30,7220.0
2025-05-31,7050.0
2025-06-02,7150.0
2025-06-03,7230.0
2025-06-04,7230.0
2025-06-05,7225.0
2025-06-09,7225.0
2025-06-11,7225.0
2025-06-12,7250.0
2025-06-13,7180.0
2025-06-14,7320.0
2025-06-16,7220.0
2025-06-17,7230.0
2025-06-18,7250.0
2025-06-19,6820.0
2025-06-20,7200.0
2025-06-21,7150.0
2025-06-24,7250.0
2025-06-25,7260.0
2025-06-26,7230.0
2025-06-28,7250.0
2025-06-30,7960.0
2025-07-02,7250.0
2025-07-03,7230.0
2025-07-04,7880.0
2025-07-05,7230.0
2025-07-10,7320.0
2025-07-15,7560.0
2025-07-19,7500.0
2025-07-24,7250.0
2025-07-25,7260.0
2025-07-26,8075.0
2025-08-05,7280.0
2025-08-06,7820.0
2025-08-22,7250.0
2025-09-01,5520.0
2025-09-03,6890.0
2025-09-10,7230.0
2025-09-12,5520.0
2025-09-13,7230.0
2025-09-17,7260.0
2025-09-18,7220.0
2025-09-19,7130.0
2025-09-20,7230.0
2025-09-22,6950.0
2025-09-23,6530.0
2025-09-24,6920.0
2025-09-25,7210.0
2025-09-26,6925.0
2025-09-27,7130.0
2025-09-29,6580.0
2025-09-30,7025.0
2025-10-01,6825.0
2025-10-04,7130.0
2025-10-06,7220.0
2025-10-07,6950.0
2025-10-08,7220.0
2025-10-09,7315.0
2025-10-10,7210.0
2025-10-11,7250.0
2025-10-14,7260.0
2025-10-15,7260.0
2025-10-16,7315.0
2025-10-17,7150.0
2025-10-18,7145.0
2025-10-27,7225.0
2025-10-28,7250.0
2025-10-29,7225.0
2025-11-01,7250.0
2025-11-03,7215.0
2025-11-04,7245.0
2025-11-05,7450.0
2025-11-07,7375.0
2025-11-08,7575.0
2025-11-10,7345.0
2025-11-11,7400.0
2025-11-12,7425.0
2025-11-13,7325.0
2025-11-14,7785.0
2025-11-15,7215.0
2025-11-17,7215.0
2025-11-18,7215.0
2025-11-19,7145.0
2025-11-20,7125.0
2025-11-21,6975.0
2025-11-22,7145.0
2025-11-24,7145.0
2025-11-25,7015.0
2025-11-26,7215.0
2025-11-27,7375.0
2025-11-28,6975.0
2025-11-29,7145.0
2025-12-01,7145.0
2025-12-02,7350.0
2025-12-03,7075.0
2025-12-04,7325.0
2025-12-05,7445.0
2025-12-06,7375.0
2025-12-08,7515.0
2025-12-09,7275.0
2025-12-10,7515.0
2025-12-11,7500.0
2025-12-12,7145.0
2025-12-13,7145.0
2025-12-15,7445.0
2025-12-16,7645.0
2025-12-17,7635.0
2025-12-18,7625.0
2025-12-19,7315.0
2025-12-22,7350.0
2025-12-23,7215.0
2025-12-24,7545.0
2025-12-25,7415.0
2025-12-26,7675.0
2025-12-29,7515.0
2025-12-30,7645.0
2025-12-31,7325.0
2026-01-01,7525.0
2026-01-02,7545.0
2026-01-06,7425.0
2026-01-07,7375.0
2026-01-08,7585.0
2026-01-09,6570.0
2026-01-10,7345.0
2026-01-12,7745.0
2026-01-15,7250.0
2026-01-16,7425.0
2026-01-19,7450.0
2026-01-20,7425.0
2026-01-21,7345.0
2026-01-22,7245.0
2026-01-23,7285.0
2026-01-24,7110.0
2026-01-27,7510.0
2026-01-28,7415.0
2026-01-29,7210.0
2026-02-02,7445.0
2026-02-03,7285.0
2026-02-04,7450.0
2026-02-05,7585.0
2026-02-06,7545.0
2026-02-07,7540.0
2026-02-09,7125.0
2026-02-10,7345.0
2026-02-11,7245.0
2026-02-12,7500.0
2026-02-13,7245.0
2026-02-14,7145.0
2026-02-16,7145.0
2026-02-17,7115.0
2026-02-18,7245.0
2026-02-19,7050.0
2026-02-20,7410.0
2026-02-21,7245.0
2026-02-23,7025.0
2026-02-24,6945.0
2026-02-25,7185.0
2026-02-26,7110.0
2026-02-27,6945.0
2026-02-28,7150.0
2026-03-02,7125.0
2026-03-03,6450.0
2026-03-06,7125.0
2026-03-07,6875.0
2026-03-09,6850.0
2026-03-10,7110.0
2026-03-11,7225.0
2026-03-12,7115.0
2026-09-09,9510.0
2026-09-10,8850.0
2026-09-12,9025.0
2026-09-14,8585.0
