date,price
2025-01-01,7160.0
2025-01-02,7185.0
2025-01-03,6940.0
2025-01-06,7185.0
2025-01-07,7185.0
2025-01-08,6930.0
2025-01-09,7165.0
2025-01-10,6985.0
2025-01-15,7265.0
2025-01-16,6975.0
2025-01-17,7120.0
2025-01-20,7175.0
2025-01-21,6955.0
2025-01-22,7060.0
2025-01-23,6925.0
2025-01-24,7225.0
2025-01-27,7005.0
2025-01-28,7005.0
2025-01-29,7080.0
2025-01-30,6755.0
2025-02-03,6665.0
2025-02-04,6540.0
2025-02-05,6885.0
2025-02-06,7020.0
2025-02-07,6915.0
2025-02-10,6200.0
2025-02-11,6080.0
2025-02-12,6275.0
2025-02-14,6650.0
2025-02-17,6200.0
2025-02-18,6635.0
2025-02-19,6920.0
2025-02-20,7025.0
2025-02-21,6885.0
2025-02-24,6785.0
2025-02-25,6965.0
2025-02-27,6177.0
2025-02-28,6900.0
2025-03-03,7135.0
2025-03-04,6938.0
2025-03-05,6885.0
2025-03-06,6940.0
2025-03-07,6705.0
2025-03-10,6890.0
2025-03-11,6475.0
2025-03-12,6255.0
2025-03-17,6890.0
2025-03-18,6655.0
2025-03-19,6693.0
2025-03-20,6350.0
2025-03-21,6556.0
2025-03-24,6370.0
2025-04-03,6595.0
2025-04-07,7000.0
2025-04-08,6600.0
2025-04-09,6950.0
2025-04-15,6968.0
2025-04-16,7055.0
2025-04-17,7120.0
2025-04-18,7335.0
2025-04-21,6450.0
2025-04-22,7195.0
2025-11-10,6975.0
2025-11-11,6095.0
2025-11-12,6860.0
2025-11-13,6730.0
2025-11-14,6915.0
2025-11-17,6655.0
2025-11-18,6890.0
2025-11-19,6555.0
2025-11-20,6750.0
2025-11-21,6955.0
2025-11-24,6955.0
2025-11-25,6950.0
2025-11-26,7065.0
2025-11-27,7050.0
2025-11-28,6810.0
2025-12-01,6500.0
2025-12-02,6750.0
2025-12-03,6825.0
2025-12-04,7550.0
2025-12-05,7845.0
2025-12-08,6980.0
2025-12-09,6930.0
2025-12-11,6655.0
2025-12-12,7070.0
2025-12-15,7165.0
2025-12-16,6830.0
2025-12-17,7110.0
2025-12-18,7105.0
2025-12-19,6855.0
2025-12-22,6955.0
2025-12-23,7205.0
2025-12-24,7280.0
2025-12-26,7180.0
2025-12-29,6630.0
2025-12-30,7025.0
2025-12-31,6955.0
2026-01-01,7355.0
2026-01-02,7350.0
2026-01-05,7465.0
2026-01-06,7445.0
2026-01-07,7288.0
2026-01-08,7225.0
2026-01-09,7355.0
2026-01-12,7355.0
2026-01-13,7430.0
2026-01-16,7430.0
2026-01-19,7700.0
2026-01-20,7680.0
2026-01-21,7780.0
2026-01-22,7970.0
2026-01-27,7615.0
2026-01-28,7230.0
2026-01-29,6930.0
2026-01-30,7275.0
2026-02-02,6660.0
2026-02-03,7250.0
2026-02-09,7360.0
2026-02-10,7360.0
2026-02-11,7235.0
2026-02-12,6980.0
2026-02-13,7225.0
2026-02-16,7235.0
2026-02-17,7125.0
2026-02-19,7010.0
2026-02-20,7025.0
2026-02-23,7250.0
2026-02-24,7250.0
2026-02-26,7000.0
2026-02-27,7130.0
2026-03-02,6845.0
2026-03-05,6765.0
2026-03-09,7380.0
2026-03-10,7000.0
2026-03-11,7035.0
2026-03-12,7270.0
2026-03-13,7180.0
2026-03-16,7285.0
2026-03-17,7435.0
2026-03-18,7475.0
2026-03-23,7095.0
2026-03-24,7085.0
2026-03-25,6900.0
2026-04-01,6960.0
2026-04-02,7170.0
2026-04-06,7125.0
2026-04-07,7275.0
2026-04-09,7620.0
2026-04-10,6915.0
2026-04-13,6600.0
2026-04-15,7150.0
2026-04-16,7070.0
2026-04-17,7540.0
2026-04-20,7450.0
2026-04-21,7550.0
2026-04-22,7480.0
2026-04-27,6900.0
2026-04-29,7190.0
2026-04-30,7200.0
