date,price
2025-01-02,5825.0
2025-01-03,6250.0
2025-01-04,6075.0
2025-01-06,5875.0
2025-01-07,6515.0
2025-01-08,6640.0
2025-01-09,6480.0
2025-01-10,7530.0
2025-01-11,6805.0
2025-01-13,7010.0
2025-01-15,7055.0
2025-01-16,6360.0
2025-01-17,7000.0
2025-01-18,7125.0
2025-01-20,7030.0
2025-01-21,6345.0
2025-01-22,6740.0
2025-01-23,6095.0
2025-01-24,6630.0
2025-01-25,6050.0
2025-01-27,6070.0
2025-01-29,6310.0
2025-01-30,6310.0
2025-01-31,6255.0
2025-02-03,6330.0
2025-02-05,5375.0
2025-02-07,6055.0
2025-02-08,5895.0
2025-02-10,6250.0
2025-02-11,6090.0
2025-02-12,6795.0
2025-02-14,4850.0
2025-02-17,6750.0
2025-02-19,5100.0
2025-02-21,5025.0
2025-02-24,6250.0
2025-02-25,6000.0
2025-03-01,6750.0
2025-03-03,6525.0
2025-03-04,6670.0
2025-03-21,6500.0
2025-04-04,6250.0
2025-04-08,6750.0
2025-04-11,6500.0
2025-04-18,6750.0
2025-04-22,6750.0
2025-05-02,6000.0
2025-05-09,6435.0
2025-05-16,6000.0
2025-05-20,5430.0
2025-06-03,5755.0
2025-06-10,6255.0
2025-06-13,7650.0
2025-06-20,6750.0
2025-06-28,7000.0
2025-07-01,6750.0
2025-07-04,6500.0
2025-07-08,6750.0
2025-07-15,5500.0
2025-07-18,6000.0
2025-07-25,7250.0
2025-07-29,4775.0
2025-08-01,7235.0
2025-09-02,7000.0
2025-09-24,5500.0
2025-09-27,5750.0
2025-09-29,5500.0
2025-09-30,5500.0
2025-10-01,5000.0
2025-10-04,5500.0
2025-10-06,6500.0
2025-10-07,6000.0
2025-10-08,6750.0
2025-10-09,6000.0
2025-10-10,6750.0
2025-10-11,7500.0
2025-10-13,7000.0
2025-10-14,7000.0
2025-10-16,6000.0
2025-10-17,6000.0
2025-10-28,6750.0
2025-10-29,7000.0
2025-10-30,7000.0
2025-10-31,6000.0
2025-11-04,7000.0
2025-11-05,6750.0
2025-11-11,5010.0
2025-11-12,5185.0
2025-11-14,5185.0
2025-11-15,5308.0
2025-11-17,5308.0
2025-11-18,5600.0
2025-11-19,5285.0
2025-11-20,5578.0
2025-11-21,5520.0
2025-11-22,5630.0
2025-11-24,6000.0
2025-11-25,5538.0
2025-11-26,5868.0
2025-11-27,5878.0
2025-11-28,6025.0
2025-12-01,5888.0
2025-12-02,5918.0
2025-12-03,5958.0
2025-12-04,5785.0
2025-12-05,5690.0
2025-12-06,5675.0
2025-12-08,6055.0
2025-12-09,5925.0
2025-12-12,5898.0
2025-12-13,6228.0
2025-12-16,5523.0
2025-12-17,6055.0
2025-12-18,5985.0
2025-12-19,6078.0
2025-12-20,5823.0
2025-12-22,6148.0
2025-12-23,6158.0
2025-12-24,6303.0
2025-12-25,6145.0
2025-12-26,6030.0
2025-12-27,5468.0
2025-12-29,6268.0
2025-12-30,5853.0
2025-12-31,6118.0
2026-01-01,6210.0
2026-01-02,5453.0
2026-01-03,6103.0
2026-01-05,6678.0
2026-01-06,6558.0
2026-01-07,6585.0
2026-01-08,4533.0
2026-01-09,4535.0
2026-01-12,6288.0
2026-01-13,6745.0
2026-01-15,6485.0
2026-01-17,7023.0
2026-01-19,7000.0
2026-01-21,6768.0
2026-01-22,6848.0
2026-01-24,5985.0
2026-01-27,5253.0
2026-01-28,5598.0
2026-01-29,6810.0
2026-01-30,6148.0
2026-02-02,5863.0
2026-02-09,6560.0
2026-02-11,6713.0
2026-02-13,4855.0
2026-02-16,5708.0
2026-02-18,6258.0
2026-02-23,5568.0
2026-02-25,5693.0
2026-02-27,5920.0
2026-03-02,6948.0
2026-03-06,6523.0
2026-03-09,5813.0
2026-03-11,5470.0
2026-03-13,6103.0
2026-03-16,6138.0
2026-03-18,6978.0
2026-03-20,4588.0
2026-03-23,5340.0
2026-03-25,5893.0
2026-03-27,6488.0
2026-04-01,7270.0
2026-04-03,7168.0
2026-04-06,7555.0
2026-04-08,7165.0
2026-04-10,6950.0
2026-04-13,6625.0
2026-04-15,7055.0
2026-04-17,6500.0
2026-04-22,7600.0
2026-04-27,6308.0
2026-04-29,6210.0
2026-05-04,6103.0
2026-05-06,7838.0
2026-05-08,8125.0
2026-05-11,6783.0
2026-05-13,6860.0
2026-05-18,7440.0
2026-05-22,7650.0
2026-05-25,6050.0
2026-05-29,6938.0
2026-06-01,7900.0
2026-06-03,8230.0
2026-06-05,7750.0
2026-06-08,6118.0
2026-06-10,7008.0
2026-06-12,6900.0
2026-06-15,4795.0
2026-06-17,6395.0
2026-06-19,8098.0
2026-06-22,7113.0
2026-06-27,6865.0
2026-06-29,6150.0
2026-07-03,6460.0
2026-07-13,7775.0
2026-07-20,5453.0
2026-07-23,8173.0
2026-08-31,8325.0
2026-09-07,8475.0
2026-09-10,8750.0
2026-09-17,8475.0
