date,price
2025-01-01,7300.0
2025-01-03,7400.0
2025-01-04,7300.0
2025-01-06,7575.0
2025-01-07,7650.0
2025-01-08,7600.0
2025-01-09,7575.0
2025-01-10,7525.0
2025-01-11,7650.0
2025-01-13,7650.0
2025-01-15,7600.0
2025-01-16,7450.0
2025-01-17,7500.0
2025-01-18,7350.0
2025-01-20,7400.0
2025-01-21,7450.0
2025-01-22,7350.0
2025-01-23,7350.0
2025-01-24,7300.0
2025-01-25,7250.0
2025-01-27,7250.0
2025-01-28,7225.0
2025-01-29,7225.0
2025-01-30,7300.0
2025-01-31,7225.0
2025-02-01,7200.0
2025-02-04,7300.0
2025-02-05,7300.0
2025-02-06,7250.0
2025-02-07,7325.0
2025-02-08,7350.0
2025-02-10,7325.0
2025-02-11,7350.0
2025-02-12,7250.0
2025-02-13,7375.0
2025-02-14,7350.0
2025-02-15,7350.0
2025-02-17,7350.0
2025-02-18,7350.0
2025-02-19,7375.0
2025-02-20,7350.0
2025-02-21,7350.0
2025-02-22,7350.0
2025-02-24,7375.0
2025-02-25,7350.0
2025-02-27,7300.0
2025-02-28,7325.0
2025-03-01,7300.0
2025-03-03,7300.0
2025-03-05,7300.0
2025-03-07,7350.0
2025-03-08,7400.0
2025-03-10,7525.0
2025-03-11,7625.0
2025-03-12,7425.0
2025-03-13,7300.0
2025-03-17,7425.0
2025-03-18,7475.0
2025-03-19,7450.0
2025-03-20,7375.0
2025-03-21,7350.0
2025-03-22,7300.0
2025-03-24,7650.0
2025-03-25,7345.0
2025-04-01,7650.0
2025-04-02,7700.0
2025-04-03,7500.0
2025-04-04,7550.0
2025-04-05,7450.0
2025-04-07,7500.0
2025-04-08,7500.0
2025-04-09,7625.0
2025-04-11,7500.0
2025-04-15,7500.0
2025-04-16,7550.0
2025-04-17,7650.0
2025-04-19,7500.0
2025-04-21,7500.0
2025-04-22,7500.0
2025-04-23,7550.0
2025-04-24,7550.0
2025-04-25,7500.0
2025-04-26,7450.0
2025-04-28,7500.0
2025-04-30,7500.0
2025-05-01,7500.0
2025-05-02,7500.0
2025-05-03,7400.0
2025-05-05,7350.0
2025-12-08,7675.0
2025-12-09,7650.0
2025-12-10,7625.0
2025-12-11,7375.0
2025-12-12,7675.0
2025-12-13,7600.0
2025-12-15,7625.0
2025-12-16,7825.0
2025-12-17,7775.0
2025-12-18,7650.0
2025-12-19,7800.0
2025-12-20,7750.0
2025-12-22,7800.0
2025-12-23,7725.0
2025-12-31,7775.0
2026-01-01,7500.0
2026-01-02,7880.0
2026-01-03,7700.0
2026-01-05,7775.0
2026-01-06,7875.0
2026-01-07,7875.0
2026-01-08,7925.0
2026-01-10,7950.0
2026-01-12,8025.0
2026-01-13,8050.0
2026-01-15,7850.0
2026-01-16,7900.0
2026-01-19,7950.0
2026-01-20,7925.0
2026-01-21,8150.0
2026-01-22,7912.0
2026-01-23,7800.0
2026-01-24,7750.0
2026-01-27,8375.0
2026-01-28,8150.0
2026-01-30,8250.0
2026-01-31,8000.0
2026-02-02,8050.0
2026-02-03,7950.0
2026-02-04,7950.0
2026-02-05,8050.0
2026-02-06,7900.0
2026-02-09,8175.0
2026-02-10,7850.0
2026-02-11,7925.0
2026-02-12,7900.0
2026-02-13,7850.0
2026-02-14,7750.0
2026-02-16,7925.0
2026-02-17,8125.0
2026-02-18,8025.0
2026-02-19,7950.0
2026-02-20,8025.0
2026-02-21,8050.0
2026-02-23,7925.0
2026-02-25,8050.0
2026-02-26,8175.0
2026-02-27,7925.0
2026-03-05,7800.0
2026-03-06,7750.0
2026-03-07,8025.0
2026-03-09,8100.0
2026-03-10,8000.0
2026-03-11,7925.0
2026-03-12,7925.0
2026-03-13,8100.0
2026-03-14,8225.0
2026-03-16,8050.0
2026-03-17,7900.0
2026-03-18,8200.0
2026-03-20,8000.0
2026-03-23,8300.0
2026-03-24,8425.0
2026-04-02,8600.0
2026-04-04,8525.0
2026-04-06,8775.0
2026-04-07,8925.0
2026-04-08,8825.0
2026-04-09,8850.0
2026-04-11,8300.0
2026-04-13,8875.0
2026-04-15,8500.0
2026-04-16,9025.0
2026-04-17,8600.0
2026-04-18,8950.0
2026-04-20,8900.0
2026-04-21,8850.0
2026-04-22,8900.0
2026-04-24,8800.0
2026-04-25,8625.0
2026-04-28,8750.0
2026-05-01,8750.0
2026-05-05,9325.0
2026-05-11,9300.0
2026-05-12,9465.0
2026-05-13,9100.0
2026-05-15,9475.0
2026-05-16,9350.0
2026-05-18,8800.0
2026-05-19,8600.0
2026-05-27,9050.0
