date,price
2025-01-01,7160.0
2025-01-02,7160.0
2025-01-04,7120.0
2025-01-06,7150.0
2025-01-07,7165.0
2025-01-08,7130.0
2025-01-09,7130.0
2025-01-10,7135.0
2025-01-11,7000.0
2025-01-13,7155.0
2025-01-15,7125.0
2025-01-16,7105.0
2025-01-17,7065.0
2025-01-18,7200.0
2025-01-20,7215.0
2025-01-21,7125.0
2025-01-22,7000.0
2025-01-23,7150.0
2025-01-24,6980.0
2025-01-25,7175.0
2025-01-27,7100.0
2025-01-28,6955.0
2025-01-29,6805.0
2025-01-30,6930.0
2025-01-31,6715.0
2025-02-01,6990.0
2025-02-03,6855.0
2025-02-04,6840.0
2025-02-05,6875.0
2025-02-06,6780.0
2025-02-07,6805.0
2025-02-08,6600.0
2025-02-10,6665.0
2025-02-11,7040.0
2025-02-12,6935.0
2025-02-13,7130.0
2025-02-14,6755.0
2025-02-15,6915.0
2025-02-17,7135.0
2025-02-18,6930.0
2025-02-19,6930.0
2025-02-20,6905.0
2025-02-21,7025.0
2025-02-22,7000.0
2025-02-24,7090.0
2025-02-25,6935.0
2025-02-27,7105.0
2025-02-28,6975.0
2025-03-01,6750.0
2025-03-03,6615.0
2025-03-04,6680.0
2025-03-05,6525.0
2025-03-06,6575.0
2025-03-07,6775.0
2025-03-08,6595.0
2025-03-09,6930.0
2025-03-11,6815.0
2025-03-12,6555.0
2025-03-13,6890.0
2025-03-15,6800.0
2025-03-17,6955.0
2025-03-18,6930.0
2025-03-19,6955.0
2025-03-20,6910.0
2025-03-21,6850.0
2025-03-22,6880.0
2025-03-24,6820.0
2025-04-01,6880.0
2025-04-02,7000.0
2025-04-03,6875.0
2025-04-04,6690.0
2025-04-05,6540.0
2025-04-07,6690.0
2025-04-08,6755.0
2025-04-09,6750.0
2025-04-10,6565.0
2025-04-11,6500.0
2025-04-14,6500.0
2025-04-15,6625.0
2025-04-16,6675.0
2025-04-17,6750.0
2025-04-18,6625.0
2025-04-19,6740.0
2025-04-21,7000.0
2025-04-22,7125.0
2025-04-23,6905.0
2025-04-24,6650.0
2025-04-25,7000.0
2025-04-26,6750.0
2025-04-28,6625.0
2025-04-29,7155.0
2025-05-01,6650.0
2025-05-02,6150.0
2025-05-03,6500.0
2025-05-05,6630.0
2025-05-16,6250.0
2025-05-17,6630.0
2025-05-19,5880.0
2025-05-20,6130.0
2025-05-21,6000.0
2025-05-23,6250.0
2025-05-24,5750.0
2025-05-26,5880.0
2025-05-27,6755.0
2025-05-28,6380.0
2025-05-29,6565.0
2025-05-30,6877.5
2025-05-31,5500.0
2025-06-02,6600.0
2025-06-03,6152.5
2025-06-04,6375.0
2025-06-05,5220.0
2025-06-07,5880.0
2025-06-09,6500.0
2025-06-10,6500.0
2025-06-11,6380.0
2025-06-13,6000.0
2025-06-14,7125.0
2025-06-19,6500.0
2025-06-25,7005.0
2025-07-10,6780.0
2025-09-04,6505.0
2025-09-16,5590.0
2025-09-17,5940.0
2025-09-18,5490.0
2025-09-19,5700.0
2025-09-20,6265.0
2025-09-22,6687.5
2025-09-23,6545.0
2025-09-24,6225.0
2025-09-25,6490.0
2025-09-26,6530.0
2025-09-27,6500.0
2025-09-29,6800.0
2025-09-30,6585.0
2025-10-01,6655.0
2025-10-03,6750.0
2025-10-04,7005.0
2025-10-06,6810.0
2025-10-07,6900.0
2025-10-08,6750.0
2025-10-09,6920.0
2025-10-10,7000.0
2025-10-11,7025.0
2025-10-13,6945.0
2025-10-14,6750.0
2025-10-15,6835.0
2025-10-16,6750.0
2025-10-17,6915.0
2025-10-18,6990.0
2025-10-27,7070.0
2025-10-28,7135.0
2025-11-01,7145.0
2025-11-03,7045.0
2025-11-05,7100.0
