date,price
2025-01-02,6950.0
2025-01-03,6915.0
2025-01-04,6915.0
2025-01-06,6900.0
2025-01-07,6950.0
2025-01-08,6925.0
2025-01-09,6915.0
2025-01-10,6900.0
2025-01-11,6910.0
2025-01-13,6925.0
2025-01-15,6910.0
2025-01-16,6925.0
2025-01-17,6945.0
2025-01-18,7015.0
2025-01-19,6900.0
2025-01-20,7145.0
2025-01-21,7125.0
2025-01-22,7055.0
2025-01-23,7045.0
2025-01-24,7125.0
2025-01-27,7125.0
2025-01-28,7100.0
2025-01-29,7025.0
2025-01-30,7065.0
2025-01-31,6950.0
2025-02-01,7035.0
2025-02-02,6965.0
2025-02-03,7045.0
2025-02-05,6950.0
2025-02-06,7165.0
2025-02-07,7185.0
2025-02-08,7110.0
2025-02-10,7100.0
2025-02-11,7135.0
2025-02-12,7045.0
2025-02-13,7100.0
2025-02-14,7165.0
2025-02-15,7065.0
2025-02-17,7065.0
2025-02-18,7055.0
2025-02-19,7050.0
2025-02-20,7110.0
2025-02-21,7125.0
2025-02-22,7065.0
2025-02-24,7125.0
2025-02-25,7165.0
2025-02-26,7100.0
2025-02-27,7185.0
2025-02-28,7045.0
2025-03-01,7050.0
2025-03-03,7125.0
2025-03-04,7150.0
2025-03-05,7100.0
2025-03-06,7050.0
2025-03-07,7125.0
2025-03-08,7110.0
2025-03-12,7085.0
2025-03-13,7135.0
2025-03-14,7015.0
2025-03-15,7150.0
2025-03-17,7045.0
2025-03-18,7135.0
2025-03-19,7065.0
2025-03-20,7050.0
2025-03-22,6950.0
2025-03-25,7065.0
2025-03-26,7025.0
2025-03-28,7045.0
2025-03-29,7100.0
2025-03-31,7015.0
2025-04-02,7015.0
2025-04-12,7015.0
2025-04-17,7045.0
2025-04-19,7075.0
2025-04-22,7025.0
2025-04-23,7050.0
2025-04-24,7095.0
2025-04-26,6950.0
2025-04-29,7045.0
2025-04-30,7045.0
2025-05-01,7050.0
2025-05-03,7015.0
2025-05-05,7100.0
2025-05-07,7125.0
2025-05-08,7035.0
2025-05-12,7075.0
2025-05-14,7035.0
2025-05-15,7025.0
2025-05-19,7045.0
2025-05-20,7025.0
2025-05-21,7065.0
2025-05-22,7085.0
2025-05-23,7045.0
2025-05-24,7045.0
2025-05-26,7100.0
2025-05-28,7045.0
2025-05-30,7045.0
2025-06-03,7045.0
2025-06-05,6935.0
2025-06-07,7050.0
2025-06-09,7165.0
2025-06-11,7045.0
2025-06-17,7045.0
2025-06-20,7035.0
2025-06-23,7135.0
2025-06-26,7045.0
2025-06-28,7125.0
2025-06-30,7045.0
2025-07-08,7045.0
2025-07-09,7125.0
2025-07-11,7165.0
2025-07-12,7045.0
2025-07-14,7045.0
2025-07-16,7095.0
2025-07-18,7065.0
2025-07-22,7065.0
2025-07-24,7065.0
2025-07-26,7095.0
2025-07-29,7125.0
2025-07-31,7015.0
2025-08-05,7115.0
2025-08-07,7070.0
2025-08-09,7065.0
2025-08-11,7045.0
2025-08-12,7050.0
2025-08-13,7065.0
2025-08-15,7085.0
2025-08-18,7075.0
2025-08-19,7050.0
2025-08-21,7085.0
2025-08-22,7065.0
2025-08-25,7085.0
2025-08-29,7045.0
2025-08-30,7025.0
2025-09-01,7055.0
2025-09-02,7085.0
2025-09-08,7045.0
2025-09-10,7015.0
2025-09-13,7045.0
2025-09-19,7085.0
2025-09-20,6985.0
2025-09-22,7015.0
2025-09-24,7025.0
2025-09-25,6985.0
2025-09-26,6998.0
2025-09-29,7165.0
2025-10-03,7095.0
2025-11-11,6985.0
