date,price
2025-01-02,7025.0
2025-01-03,6800.0
2025-01-04,7000.0
2025-01-06,7000.0
2025-01-07,6800.0
2025-01-08,6900.0
2025-01-09,6900.0
2025-01-10,6900.0
2025-01-11,6800.0
2025-01-13,6900.0
2025-01-15,7000.0
2025-01-16,6900.0
2025-01-17,6900.0
2025-01-18,7125.0
2025-01-20,7000.0
2025-01-21,7000.0
2025-01-23,7125.0
2025-01-24,7150.0
2025-01-25,7125.0
2025-01-27,7000.0
2025-01-28,6350.0
2025-01-29,6350.0
2025-01-30,7150.0
2025-01-31,6600.0
2025-02-01,7100.0
2025-02-03,6450.0
2025-02-04,6600.0
2025-02-05,6500.0
2025-02-06,7125.0
2025-02-07,7150.0
2025-02-08,6800.0
2025-02-10,6500.0
2025-02-11,7150.0
2025-02-12,6500.0
2025-02-13,7125.0
2025-02-14,6600.0
2025-02-15,6700.0
2025-02-17,6700.0
2025-02-18,7125.0
2025-02-19,7150.0
2025-02-20,6750.0
2025-02-21,7125.0
2025-02-22,7125.0
2025-02-24,7150.0
2025-02-25,6900.0
2025-02-27,6600.0
2025-02-28,6700.0
2025-03-01,7150.0
2025-03-03,7150.0
2025-03-04,7150.0
2025-03-05,7125.0
2025-03-06,7125.0
2025-03-07,6800.0
2025-03-08,7150.0
2025-03-10,6600.0
2025-03-11,6700.0
2025-03-12,7125.0
2025-03-15,6700.0
2025-03-17,6800.0
2025-03-18,6328.0
2025-03-19,6700.0
2025-03-20,7150.0
2025-03-21,7200.0
2025-03-22,7150.0
2025-03-24,7150.0
2025-04-01,7150.0
2025-04-02,7150.0
2025-04-03,7200.0
2025-04-04,7150.0
2025-04-05,7150.0
2025-04-07,7150.0
2025-04-08,7200.0
2025-04-09,7150.0
2025-04-11,7200.0
2025-04-15,7000.0
2025-04-16,7000.0
2025-04-17,7500.0
2025-04-18,7400.0
2025-04-19,7300.0
2025-04-21,7250.0
2025-04-22,7200.0
2025-04-23,7250.0
2025-04-24,6900.0
2025-04-25,7400.0
2025-04-26,7250.0
2025-04-28,7200.0
2025-04-29,7000.0
2025-05-02,6700.0
2025-05-03,7200.0
2025-05-05,7000.0
2025-09-22,9800.0
2025-09-23,7300.0
2025-09-25,7000.0
2025-09-26,7000.0
2025-09-27,7100.0
2025-09-29,7200.0
2025-10-01,7250.0
2025-10-03,7500.0
2025-10-04,7500.0
2025-10-06,7350.0
2025-10-07,7200.0
2025-10-08,7500.0
2025-10-09,7600.0
2025-10-10,7500.0
2025-10-11,7500.0
2025-10-13,7550.0
2025-10-14,7400.0
2025-10-15,7300.0
2025-10-16,7200.0
2025-10-30,7400.0
2025-11-01,7400.0
2025-11-03,7500.0
2025-11-04,7500.0
2025-11-06,7450.0
2025-11-07,7300.0
2025-11-10,7300.0
2025-11-11,7350.0
2025-11-12,7400.0
2025-11-13,7475.0
2025-11-14,7400.0
2025-11-15,7500.0
2025-11-17,7300.0
2025-11-18,7350.0
2025-11-19,7300.0
2025-11-20,7300.0
2025-11-21,7400.0
2025-11-22,7300.0
2025-11-24,7400.0
2025-11-25,7400.0
2025-11-26,7300.0
2025-11-27,7500.0
2025-11-28,7500.0
2025-11-29,7500.0
2025-12-01,7500.0
2025-12-02,7500.0
2025-12-03,7600.0
2025-12-04,7600.0
2025-12-05,7600.0
2025-12-06,7710.0
2025-12-09,7600.0
2025-12-10,7710.0
2025-12-11,7725.0
2025-12-12,7725.0
2025-12-13,7650.0
2025-12-15,7400.0
2025-12-16,7750.0
2025-12-17,7710.0
2025-12-18,7650.0
2025-12-19,7725.0
2025-12-20,7725.0
2025-12-22,7750.0
2025-12-23,7800.0
2025-12-24,7725.0
2025-12-25,7725.0
2025-12-26,7750.0
2025-12-27,7775.0
2025-12-31,7710.0
2026-01-01,7725.0
2026-01-02,7725.0
2026-01-03,7650.0
2026-01-05,7710.0
2026-01-06,7725.0
2026-01-07,7800.0
2026-01-08,7850.0
2026-01-09,7800.0
2026-01-10,7850.0
2026-01-12,8100.0
2026-01-13,8000.0
2026-01-15,7600.0
2026-01-16,7850.0
2026-01-17,7800.0
2026-01-19,7800.0
2026-01-20,7800.0
2026-01-21,7800.0
2026-01-24,7825.0
2026-01-27,8000.0
2026-01-28,7800.0
2026-01-29,7900.0
2026-01-30,7900.0
2026-01-31,7800.0
2026-02-02,7775.0
2026-02-03,7900.0
2026-02-04,7900.0
2026-02-05,7850.0
2026-02-06,8000.0
2026-02-07,7750.0
2026-02-09,7800.0
2026-02-10,7825.0
2026-02-11,7800.0
2026-02-12,7800.0
2026-02-16,7850.0
2026-02-17,7750.0
2026-02-18,7725.0
2026-02-19,7725.0
2026-02-20,7750.0
2026-02-21,7725.0
2026-02-23,7750.0
2026-02-24,7800.0
2026-02-25,7800.0
2026-02-26,7800.0
2026-02-27,7850.0
2026-02-28,7800.0
2026-03-02,7750.0
2026-03-05,7750.0
2026-03-06,7750.0
2026-03-07,7800.0
2026-03-09,7850.0
2026-03-10,7850.0
2026-03-11,7800.0
2026-03-12,7800.0
2026-03-14,7800.0
2026-03-16,7800.0
2026-03-17,7850.0
2026-03-18,8000.0
2026-03-19,7850.0
2026-03-20,7800.0
2026-03-21,8000.0
2026-03-23,7850.0
2026-03-24,7900.0
2026-04-01,7850.0
2026-04-03,8000.0
2026-04-04,8200.0
2026-04-06,8100.0
2026-04-07,8000.0
2026-04-08,7500.0
2026-04-09,8000.0
2026-04-10,7850.0
2026-04-11,7800.0
2026-04-13,8000.0
2026-04-15,7850.0
2026-04-16,8000.0
2026-04-17,7750.0
2026-04-18,8000.0
2026-04-20,7900.0
2026-04-21,8250.0
2026-04-22,8100.0
2026-04-23,7500.0
2026-04-24,8000.0
2026-04-25,7705.0
2026-04-27,7850.0
2026-04-28,8400.0
2026-04-29,8300.0
2026-04-30,8100.0
2026-05-01,8200.0
2026-05-02,8200.0
2026-05-04,8400.0
2026-05-05,8500.0
2026-05-06,8500.0
2026-05-07,8500.0
2026-05-08,8800.0
2026-05-09,9000.0
2026-05-11,8000.0
2026-05-14,8500.0
2026-05-18,7750.0
2026-05-21,8800.0
2026-09-21,10500.0
2026-09-22,9100.0
