date,price
2025-01-01,7225.0
2025-01-02,7175.0
2025-01-03,7225.0
2025-01-04,7225.0
2025-01-06,7300.0
2025-01-07,7350.0
2025-01-08,7225.0
2025-01-09,7225.0
2025-01-10,7200.0
2025-01-11,7175.0
2025-01-13,7350.0
2025-01-15,7250.0
2025-01-16,7255.0
2025-01-17,7125.0
2025-01-18,7170.0
2025-01-20,7200.0
2025-01-21,7225.0
2025-01-22,7125.0
2025-01-23,7150.0
2025-01-24,7270.0
2025-01-25,7175.0
2025-01-27,7200.0
2025-01-28,7150.0
2025-01-29,7200.0
2025-01-30,7100.0
2025-01-31,7100.0
2025-02-01,7125.0
2025-02-03,7100.0
2025-02-04,7100.0
2025-02-05,7055.0
2025-02-06,7025.0
2025-02-07,7150.0
2025-02-08,7105.0
2025-02-10,7055.0
2025-02-11,7075.0
2025-02-12,7075.0
2025-02-13,7000.0
2025-02-14,7075.0
2025-02-15,7055.0
2025-02-17,7000.0
2025-02-18,7050.0
2025-02-19,7055.0
2025-02-20,7055.0
2025-02-21,7105.0
2025-02-22,7125.0
2025-02-24,7125.0
2025-02-25,7145.0
2025-02-27,7125.0
2025-02-28,7155.0
2025-03-01,7000.0
2025-03-03,7200.0
2025-03-04,7250.0
2025-03-05,7000.0
2025-03-06,7000.0
2025-03-07,7200.0
2025-03-08,7200.0
2025-03-10,7250.0
2025-03-11,7125.0
2025-03-12,7150.0
2025-03-13,7105.0
2025-03-15,7200.0
2025-03-17,7250.0
2025-03-18,7125.0
2025-03-19,7150.0
2025-03-20,7250.0
2025-03-21,7200.0
2025-03-22,7250.0
2025-03-24,7150.0
2025-03-25,7100.0
2025-04-01,7145.0
2025-04-02,7305.0
2025-04-03,7200.0
2025-04-04,7300.0
2025-04-05,7110.0
2025-04-07,7125.0
2025-04-08,7200.0
2025-04-09,7250.0
2025-04-10,7225.0
2025-04-11,7240.0
2025-04-14,7250.0
2025-04-15,7300.0
2025-04-16,7220.0
2025-04-17,7250.0
2025-04-18,7200.0
2025-04-19,7150.0
2025-04-21,7200.0
2025-04-22,7175.0
2025-04-23,7240.0
2025-04-24,7280.0
2025-04-25,7400.0
2025-04-26,7320.0
2025-04-28,7445.0
2025-04-29,7375.0
2025-04-30,7400.0
2025-05-01,7350.0
2025-05-02,7375.0
2025-05-03,7350.0
2025-05-05,7350.0
2025-05-06,7400.0
2025-05-15,7375.0
2025-05-16,7425.0
2025-05-17,7405.0
2025-05-19,7360.0
2025-05-20,7385.0
2025-05-21,7400.0
2025-05-22,7400.0
2025-05-23,7425.0
2025-05-24,7400.0
2025-05-26,7400.0
2025-05-27,7375.0
2025-05-28,7400.0
2025-05-29,7300.0
2025-05-30,7350.0
2025-05-31,7400.0
2025-06-02,7500.0
2025-06-03,7500.0
2025-06-04,7550.0
2025-06-05,7525.0
2025-06-07,7550.0
2025-06-09,7650.0
2025-06-10,7700.0
2025-06-11,7650.0
2025-06-12,7700.0
2025-06-13,7850.0
2025-06-14,7900.0
2025-06-16,7950.0
2025-06-17,7250.0
2025-06-18,7800.0
2025-06-19,7800.0
2025-06-20,7900.0
2025-06-21,7850.0
2025-06-23,7800.0
2025-06-24,7750.0
2025-06-25,7650.0
2025-06-26,7600.0
2025-06-28,7650.0
2025-06-30,7700.0
2025-07-01,7800.0
2025-07-02,7850.0
2025-07-03,7900.0
2025-07-04,7750.0
2025-07-05,7900.0
2025-07-07,7800.0
2025-07-08,7825.0
2025-07-09,7925.0
2025-07-10,7925.0
2025-07-11,7950.0
2025-07-12,8000.0
2025-07-14,8075.0
2025-07-15,8125.0
2025-07-16,8100.0
2025-07-17,8100.0
2025-07-18,8125.0
2025-07-19,8100.0
2025-07-21,8075.0
2025-07-22,8050.0
2025-07-23,8000.0
2025-07-24,8100.0
2025-07-25,8125.0
2025-07-26,8100.0
2025-07-28,8125.0
2025-07-29,8075.0
2025-07-30,8100.0
2025-07-31,8125.0
2025-08-01,7900.0
2025-08-02,8150.0
2025-08-04,8105.0
2025-08-05,8150.0
2025-08-06,8075.0
2025-08-07,8055.0
2025-08-08,8100.0
2025-08-11,8050.0
2025-08-12,8125.0
2025-08-19,8000.0
2025-08-20,8000.0
2025-08-21,7875.0
2025-08-22,8000.0
2025-08-25,8055.0
2025-08-26,8055.0
2025-08-27,8055.0
2025-08-28,8000.0
2025-08-29,8055.0
2025-08-30,8055.0
2025-09-01,7805.0
2025-09-02,7730.0
2025-09-03,7600.0
2025-09-04,7720.0
2025-09-05,7400.0
2025-09-06,7620.0
2025-09-08,7550.0
2025-09-09,7330.0
2025-09-10,7505.0
2025-09-12,7885.0
2025-09-13,7815.0
2025-09-15,7860.0
2025-09-16,7750.0
2025-09-17,7570.0
2025-09-18,7760.0
2025-09-19,7750.0
2025-09-20,7630.0
2025-09-22,7710.0
2025-09-23,7500.0
2025-09-24,7735.0
2025-09-25,7480.0
2025-09-26,7530.0
2025-09-27,7490.0
2025-09-29,7465.0
2025-09-30,7450.0
2025-10-01,7220.0
2025-10-03,7095.0
2025-10-04,7025.0
2025-10-06,7075.0
2025-10-07,7155.0
2025-10-08,7200.0
2025-10-09,7055.0
2025-10-10,7055.0
2025-10-11,7105.0
2025-10-13,7125.0
2025-10-14,7025.0
2025-10-15,7000.0
2025-10-16,7105.0
2025-10-17,7055.0
2025-10-18,7000.0
2025-10-27,7205.0
2025-10-28,7250.0
2025-10-29,7255.0
2025-10-30,7275.0
2025-10-31,7125.0
2025-11-01,7200.0
2025-11-03,7050.0
2025-11-04,7250.0
2025-11-05,7150.0
2025-11-06,7200.0
2025-11-07,7200.0
2025-11-08,7225.0
2025-11-10,7200.0
2025-11-11,7235.0
2025-11-12,7225.0
2025-11-13,7325.0
2025-11-14,7220.0
2025-11-15,7175.0
2025-11-17,7225.0
2025-11-18,7175.0
2025-11-19,7155.0
2025-11-20,7200.0
2025-11-21,7225.0
2025-11-22,6900.0
2025-11-24,7300.0
2025-11-25,7225.0
2025-11-26,7275.0
2025-11-27,7225.0
2025-11-28,7200.0
2025-11-29,7200.0
2025-12-01,7375.0
2025-12-02,7100.0
2025-12-03,7100.0
2025-12-04,7265.0
2025-12-05,7225.0
2025-12-06,7320.0
2025-12-08,7400.0
2025-12-09,7300.0
2025-12-10,7300.0
2025-12-11,7200.0
2025-12-12,7350.0
2025-12-13,7195.0
2025-12-15,7350.0
2025-12-16,7325.0
2025-12-17,7250.0
2025-12-18,7400.0
2025-12-19,7475.0
2025-12-20,7490.0
2025-12-22,7400.0
2025-12-23,7490.0
2025-12-24,7420.0
2025-12-25,7425.0
2025-12-26,7375.0
2025-12-27,7450.0
2025-12-29,7400.0
2025-12-30,7490.0
2025-12-31,7475.0
2026-01-01,7350.0
2026-01-02,7300.0
2026-01-03,7300.0
2026-01-05,7400.0
2026-01-06,7300.0
2026-01-07,7300.0
2026-01-08,7350.0
2026-01-09,7450.0
2026-01-10,7500.0
2026-01-12,7700.0
2026-01-13,7750.0
2026-01-15,7950.0
2026-01-16,7900.0
2026-01-17,7850.0
2026-01-19,7850.0
2026-01-20,7900.0
2026-01-21,7900.0
2026-01-22,7950.0
2026-01-23,7725.0
2026-01-24,7925.0
2026-01-27,7950.0
2026-01-28,7900.0
2026-01-29,7875.0
2026-01-30,7925.0
2026-01-31,7750.0
2026-02-02,7725.0
2026-02-03,7700.0
2026-02-04,7750.0
2026-02-05,7575.0
2026-02-06,7675.0
2026-02-07,7625.0
2026-02-09,7600.0
2026-02-10,7575.0
2026-02-11,7600.0
2026-02-12,7600.0
2026-02-13,7625.0
2026-02-14,7550.0
2026-02-16,7600.0
2026-02-17,7550.0
2026-02-18,7550.0
2026-02-19,7350.0
2026-02-20,7400.0
2026-02-21,7300.0
2026-02-23,7250.0
2026-02-24,7000.0
2026-02-25,7750.0
2026-02-26,7750.0
2026-02-27,7550.0
2026-02-28,7450.0
2026-03-02,7250.0
2026-03-03,7300.0
2026-03-05,7350.0
2026-03-06,7300.0
2026-03-07,7400.0
2026-03-09,7350.0
2026-03-10,7400.0
2026-03-11,7400.0
2026-03-12,7450.0
2026-03-13,7425.0
2026-03-14,7450.0
2026-03-16,7450.0
2026-03-17,7605.0
2026-03-18,7500.0
2026-03-19,7700.0
2026-03-20,7600.0
2026-03-21,7800.0
2026-03-23,7875.0
2026-03-24,7550.0
2026-03-25,7625.0
2026-04-01,8250.0
2026-04-03,8275.0
2026-04-04,8500.0
2026-04-06,8550.0
2026-04-07,8250.0
2026-04-08,8375.0
2026-04-09,8250.0
2026-04-10,8250.0
2026-04-11,8275.0
2026-04-13,8375.0
2026-04-14,8350.0
2026-04-15,8325.0
2026-04-16,8150.0
2026-04-17,8250.0
2026-04-18,8275.0
2026-04-20,8250.0
2026-04-21,8200.0
2026-04-22,8275.0
2026-04-23,8250.0
2026-04-24,8275.0
2026-04-25,8250.0
2026-04-27,8275.0
2026-04-28,8250.0
2026-04-29,8150.0
2026-04-30,8300.0
2026-05-01,8200.0
2026-05-02,8250.0
2026-05-04,8500.0
2026-05-05,8525.0
2026-05-06,8550.0
2026-05-07,8575.0
2026-05-08,8500.0
2026-05-09,8600.0
2026-05-11,8750.0
2026-05-12,8775.0
2026-05-13,8875.0
2026-05-14,8950.0
2026-05-15,8750.0
2026-05-16,8500.0
2026-05-18,8650.0
2026-05-19,8250.0
2026-05-20,8000.0
2026-05-21,8250.0
2026-05-22,7750.0
2026-05-23,9300.0
2026-05-25,7875.0
2026-05-26,8750.0
2026-05-27,8650.0
2026-05-28,8525.0
