date,price
2025-01-02,6837.0
2025-01-03,6875.0
2025-01-04,7068.0
2025-01-06,6950.0
2025-01-07,6990.0
2025-01-08,7003.0
2025-01-09,6953.0
2025-01-10,6765.0
2025-01-11,6880.0
2025-01-15,7225.0
2025-01-16,6975.0
2025-01-17,7140.0
2025-01-18,6998.0
2025-01-20,6938.0
2025-01-21,7038.0
2025-01-22,6695.0
2025-01-24,7025.0
2025-01-25,7013.0
2025-01-27,7013.0
2025-01-28,6763.0
2025-01-29,6628.0
2025-01-30,6675.0
2025-01-31,6663.0
2025-02-03,6690.0
2025-02-04,6090.0
2025-02-05,6750.0
2025-02-07,7028.0
2025-02-08,6800.0
2025-02-12,6200.0
2025-02-13,6600.0
2025-02-14,6788.0
2025-02-15,6405.0
2025-02-17,6640.0
2025-02-19,6785.0
2025-02-20,6808.0
2025-02-21,6865.0
2025-02-22,6813.0
2025-02-24,6638.0
2025-02-27,6628.0
2025-02-28,6718.0
2025-03-01,6615.0
2025-03-03,6700.0
2025-03-04,6650.0
2025-03-05,6650.0
2025-03-06,6600.0
2025-03-07,11438.0
2025-03-08,6625.0
2025-03-10,6628.0
2025-03-11,6653.0
2025-03-12,6148.0
2025-03-13,6300.0
2025-03-15,6918.0
2025-03-17,6850.0
2025-03-18,6650.0
2025-03-19,6105.0
2025-03-20,6578.0
2025-03-21,6415.0
2025-03-22,6153.0
2025-03-24,6650.0
2025-03-26,6628.0
2025-04-03,6250.0
2025-04-04,6250.0
2025-04-05,6255.0
2025-04-07,6528.0
2025-04-08,6553.0
2025-04-09,6178.0
2025-04-10,6438.0
2025-04-11,6425.0
2025-04-12,5675.0
2025-04-15,6240.0
2025-04-16,6765.0
2025-04-17,6530.0
2025-04-18,6720.0
2025-04-19,6480.0
2025-04-21,6425.0
2025-04-22,6743.0
2025-04-23,6463.0
2025-04-24,6270.0
2025-04-25,6003.0
2025-04-26,6263.0
2025-04-28,6520.0
2025-04-29,6520.0
2025-04-30,6510.0
2025-05-01,6755.0
2025-05-02,6643.0
2025-05-03,6753.0
2025-05-05,6755.0
2025-05-06,6525.0
2025-05-08,7178.0
2025-05-09,6850.0
2025-05-10,7103.0
2025-05-12,6555.0
2025-05-13,6530.0
2025-05-14,6300.0
2025-05-15,6775.0
2025-05-16,6528.0
2025-05-17,6570.0
2025-05-19,6555.0
2025-05-20,6312.0
2025-05-21,6278.0
2025-05-22,6550.0
2025-05-23,6325.0
2025-05-24,6800.0
2025-05-26,6105.0
2025-05-27,6470.0
2025-05-28,6603.0
2025-05-29,6600.0
2025-05-30,7093.0
2025-05-31,7063.0
2025-06-02,6063.0
2025-06-03,5750.0
2025-06-04,6963.0
2025-06-05,6628.0
2025-06-06,7213.0
2025-06-07,6878.0
2025-06-09,5713.0
2025-06-10,6895.0
2025-06-11,6875.0
2025-06-12,6750.0
2025-06-13,6133.0
2025-06-14,6563.0
2025-06-17,7025.0
2025-06-18,6428.0
2025-06-19,6308.0
2025-06-20,7188.0
2025-06-21,6678.0
2025-06-24,6428.0
2025-06-25,6878.0
2025-06-26,6000.0
2025-06-27,7000.0
2025-06-28,6875.0
2025-06-30,7378.0
2025-07-01,7303.0
2025-07-02,6375.0
2025-07-03,7000.0
2025-07-04,6000.0
2025-07-05,5000.0
2025-07-07,7128.0
2025-07-08,6500.0
2025-07-09,6003.0
2025-07-10,6000.0
2025-07-11,7628.0
2025-07-14,8128.0
2025-07-15,7063.0
2025-07-16,6625.0
2025-07-17,5750.0
2025-07-18,5628.0
2025-07-19,6878.0
2025-07-21,6500.0
2025-07-22,7563.0
2025-07-23,7128.0
2025-07-25,7130.0
2025-07-28,7378.0
2025-07-29,6750.0
2025-07-30,6750.0
2025-07-31,7755.0
2025-08-02,7253.0
2025-08-04,6855.0
2025-08-05,6255.0
2025-08-07,5555.0
2025-08-11,5755.0
2025-08-12,6500.0
2025-08-21,7505.0
2025-08-22,7505.0
2025-08-26,8005.0
2025-08-27,7563.0
2025-09-06,7630.0
2025-09-08,6515.0
2025-09-09,5900.0
2025-09-10,6143.0
2025-09-11,5878.0
2025-09-12,6305.0
2025-09-13,6253.0
2025-09-15,6503.0
2025-09-16,6400.0
2025-09-17,6380.0
2025-09-18,6353.0
2025-09-19,6078.0
2025-09-20,5852.0
2025-09-22,5653.0
2025-09-23,5428.0
2025-09-24,4688.0
2025-09-25,4568.0
2025-09-26,5590.0
2025-09-27,4753.0
2025-09-30,4503.0
2025-10-01,4875.0
2025-10-03,4750.0
2025-10-04,4625.0
2025-10-06,5175.0
2025-10-07,5015.0
2025-10-08,5755.0
2025-10-09,5000.0
2025-10-10,5278.0
2025-10-11,6375.0
2025-10-13,6128.0
2025-10-15,5853.0
2025-10-16,5750.0
2025-10-17,6125.0
2025-10-27,7330.0
2025-11-03,6460.0
2025-11-04,5813.0
2025-11-05,5787.0
2025-11-06,5495.0
2025-11-18,5750.0
2025-11-19,6000.0
2025-11-20,6250.0
2025-11-21,5985.0
2025-11-22,6250.0
2025-11-24,5925.0
2025-11-25,5463.0
2025-11-26,5875.0
2025-11-28,6003.0
2025-11-29,6128.0
2025-12-01,6013.0
2025-12-02,6150.0
2025-12-03,4910.0
2025-12-04,5948.0
2025-12-05,6323.0
2025-12-06,5300.0
2025-12-08,6278.0
2025-12-09,6075.0
2025-12-10,6250.0
2025-12-11,6278.0
2025-12-12,5878.0
2025-12-13,6018.0
2025-12-15,6290.0
2025-12-16,5815.0
2025-12-17,6070.0
2025-12-18,6278.0
2025-12-19,6003.0
2025-12-20,6378.0
2025-12-22,6045.0
2025-12-23,6090.0
2025-12-24,6060.0
