date,price
2025-01-02,7020.0
2025-01-03,6998.0
2025-01-04,7000.0
2025-01-06,7078.0
2025-01-07,7130.0
2025-01-08,7053.0
2025-01-09,7100.0
2025-01-10,7093.0
2025-01-11,7020.0
2025-01-13,7068.0
2025-01-15,7075.0
2025-01-16,7150.0
2025-01-17,7003.0
2025-01-18,6863.0
2025-01-20,7075.0
2025-01-21,6988.0
2025-01-22,7098.0
2025-01-23,7085.0
2025-01-24,7113.0
2025-01-25,6973.0
2025-01-27,6925.0
2025-01-28,7100.0
2025-01-29,6900.0
2025-01-30,7050.0
2025-01-31,7000.0
2025-02-01,6750.0
2025-02-04,6900.0
2025-02-05,7000.0
2025-02-06,6950.0
2025-02-07,6950.0
2025-02-08,6850.0
2025-02-10,6950.0
2025-02-11,7100.0
2025-02-12,7000.0
2025-02-13,6950.0
2025-02-14,7000.0
2025-02-15,7050.0
2025-02-17,7150.0
2025-02-18,7050.0
2025-02-19,7100.0
2025-02-20,6875.0
2025-02-21,6950.0
2025-02-22,6750.0
2025-02-24,7000.0
2025-02-25,6750.0
2025-02-27,6625.0
2025-02-28,7000.0
2025-03-01,7050.0
2025-03-03,7100.0
2025-03-04,7125.0
2025-03-05,7150.0
2025-03-06,6900.0
2025-03-07,7100.0
2025-03-08,6950.0
2025-03-10,7000.0
2025-03-11,7000.0
2025-03-12,7050.0
2025-03-13,6850.0
2025-03-17,7100.0
2025-03-18,7100.0
2025-03-19,7200.0
2025-03-20,7150.0
2025-03-21,7150.0
2025-03-22,7150.0
2025-03-24,7150.0
2025-03-25,7100.0
2025-04-01,7000.0
2025-04-02,6950.0
2025-04-03,7000.0
2025-04-04,7000.0
2025-04-05,7150.0
2025-04-07,6950.0
2025-04-08,7000.0
2025-04-09,7150.0
2025-04-10,7250.0
2025-04-11,6600.0
2025-04-12,6750.0
2025-04-15,6950.0
2025-04-16,6800.0
2025-04-17,7150.0
2025-04-18,6950.0
2025-04-19,7000.0
2025-04-21,7150.0
2025-04-22,7150.0
2025-04-23,7150.0
2025-04-24,7250.0
2025-04-25,7250.0
2025-04-26,7300.0
2025-04-28,7250.0
2025-04-29,7150.0
2025-05-01,6950.0
2025-05-02,7250.0
2025-05-03,7250.0
2025-05-05,7250.0
2025-05-06,7125.0
2025-05-09,7000.0
2025-05-12,7200.0
2025-05-13,7300.0
2025-05-14,7300.0
2025-05-15,7250.0
2025-05-16,7250.0
2025-05-17,7300.0
2025-05-19,7300.0
2025-05-26,7250.0
2025-05-28,6750.0
2025-05-29,7300.0
2025-05-30,7250.0
2025-05-31,7150.0
2025-06-02,7000.0
2025-06-03,6875.0
2025-06-04,7300.0
2025-06-05,7250.0
2025-06-09,7250.0
2025-06-10,7250.0
2025-06-11,7300.0
2025-06-12,7300.0
2025-06-13,7250.0
2025-06-14,7350.0
2025-06-16,7350.0
2025-06-18,7550.0
2025-06-19,7600.0
2025-06-20,7350.0
2025-06-21,7750.0
2025-06-23,7600.0
2025-06-24,7750.0
2025-06-25,7500.0
2025-06-26,7500.0
2025-06-28,7350.0
2025-06-30,7800.0
2025-07-01,7350.0
