date,price
2025-01-01,6760.0
2025-01-02,6917.0
2025-01-03,7055.0
2025-01-04,7120.0
2025-01-06,6955.0
2025-01-07,7095.0
2025-01-08,7075.0
2025-01-09,7210.0
2025-01-10,7072.0
2025-01-11,7072.0
2025-01-15,7057.0
2025-01-16,7070.0
2025-01-17,7050.0
2025-01-18,6955.0
2025-01-20,6910.0
2025-01-22,6787.0
2025-01-23,6915.0
2025-01-24,6900.0
2025-01-25,6907.0
2025-01-27,6802.0
2025-01-28,6792.0
2025-01-29,6910.0
2025-01-30,6750.0
2025-01-31,6725.0
2025-02-01,6730.0
2025-02-03,6725.0
2025-02-04,6857.0
2025-02-05,6837.0
2025-02-06,6842.0
2025-02-07,6867.0
2025-02-08,6865.0
2025-02-10,6892.0
2025-02-11,6837.0
2025-02-12,6827.0
2025-02-13,6885.0
2025-02-14,6510.0
2025-02-15,6785.0
2025-02-17,6972.0
2025-02-18,7047.0
2025-02-19,7000.0
2025-02-20,6912.0
2025-02-21,6770.0
2025-02-22,6950.0
2025-02-24,6877.0
2025-02-25,6932.0
2025-02-27,6750.0
2025-02-28,6745.0
2025-03-01,6440.0
2025-03-03,6900.0
2025-03-04,6875.0
2025-03-05,6910.0
2025-03-06,6750.0
2025-03-07,6665.0
2025-03-08,6497.0
2025-03-10,6897.0
2025-03-11,6857.0
2025-03-12,6780.0
2025-03-15,6500.0
2025-03-17,6887.0
2025-03-18,6750.0
2025-03-19,6977.0
2025-03-20,6772.0
2025-03-21,6737.0
2025-03-22,6927.0
2025-03-24,6752.0
2025-03-25,6777.0
2025-04-01,6907.0
2025-04-02,6577.0
2025-04-03,7027.0
2025-04-04,7000.0
2025-04-05,7090.0
2025-04-07,6605.0
2025-04-08,7000.0
2025-04-09,7030.0
2025-04-11,6450.0
2025-04-12,6850.0
2025-04-15,6252.0
2025-04-16,6740.0
2025-04-17,6412.0
2025-04-18,7190.0
2025-04-19,6302.0
2025-04-21,6927.0
2025-04-22,6500.0
2025-04-25,7162.0
2025-04-29,6677.0
2025-05-02,6977.0
2025-05-06,6627.0
2025-09-29,7005.0
2025-09-30,6900.0
2025-10-01,6987.0
2025-10-03,6927.0
2025-10-04,6827.0
2025-10-06,6400.0
2025-10-07,6917.0
2025-10-08,6887.0
2025-10-09,6912.0
2025-10-10,6902.0
2025-10-11,6920.0
2025-10-13,7140.0
2025-10-14,7135.0
2025-10-15,6955.0
2025-10-16,7012.0
2025-10-29,7065.0
2025-10-30,7075.0
2025-11-01,6930.0
2025-11-03,6955.0
2025-11-04,6890.0
2025-11-06,6902.0
2025-11-10,6857.0
2025-11-11,6975.0
2025-11-12,6870.0
2025-11-13,6635.0
2025-11-14,6952.0
2025-11-15,7125.0
2025-11-17,6857.0
2025-11-18,6955.0
2025-11-19,7085.0
2025-11-20,7082.0
2025-11-21,7107.0
2025-11-22,6780.0
2025-11-24,7042.0
2025-11-26,7122.0
2025-11-27,7177.0
2025-11-28,7122.0
2025-11-29,7115.0
2025-12-01,7217.0
2025-12-02,7177.0
2025-12-03,7172.0
2025-12-04,7260.0
2025-12-05,7227.0
2025-12-06,7282.0
2025-12-08,7025.0
2025-12-11,7345.0
2025-12-12,7200.0
2025-12-13,7250.0
2025-12-15,7150.0
2025-12-16,7200.0
2025-12-17,7130.0
2025-12-18,7332.0
2025-12-19,7345.0
2025-12-20,7292.0
2025-12-22,7360.0
2025-12-23,7350.0
2025-12-24,7295.0
2025-12-25,7452.0
2025-12-26,7300.0
2025-12-27,7467.0
2025-12-29,7275.0
2025-12-30,7167.0
2025-12-31,7187.0
2026-01-01,7317.0
2026-01-02,7395.0
2026-01-03,7230.0
2026-01-05,7362.0
2026-01-06,7320.0
2026-01-07,7287.0
2026-01-08,7595.0
2026-01-09,7607.0
2026-01-10,7650.0
2026-01-12,7262.0
2026-01-13,7642.0
2026-01-15,7607.0
2026-01-16,7520.0
2026-01-17,7665.0
2026-01-19,7540.0
2026-01-20,7482.0
2026-01-21,7392.0
2026-01-22,7177.0
2026-01-27,7307.0
2026-01-28,7287.0
2026-01-29,7610.0
2026-01-30,7150.0
2026-01-31,7105.0
2026-02-02,6875.0
2026-02-03,7260.0
2026-02-04,7262.0
2026-02-05,7247.0
2026-02-06,7262.0
2026-02-07,7100.0
2026-02-09,7225.0
2026-02-10,7100.0
2026-02-11,7137.0
2026-02-12,6950.0
2026-02-13,7012.0
2026-02-14,6402.0
2026-02-16,6730.0
2026-02-17,7075.0
2026-02-18,6600.0
2026-02-19,6562.0
2026-02-20,6502.0
2026-02-21,6762.0
2026-02-23,6750.0
2026-02-24,6950.0
2026-02-25,6775.0
2026-02-26,6950.0
2026-02-27,6625.0
2026-02-28,7087.0
2026-03-09,6725.0
2026-03-10,6775.0
2026-03-11,6527.0
2026-03-12,6302.0
2026-03-13,7265.0
2026-03-14,6752.0
2026-03-16,7090.0
2026-03-17,7187.0
2026-09-22,10007.0
2026-09-23,8815.0
