date,price
2025-01-01,6840.0
2025-01-02,7005.0
2025-01-03,6980.0
2025-01-04,7050.0
2025-01-06,6825.0
2025-01-07,6910.0
2025-01-08,6930.0
2025-01-09,6965.0
2025-01-10,7105.0
2025-01-11,7105.0
2025-01-13,7110.0
2025-01-15,6800.0
2025-01-16,6860.0
2025-01-17,6770.0
2025-01-18,6855.0
2025-01-20,6815.0
2025-01-21,6880.0
2025-01-22,7000.0
2025-01-23,6935.0
2025-01-24,6850.0
2025-01-25,7040.0
2025-01-27,6905.0
2025-01-28,7015.0
2025-01-29,6625.0
2025-01-30,6760.0
2025-01-31,6905.0
2025-02-01,6690.0
2025-02-03,6365.0
2025-02-04,6615.0
2025-02-05,6940.0
2025-02-06,6965.0
2025-02-07,6800.0
2025-02-08,6880.0
2025-02-10,6705.0
2025-02-11,6780.0
2025-02-12,7090.0
2025-02-13,6620.0
2025-02-14,6745.0
2025-02-15,6800.0
2025-02-17,6805.0
2025-02-18,6440.0
2025-02-19,6600.0
2025-02-20,6800.0
2025-02-21,6335.0
2025-02-22,7000.0
2025-02-24,6700.0
2025-02-25,6845.0
2025-02-27,6970.0
2025-02-28,6955.0
2025-03-01,6755.0
2025-03-03,6040.0
2025-03-04,6695.0
2025-03-05,6680.0
2025-03-06,6490.0
2025-03-07,6665.0
2025-03-08,6510.0
2025-03-10,6765.0
2025-03-11,6805.0
2025-03-12,6845.0
2025-03-21,6650.0
2025-03-22,6565.0
2025-03-24,6680.0
2025-03-25,6800.0
2025-03-26,6800.0
2025-03-27,6790.0
2025-03-28,6675.0
2025-03-29,6630.0
2025-03-31,6690.0
2025-04-01,6640.0
2025-04-02,6480.0
2025-04-03,6565.0
2025-04-04,6720.0
2025-04-05,6330.0
2025-04-07,6840.0
2025-04-08,6640.0
2025-04-15,6925.0
2025-04-16,6575.0
2025-04-17,5865.0
2025-04-18,6605.0
2025-04-19,6740.0
2025-04-21,6705.0
2025-04-22,6300.0
2025-04-23,6185.0
2025-04-24,6550.0
2025-04-25,6085.0
2025-05-06,5250.0
2025-05-08,5480.0
2025-05-13,5405.0
2025-05-19,6030.0
2025-05-20,6125.0
2025-05-22,5815.0
2025-05-29,6765.0
2025-05-30,6015.0
2025-06-05,5635.0
2025-06-07,6380.0
2025-06-09,6415.0
2025-06-10,6700.0
2025-06-11,7130.0
2025-06-12,6120.0
2025-06-13,6000.0
2025-06-14,6480.0
2025-06-17,6125.0
2025-06-21,5865.0
2025-06-23,5730.0
2025-07-02,6115.0
2025-08-26,7950.0
2025-09-01,6700.0
2025-09-15,5965.0
2025-09-16,5955.0
2025-09-17,6090.0
2025-09-18,6390.0
2025-09-19,5785.0
2025-09-20,6000.0
2025-09-22,5700.0
2025-09-23,5180.0
2025-09-25,5450.0
2025-09-26,5125.0
2025-09-27,5000.0
2025-09-30,5280.0
2025-10-01,5500.0
2025-10-03,5590.0
2025-10-04,5535.0
2025-10-06,5575.0
2025-10-07,5955.0
2025-10-08,5375.0
2025-10-09,5815.0
2025-10-10,5750.0
2025-10-11,5800.0
2025-10-13,5715.0
2025-10-14,5730.0
2025-10-15,6290.0
2025-10-16,5990.0
2025-10-27,7065.0
2025-10-28,6725.0
2025-10-29,6365.0
2025-11-04,6065.0
2025-11-05,5780.0
2025-11-11,6325.0
2025-11-12,6150.0
2025-11-13,5920.0
2025-11-14,5985.0
2025-11-15,6015.0
2025-11-17,6130.0
2025-11-18,6280.0
2025-11-19,5990.0
2025-11-20,6015.0
2025-11-21,6040.0
2025-11-24,6195.0
2025-11-25,6005.0
2025-11-26,6030.0
2025-11-27,5845.0
2025-12-01,6440.0
2025-12-03,6205.0
2025-12-04,6090.0
2025-12-06,6395.0
2025-12-08,6565.0
2025-12-09,6490.0
2025-12-10,6575.0
2025-12-11,6630.0
2025-12-12,6605.0
2025-12-13,6630.0
2025-12-15,6605.0
2025-12-16,6550.0
2025-12-17,6565.0
2025-12-18,6600.0
2025-12-19,6615.0
2025-12-20,6625.0
2025-12-22,6640.0
2025-12-23,6775.0
2025-12-25,6640.0
2025-12-26,6585.0
2025-12-27,6425.0
2025-12-29,6610.0
2025-12-30,6675.0
2025-12-31,6610.0
2026-01-01,6475.0
2026-01-02,6880.0
2026-01-03,6615.0
2026-01-05,6805.0
2026-01-06,6680.0
2026-01-07,6680.0
2026-01-08,6690.0
2026-01-09,6815.0
2026-01-10,6815.0
2026-01-12,6955.0
2026-01-13,6695.0
2026-01-15,7000.0
2026-01-16,6630.0
2026-01-19,7200.0
2026-01-20,7205.0
2026-01-22,7470.0
2026-01-23,7200.0
2026-01-24,7125.0
2026-01-27,7490.0
2026-01-28,7250.0
2026-01-29,7225.0
2026-01-30,7140.0
2026-01-31,7125.0
2026-02-02,6880.0
2026-02-03,7105.0
2026-02-07,7065.0
2026-02-09,6950.0
2026-02-10,6965.0
2026-02-11,6365.0
2026-02-12,6790.0
2026-02-13,6880.0
2026-02-14,6940.0
2026-02-16,6545.0
2026-02-17,6810.0
2026-02-18,6780.0
2026-02-19,7045.0
2026-02-20,6565.0
2026-02-21,6500.0
2026-02-23,6690.0
2026-02-24,5925.0
2026-02-25,5700.0
2026-02-26,6980.0
2026-02-27,6630.0
2026-02-28,7425.0
2026-03-02,7000.0
2026-03-05,6100.0
2026-03-06,6475.0
2026-03-07,6705.0
2026-03-09,6765.0
2026-03-10,6505.0
2026-03-11,6205.0
2026-03-12,6800.0
2026-03-13,6705.0
2026-03-14,6750.0
2026-03-16,6790.0
2026-03-17,6765.0
2026-03-18,6700.0
2026-03-19,6595.0
2026-03-20,6315.0
2026-03-21,6790.0
2026-03-23,6625.0
2026-03-24,6595.0
2026-03-25,6830.0
2026-04-01,7295.0
2026-04-03,7575.0
2026-04-06,7520.0
2026-04-07,7515.0
2026-04-08,6185.0
2026-04-09,7035.0
2026-04-10,7590.0
2026-04-11,7000.0
2026-04-15,7630.0
2026-04-17,7180.0
2026-04-18,7015.0
2026-04-21,7255.0
2026-04-22,7530.0
2026-04-24,7445.0
2026-04-25,7430.0
2026-04-30,7000.0
2026-05-01,7390.0
2026-05-02,7430.0
2026-05-04,7590.0
2026-05-05,7365.0
2026-05-06,7780.0
2026-05-08,7595.0
2026-05-09,7850.0
2026-05-11,7280.0
2026-05-14,7970.0
2026-05-15,7890.0
