date,price
2025-01-01,7212.5
2025-01-02,7162.5
2025-01-03,7012.5
2025-01-04,7275.0
2025-01-06,7200.0
2025-01-07,7202.5
2025-01-08,7175.0
2025-01-09,7437.5
2025-01-10,7450.0
2025-01-11,7450.0
2025-01-15,7400.0
2025-01-16,7452.5
2025-01-17,7425.0
2025-01-18,7387.5
2025-01-20,7375.0
2025-01-21,7275.0
2025-01-22,7237.5
2025-01-23,7212.5
2025-01-24,7225.0
2025-01-25,7025.0
2025-01-27,7025.0
2025-01-28,7025.0
2025-01-29,7025.0
2025-01-30,7050.0
2025-01-31,7025.0
2025-02-01,7025.0
2025-02-03,6962.5
2025-02-04,6875.0
2025-02-05,7012.5
2025-02-06,7175.0
2025-02-07,7175.0
2025-02-08,7000.0
2025-02-10,6950.0
2025-02-11,6987.5
2025-02-13,6800.0
2025-02-14,6825.0
2025-02-15,6975.0
2025-02-17,7037.5
2025-02-18,6925.0
2025-02-19,6812.5
2025-02-20,6962.5
2025-02-21,6912.5
2025-02-22,6775.0
2025-02-24,6862.5
2025-02-25,6937.5
2025-02-27,7000.0
2025-02-28,6902.5
2025-03-01,6750.0
2025-03-04,6850.0
2025-03-06,6850.0
2025-03-07,6650.0
2025-10-06,7002.5
2025-10-08,6805.0
2025-10-09,6750.0
2025-10-10,7102.5
2025-10-11,6887.5
2025-10-13,7030.0
2025-10-14,6912.5
2025-10-15,6937.5
2025-10-16,6962.5
2025-10-30,6625.0
2025-11-01,7077.5
2025-11-03,7167.5
2025-11-04,7142.5
2025-11-06,7072.5
2025-11-07,7040.0
2025-11-08,7000.0
2025-11-10,7010.0
2025-11-11,6985.0
2025-11-12,7012.5
2025-11-13,7040.0
2025-11-14,7065.0
2025-11-15,6975.0
2025-11-17,6890.0
2025-11-18,6925.0
2025-11-19,6887.5
2025-11-20,6925.0
2025-11-21,7062.5
2025-11-22,7050.0
2025-11-25,7175.0
2025-11-26,7050.0
2025-11-27,6975.0
2025-11-28,7037.5
2025-11-29,7025.0
2025-12-01,7125.0
2025-12-02,7150.0
2025-12-03,7100.0
2025-12-05,7192.5
2025-12-06,7300.0
2025-12-08,7275.0
2025-12-09,7150.0
2025-12-10,7225.0
2025-12-11,7037.5
2025-12-12,7312.5
2025-12-13,7337.5
2025-12-15,7300.0
2025-12-16,6947.5
2025-12-17,7200.0
2025-12-18,7057.5
2025-12-19,7037.5
2025-12-20,6900.0
2025-12-22,7090.0
2025-12-23,7037.5
2025-12-24,7112.5
2025-12-25,7097.5
2025-12-26,7225.0
2025-12-27,7325.0
2025-12-29,6990.0
2025-12-30,7075.0
2025-12-31,7050.0
2026-01-01,7112.5
2026-01-02,7040.0
2026-01-05,6900.0
2026-01-06,7087.5
2026-01-07,7107.5
2026-01-08,7112.5
2026-01-09,7227.5
2026-01-10,7212.5
2026-01-12,7607.5
2026-01-13,7177.5
2026-01-15,7387.5
2026-01-16,7202.5
2026-01-17,7212.5
2026-01-19,6600.0
2026-01-20,7187.5
2026-01-21,7182.5
2026-01-22,7310.0
2026-01-24,7362.5
2026-01-27,7265.0
2026-01-28,7200.0
2026-01-29,7275.0
2026-01-30,7227.5
2026-01-31,7257.5
2026-02-02,7345.0
2026-02-03,7300.0
2026-02-04,6950.0
2026-02-05,7150.0
2026-02-06,6637.5
2026-02-07,7330.0
2026-02-09,7162.5
2026-02-10,7145.0
2026-02-11,6900.0
2026-02-12,6890.0
2026-02-13,7062.5
2026-02-14,7090.0
2026-02-16,7215.0
2026-02-17,6552.5
2026-02-18,6487.5
2026-02-19,7125.0
2026-02-21,6990.0
2026-02-23,7160.0
2026-02-24,7167.5
2026-02-25,7310.0
2026-02-26,6950.0
