date,price
2025-01-01,7275.0
2025-01-02,7255.0
2025-01-03,7275.0
2025-01-04,7275.0
2025-01-05,7275.0
2025-01-07,7300.0
2025-01-08,7285.0
2025-01-09,7300.0
2025-01-10,7225.0
2025-01-11,7265.0
2025-01-13,7300.0
2025-01-16,7205.0
2025-01-17,7175.0
2025-01-18,7305.0
2025-01-20,7175.0
2025-01-21,7155.0
2025-01-22,7105.0
2025-01-23,7125.0
2025-01-24,7205.0
2025-01-25,7140.0
2025-01-27,7155.0
2025-01-28,7155.0
2025-01-29,7075.0
2025-01-30,7105.0
2025-01-31,7110.0
2025-02-01,7150.0
2025-02-03,7050.0
2025-02-04,7025.0
2025-02-05,7105.0
2025-02-06,7105.0
2025-02-07,7000.0
2025-02-08,7005.0
2025-02-10,7000.0
2025-02-11,7125.0
2025-02-12,7050.0
2025-02-13,6955.0
2025-02-14,6950.0
2025-02-15,6950.0
2025-02-17,6900.0
2025-02-19,6925.0
2025-02-20,6975.0
2025-02-21,7005.0
2025-02-22,7025.0
2025-02-24,7050.0
2025-02-25,6955.0
2025-02-27,6955.0
2025-02-28,6955.0
2025-03-01,6950.0
2025-03-03,6925.0
2025-03-04,6975.0
2025-03-05,6905.0
2025-03-06,6925.0
2025-03-07,6875.0
2025-03-08,6925.0
2025-03-10,6850.0
2025-03-11,6855.0
2025-03-12,6855.0
2025-03-17,6750.0
2025-03-18,6805.0
2025-03-19,6905.0
2025-03-20,6875.0
2025-03-21,6880.0
2025-03-22,6905.0
2025-03-24,6925.0
2025-03-25,6955.0
2025-04-02,7255.0
2025-04-03,7305.0
2025-04-04,7205.0
2025-04-05,7125.0
2025-04-07,6875.0
2025-04-08,6855.0
2025-04-09,6905.0
2025-04-10,6925.0
2025-04-11,6905.0
2025-04-12,6875.0
2025-04-14,6805.0
2025-04-15,6855.0
2025-04-16,6875.0
2025-04-17,6825.0
2025-04-18,6755.0
2025-04-19,6805.0
2025-04-21,6780.0
2025-04-22,6855.0
2025-04-23,6775.0
2025-04-24,6825.0
2025-04-25,6905.0
2025-04-26,6925.0
2025-04-28,6925.0
2025-04-29,6355.0
2025-04-30,6850.0
2025-05-01,6925.0
2025-05-02,6855.0
2025-05-03,6925.0
2025-09-22,7575.0
2025-09-23,7250.0
2025-09-25,7255.0
2025-09-26,7250.0
2025-09-27,7205.0
2025-09-30,7175.0
2025-10-01,7255.0
2025-10-03,7205.0
2025-10-06,7155.0
2025-10-07,7205.0
2025-10-08,7225.0
2025-10-09,7305.0
2025-10-10,7305.0
2025-10-11,7310.0
2025-10-13,7350.0
2025-10-14,7375.0
2025-10-15,7325.0
2025-10-16,7225.0
2025-10-17,7300.0
2025-10-27,7325.0
2025-10-29,7350.0
2025-10-30,7325.0
2025-11-03,7405.0
2025-11-04,7375.0
2025-11-07,7305.0
2025-11-08,7275.0
2025-11-10,7375.0
2025-11-11,7275.0
2025-11-18,7105.0
2025-11-20,7005.0
2025-11-24,6975.0
2025-11-25,7155.0
2025-11-26,7175.0
2025-11-27,7205.0
2025-12-01,7260.0
2025-12-02,7275.0
2025-12-03,7275.0
2025-12-04,7255.0
2025-12-05,7275.0
2025-12-06,7305.0
2025-12-08,7255.0
2025-12-09,7250.0
2025-12-10,7305.0
2025-12-11,7255.0
2025-12-12,7225.0
2025-12-13,7205.0
2025-12-15,7205.0
2025-12-16,7225.0
2025-12-17,7275.0
2025-12-18,7255.0
2025-12-19,7275.0
2025-12-20,7275.0
2025-12-22,7325.0
2025-12-23,7300.0
2025-12-24,7325.0
2025-12-25,7375.0
2025-12-26,7325.0
2025-12-27,7335.0
2025-12-29,7400.0
2025-12-30,7370.0
2025-12-31,7355.0
2026-01-01,7380.0
2026-01-02,7325.0
2026-01-05,7355.0
2026-01-06,7375.0
2026-01-07,7380.0
2026-01-08,7405.0
2026-01-09,7425.0
2026-01-10,7425.0
2026-01-12,7515.0
2026-01-13,7510.0
2026-01-16,7455.0
2026-01-17,7550.0
2026-01-19,7605.0
2026-01-20,7625.0
2026-01-21,7625.0
2026-01-22,7640.0
2026-01-27,7505.0
2026-01-28,7505.0
2026-01-29,7525.0
2026-01-30,7450.0
2026-01-31,7425.0
2026-02-02,7425.0
2026-02-03,7430.0
2026-02-04,7375.0
2026-02-05,7405.0
2026-02-06,7375.0
2026-02-07,7355.0
2026-02-09,7360.0
2026-02-10,7405.0
2026-02-11,7405.0
2026-02-12,7375.0
2026-02-13,7375.0
2026-02-14,7355.0
2026-02-16,7350.0
2026-02-17,7400.0
2026-02-18,7255.0
2026-02-19,7225.0
2026-02-20,7230.0
2026-02-21,7430.0
2026-02-23,7505.0
2026-02-24,7510.0
2026-02-25,7475.0
2026-02-26,7505.0
2026-02-27,7455.0
2026-02-28,7430.0
2026-03-02,7510.0
2026-03-05,7375.0
2026-03-06,7455.0
2026-03-07,7505.0
2026-03-09,7510.0
2026-03-10,7525.0
2026-03-11,7475.0
2026-03-12,7375.0
2026-03-13,7455.0
2026-03-14,7405.0
2026-03-16,7450.0
2026-03-17,7375.0
2026-03-18,7375.0
2026-03-19,7400.0
2026-03-20,7510.0
2026-03-21,7575.0
2026-03-23,7650.0
2026-03-24,7625.0
2026-03-25,7725.0
2026-04-01,7705.0
2026-04-02,7750.0
2026-04-03,7875.0
2026-04-04,7760.0
2026-04-06,8005.0
2026-04-07,7625.0
2026-04-09,7505.0
2026-04-10,7455.0
2026-04-11,7510.0
2026-04-13,7505.0
2026-04-14,7450.0
2026-04-15,7525.0
2026-04-16,7520.0
2026-04-17,7475.0
2026-04-18,7505.0
2026-04-21,7455.0
2026-04-23,7250.0
2026-04-27,7225.0
2026-04-30,7305.0
2026-05-04,7405.0
2026-05-07,7250.0
2026-05-11,7305.0
2026-05-14,7500.0
2026-09-21,9005.0
2026-09-22,8505.0
2026-09-23,8505.0
