date,price
2025-01-02,7100.0
2025-01-03,7100.0
2025-01-04,7200.0
2025-01-06,7200.0
2025-01-07,7200.0
2025-01-08,7200.0
2025-01-09,7200.0
2025-01-10,7200.0
2025-01-11,7250.0
2025-01-15,7250.0
2025-01-17,6300.0
2025-01-18,7200.0
2025-01-20,7150.0
2025-01-21,6220.0
2025-01-22,6500.0
2025-01-23,6600.0
2025-01-24,7100.0
2025-01-27,7080.0
2025-01-28,6500.0
2025-01-29,7050.0
2025-01-30,6400.0
2025-01-31,7100.0
2025-02-01,6900.0
2025-02-04,7000.0
2025-02-06,6500.0
2025-02-07,6950.0
2025-02-08,6400.0
2025-02-10,6600.0
2025-02-11,6800.0
2025-02-12,6300.0
2025-02-14,6500.0
2025-02-15,6600.0
2025-02-20,6350.0
2025-02-21,6400.0
2025-02-22,7100.0
2025-02-24,7050.0
2025-02-25,7000.0
2025-02-27,6500.0
2025-02-28,6500.0
2025-03-01,7000.0
2025-03-03,6400.0
2025-03-04,6500.0
2025-03-05,6950.0
2025-03-06,6900.0
2025-03-07,6600.0
2025-03-08,6600.0
2025-03-10,6700.0
2025-03-11,7050.0
2025-03-15,7100.0
2025-03-17,7150.0
2025-03-20,6600.0
2025-03-21,6700.0
2025-03-22,7000.0
2025-04-05,7100.0
2025-04-07,7200.0
2025-04-10,7100.0
2025-04-18,7100.0
2025-04-19,6700.0
2025-05-02,6800.0
2025-05-06,7200.0
2025-05-07,7200.0
2025-05-09,7150.0
2025-05-12,7050.0
2025-05-15,6700.0
2025-05-24,7050.0
2025-05-30,6600.0
2025-06-02,6800.0
2025-06-26,7500.0
2025-07-07,7000.0
2025-07-14,7000.0
2025-07-21,7000.0
2025-07-29,7500.0
2025-08-05,6600.0
2025-09-15,7200.0
2025-09-17,7100.0
2025-09-19,7000.0
2025-09-20,4600.0
2025-09-22,7200.0
2025-09-24,6400.0
2025-09-25,5800.0
2025-09-26,5600.0
2025-09-27,7200.0
2025-09-29,7200.0
2025-09-30,7200.0
2025-10-01,7000.0
2025-10-03,7000.0
2025-10-06,7100.0
2025-10-07,7100.0
2025-10-08,7150.0
2025-10-09,7200.0
2025-10-10,5800.0
2025-10-13,6000.0
2025-10-14,7300.0
2025-10-15,7300.0
2025-10-16,7150.0
2025-10-17,7200.0
2025-10-27,6900.0
2025-10-28,6600.0
2025-10-30,7300.0
2025-10-31,6600.0
2025-11-01,6800.0
2025-11-04,6200.0
2025-11-05,7200.0
2025-11-11,6800.0
2025-11-12,6900.0
2025-11-13,7200.0
2025-11-15,6500.0
2025-11-18,7100.0
2025-11-19,7000.0
2025-11-21,7000.0
2025-11-22,7000.0
2025-11-24,6900.0
2025-11-26,6800.0
2025-11-28,6800.0
2025-11-29,6850.0
2025-12-04,6900.0
2025-12-05,6800.0
2025-12-08,6850.0
2025-12-09,6900.0
2025-12-10,6900.0
2025-12-12,6900.0
2025-12-13,7000.0
2025-12-15,7000.0
2025-12-16,6900.0
2025-12-17,6900.0
2025-12-20,6900.0
2025-12-22,7000.0
2025-12-23,7000.0
2025-12-24,7000.0
2025-12-26,7100.0
2025-12-29,6500.0
2025-12-31,7000.0
2026-01-01,7100.0
2026-01-02,7000.0
2026-01-05,7000.0
