date,price
2025-01-02,7255.0
2025-01-03,7282.0
2025-01-04,7282.0
2025-01-06,7312.0
2025-01-07,7355.0
2025-01-09,7347.0
2025-01-10,7322.0
2025-01-15,7280.0
2025-01-20,7300.0
2025-01-21,7277.0
2025-01-22,7295.0
2025-01-23,7300.0
2025-01-24,7297.0
2025-01-25,7265.0
2025-01-27,7300.0
2025-01-29,7247.0
2025-01-30,7235.0
2025-01-31,7242.0
2025-02-01,7257.0
2025-02-05,7121.0
2025-02-06,7127.0
2025-02-07,7142.0
2025-02-08,7125.0
2025-02-10,7242.0
2025-02-11,7167.0
2025-02-12,7160.0
2025-02-13,7167.0
2025-02-14,7172.0
2025-02-17,7275.0
2025-02-18,7262.0
2025-02-19,7245.0
2025-02-21,7247.0
2025-02-22,7267.0
2025-02-24,7275.0
2025-02-25,7280.0
2025-02-27,7290.0
2025-02-28,7292.0
2025-03-01,7282.0
2025-03-03,7282.0
2025-03-04,7047.0
2025-03-05,7130.0
2025-03-06,6865.0
2025-03-07,7200.0
2025-03-08,7252.0
2025-03-10,7240.0
2025-03-11,7252.0
2025-03-12,7100.0
2025-03-17,7250.0
2025-03-18,7122.0
2025-03-19,7252.0
2025-03-20,7215.0
2025-03-21,7215.0
2025-03-22,7147.0
2025-03-24,6875.0
2025-03-25,7002.0
2025-03-27,7055.0
2025-03-28,7045.0
2025-03-29,6802.0
2025-04-01,6800.0
2025-04-02,6750.0
2025-04-03,7187.0
2025-04-04,6985.0
2025-04-05,7050.0
2025-04-07,6875.0
2025-04-08,6937.0
2025-04-09,7052.0
2025-04-11,7100.0
2025-04-17,7075.0
2025-04-25,6575.0
2025-10-02,6527.0
2025-10-03,6900.0
2025-10-04,6837.0
2025-10-06,6650.0
2025-10-07,6250.0
2025-10-08,6320.0
2025-10-09,6300.0
2025-10-10,6300.0
2025-10-11,6275.0
2025-10-13,6350.0
2025-10-14,6350.0
2025-10-15,6415.0
2025-10-16,6800.0
2025-10-17,6625.0
2025-10-27,6587.0
2025-10-28,6750.0
2025-10-29,6600.0
2025-11-01,6637.0
2025-11-03,6892.0
2025-11-04,6337.0
2025-11-11,6927.0
2025-11-12,6950.0
2025-11-13,6950.0
2025-11-14,6920.0
2025-11-15,6925.0
2025-11-18,6970.0
2025-11-19,6927.0
2025-11-20,6928.0
2025-11-21,6925.0
2025-11-22,6930.0
2025-11-24,6967.0
2025-11-25,6958.0
2025-11-28,6950.0
2025-11-29,7128.0
2025-12-01,7103.0
2025-12-02,7140.0
2025-12-03,7078.0
2025-12-04,7135.0
2025-12-05,7175.0
2025-12-06,7140.0
2025-12-08,7173.0
2025-12-09,7218.0
2025-12-10,7195.0
2025-12-11,7228.0
2025-12-12,7195.0
2025-12-13,7188.0
2025-12-15,7260.0
2025-12-16,7295.0
2025-12-17,7178.0
2025-12-18,7298.0
2025-12-19,7293.0
2025-12-20,7330.0
2025-12-22,7225.0
2025-12-23,7285.0
2025-12-24,7280.0
2025-12-26,7278.0
2025-12-27,7288.0
2025-12-29,7398.0
2025-12-30,7388.0
2025-12-31,7355.0
2026-01-01,7388.0
2026-01-02,7263.0
2026-01-03,7315.0
2026-01-05,7338.0
2026-01-06,7575.0
2026-01-07,7425.0
2026-01-08,7478.0
2026-01-09,7660.0
2026-01-10,7512.0
2026-01-12,7660.0
2026-01-13,7605.0
2026-01-16,7585.0
2026-01-17,7613.0
2026-01-19,7613.0
2026-01-20,7613.0
2026-01-21,7570.0
2026-01-22,7588.0
2026-01-23,7600.0
2026-01-24,7885.0
2026-01-29,7553.0
2026-01-31,7593.0
2026-02-02,7673.0
2026-02-03,7675.0
2026-02-04,7643.0
2026-02-05,7438.0
2026-02-06,7593.0
2026-02-07,7593.0
2026-02-09,7603.0
2026-02-10,7325.0
2026-02-11,7445.0
2026-02-12,7480.0
2026-02-13,7493.0
2026-02-14,7693.0
2026-02-16,7578.0
2026-02-17,7793.0
2026-02-18,7453.0
2026-02-19,7718.0
2026-02-20,7828.0
2026-02-21,7625.0
2026-02-23,7602.0
2026-02-24,7538.0
2026-02-25,7503.0
2026-02-26,7475.0
2026-02-27,7478.0
2026-02-28,7553.0
2026-03-06,7575.0
2026-03-07,7950.0
2026-03-09,7678.0
2026-03-10,7703.0
2026-03-11,7712.0
2026-03-12,7835.0
2026-03-13,7680.0
2026-03-14,7588.0
2026-03-17,7645.0
2026-03-18,7578.0
2026-03-19,7663.0
2026-03-20,7375.0
2026-03-23,7200.0
2026-03-24,7350.0
2026-03-25,7450.0
2026-03-28,7203.0
2026-03-30,7000.0
2026-04-01,6750.0
2026-04-02,6895.0
2026-04-03,6900.0
2026-04-04,6925.0
2026-04-06,6825.0
2026-04-07,6525.0
2026-04-08,6375.0
2026-04-09,6625.0
2026-04-10,6675.0
2026-04-13,6562.0
2026-04-15,6500.0
