date,price
2025-01-06,7125.0
2025-01-07,7150.0
2025-01-08,7350.0
2025-01-09,7250.0
2025-01-10,7250.0
2025-01-11,7200.0
2025-01-13,7300.0
2025-01-15,7350.0
2025-01-16,7325.0
2025-01-18,7300.0
2025-01-20,7250.0
2025-01-21,7150.0
2025-01-22,7150.0
2025-01-23,7250.0
2025-01-24,7200.0
2025-01-25,7200.0
2025-01-28,7000.0
2025-01-30,6850.0
2025-01-31,6800.0
2025-02-01,6825.0
2025-02-03,6750.0
2025-02-04,6900.0
2025-02-05,6750.0
2025-02-06,6900.0
2025-02-07,6750.0
2025-02-08,6825.0
2025-02-10,6900.0
2025-02-11,6900.0
2025-02-12,7000.0
2025-02-13,7000.0
2025-02-14,7000.0
2025-02-15,6900.0
2025-02-17,7000.0
2025-02-18,7050.0
2025-02-19,7050.0
2025-02-20,7150.0
2025-02-21,7150.0
2025-02-22,7050.0
2025-02-24,7000.0
2025-02-25,6900.0
2025-02-27,6900.0
2025-02-28,6900.0
2025-03-01,6900.0
2025-03-03,6900.0
2025-03-04,6850.0
2025-03-05,6750.0
2025-03-06,6750.0
2025-03-07,6775.0
2025-03-08,6900.0
2025-03-10,7000.0
2025-03-11,6900.0
2025-03-12,7000.0
2025-03-13,7000.0
2025-03-15,7000.0
2025-03-17,7000.0
2025-03-18,7050.0
2025-03-19,7000.0
2025-03-21,7125.0
2025-03-22,7200.0
2025-03-24,7150.0
2025-03-25,7000.0
2025-04-03,7125.0
2025-04-04,7000.0
2025-04-05,7000.0
2025-04-07,7000.0
2025-04-08,7000.0
2025-04-09,7000.0
2025-04-11,6900.0
2025-04-14,7150.0
2025-04-15,7150.0
2025-04-24,7200.0
2025-04-25,7000.0
2025-04-26,7250.0
2025-04-28,7125.0
2025-04-30,6850.0
2025-05-03,7000.0
2025-05-07,7000.0
2025-05-10,6850.0
2025-05-14,7200.0
2025-05-17,7050.0
2025-05-21,6850.0
2025-05-24,7000.0
2025-05-28,6750.0
2025-06-04,7150.0
2025-06-11,7350.0
2025-06-14,7400.0
2025-06-21,7500.0
2025-06-25,7400.0
2025-06-28,7400.0
2025-07-05,7400.0
2025-07-12,7400.0
2025-07-19,6750.0
2025-07-26,7500.0
2025-08-02,7600.0
2025-08-30,6250.0
2025-09-15,6750.0
2025-09-16,6750.0
2025-09-17,6650.0
2025-09-18,6750.0
2025-09-19,6900.0
2025-09-20,6900.0
2025-09-22,6900.0
2025-09-23,6500.0
2025-09-24,6600.0
2025-09-25,6500.0
2025-09-26,6900.0
2025-09-27,6900.0
2025-09-29,6900.0
2025-09-30,6900.0
2025-10-01,7000.0
2025-10-03,7200.0
2025-10-04,7050.0
2025-10-06,7150.0
2025-10-07,7200.0
2025-10-08,7150.0
2025-10-09,7250.0
2025-10-10,7300.0
2025-10-11,7200.0
2025-10-13,7050.0
2025-10-14,6900.0
2025-10-15,7150.0
2025-10-16,7050.0
2025-10-17,7150.0
2025-10-27,7250.0
2025-10-28,7300.0
2025-10-30,7150.0
2025-10-31,7150.0
2025-11-03,7000.0
2025-11-04,7050.0
2025-11-05,7100.0
2025-11-06,7000.0
2025-11-07,7150.0
2025-11-08,6900.0
2025-11-10,6900.0
2025-11-11,6900.0
2025-11-12,6800.0
2025-11-13,6750.0
2025-11-14,6800.0
2025-11-17,6600.0
2025-11-18,6650.0
2025-11-19,6500.0
2025-11-20,6500.0
2025-11-21,6500.0
2025-11-22,6750.0
2025-11-24,6500.0
2025-11-25,6500.0
2025-11-26,6500.0
2025-11-27,6600.0
2025-11-28,6500.0
2025-11-29,6650.0
2025-12-01,6500.0
2025-12-02,6600.0
2025-12-03,6650.0
2025-12-04,6625.0
2025-12-05,6700.0
2025-12-06,6800.0
2025-12-08,6900.0
2025-12-09,6900.0
2025-12-10,6850.0
2025-12-11,6650.0
2025-12-12,6650.0
2025-12-13,6900.0
2025-12-15,6600.0
2025-12-16,6700.0
2025-12-17,6750.0
2025-12-18,6900.0
2025-12-19,7000.0
2025-12-20,7150.0
2025-12-22,7000.0
2025-12-23,7050.0
2025-12-24,7000.0
2025-12-25,7000.0
2025-12-26,7000.0
2025-12-27,7050.0
2025-12-29,7000.0
2025-12-30,7000.0
2025-12-31,7050.0
2026-01-01,7100.0
2026-01-02,7100.0
2026-01-03,7200.0
2026-01-05,7200.0
2026-01-06,7350.0
2026-01-07,7250.0
2026-01-08,7225.0
2026-01-09,7300.0
2026-01-10,7275.0
2026-01-12,7400.0
2026-01-13,7500.0
2026-01-15,7250.0
2026-01-16,7350.0
2026-01-17,7500.0
2026-01-19,7400.0
2026-01-20,7300.0
2026-01-21,7250.0
2026-01-22,7500.0
2026-01-23,7250.0
2026-01-24,7250.0
2026-01-27,7350.0
2026-01-28,7400.0
2026-01-29,7250.0
2026-01-30,7200.0
2026-01-31,7400.0
2026-02-02,7400.0
2026-02-03,7350.0
2026-02-04,7400.0
2026-02-05,7400.0
2026-02-06,7300.0
2026-02-07,7250.0
2026-02-09,7250.0
2026-02-10,7250.0
2026-02-11,7150.0
2026-02-12,7300.0
2026-02-13,7250.0
2026-02-14,7250.0
2026-02-16,7350.0
2026-02-17,7250.0
2026-02-18,7300.0
2026-02-19,7200.0
2026-02-20,7200.0
2026-02-21,7150.0
2026-02-24,7250.0
2026-02-26,7250.0
2026-02-28,7250.0
2026-03-03,7250.0
2026-03-05,7250.0
2026-03-07,7200.0
2026-03-10,7400.0
2026-03-12,7500.0
2026-03-14,7650.0
2026-03-19,7750.0
2026-03-24,7650.0
2026-04-04,8250.0
2026-04-07,8500.0
2026-04-09,7700.0
2026-04-11,8250.0
2026-04-14,8250.0
2026-04-16,8000.0
2026-04-18,8000.0
2026-04-21,8000.0
2026-04-23,8150.0
2026-04-30,8250.0
2026-05-02,8500.0
2026-05-05,8500.0
2026-05-07,8350.0
2026-05-09,8000.0
2026-05-12,9250.0
2026-05-14,8750.0
2026-05-16,8250.0
2026-05-19,9400.0
2026-05-21,8900.0
2026-05-23,8250.0
2026-05-26,8750.0
2026-05-27,8750.0
2026-06-02,8000.0
2026-06-04,7950.0
2026-06-06,8000.0
2026-06-09,8000.0
2026-06-13,7755.0
2026-08-22,8750.0
2026-08-24,8250.0
2026-08-25,8750.0
2026-08-27,8700.0
2026-08-29,8750.0
2026-08-31,8750.0
2026-09-01,8500.0
2026-09-07,9000.0
2026-09-08,9100.0
2026-09-09,9200.0
2026-09-10,9500.0
2026-09-11,9500.0
2026-09-12,9450.0
2026-09-14,9250.0
2026-09-17,9000.0
2026-09-19,8900.0
2026-09-21,8900.0
2026-09-22,9100.0
2026-09-23,8900.0
