date,price
2025-01-03,6805.0
2025-01-04,6965.0
2025-01-06,7105.0
2025-01-07,6465.0
2025-01-08,7140.0
2025-01-11,6910.0
2025-01-16,7030.0
2025-01-20,6505.0
2025-01-21,6750.0
2025-01-22,6880.0
2025-01-23,6875.0
2025-01-24,6780.0
2025-01-25,6780.0
2025-01-27,6950.0
2025-01-28,6535.0
2025-01-29,6470.0
2025-01-30,6480.0
2025-01-31,6310.0
2025-02-01,6235.0
2025-02-03,6680.0
2025-02-04,6480.0
2025-02-05,6435.0
2025-02-06,6380.0
2025-02-07,6615.0
2025-02-08,6575.0
2025-02-10,6335.0
2025-02-11,6760.0
2025-02-12,6545.0
2025-02-13,6670.0
2025-02-14,6580.0
2025-02-17,6865.0
2025-02-18,6670.0
2025-02-19,6810.0
2025-02-20,6750.0
2025-02-21,6915.0
2025-02-24,6850.0
2025-02-25,6815.0
2025-02-27,6620.0
2025-02-28,6755.0
2025-03-01,6610.0
2025-03-03,6330.0
2025-03-04,6385.0
2025-03-05,6045.0
2025-03-06,6540.0
2025-03-07,6380.0
2025-03-08,6490.0
2025-03-10,6880.0
2025-03-11,6805.0
2025-03-12,6970.0
2025-03-15,6725.0
2025-03-17,6875.0
2025-03-18,6790.0
2025-03-19,6940.0
2025-03-20,6900.0
2025-03-21,6600.0
2025-03-24,6800.0
2025-03-25,6670.0
2025-03-26,6870.0
2025-03-28,6930.0
2025-04-02,6810.0
2025-04-03,6835.0
2025-04-04,6925.0
2025-04-05,6880.0
2025-04-08,6900.0
2025-04-09,6660.0
2025-04-10,6890.0
2025-04-11,6730.0
2025-04-15,6930.0
2025-04-16,6735.0
2025-04-17,7000.0
2025-09-22,6015.0
2025-09-23,6780.0
2025-09-24,6840.0
2025-09-25,6650.0
2025-09-26,6815.0
2025-09-27,6880.0
2025-09-29,6870.0
2025-09-30,6820.0
2025-10-03,6780.0
2025-10-04,6995.0
2025-10-06,6810.0
2025-10-07,6700.0
2025-10-08,6650.0
2025-10-09,5945.0
2025-10-10,6340.0
2025-10-11,6570.0
2025-10-13,6860.0
2025-10-14,6890.0
2025-10-15,6745.0
2025-10-16,6685.0
2025-10-17,6720.0
2025-10-18,6860.0
2025-10-24,7005.0
2025-10-27,7090.0
2025-11-03,6775.0
2025-11-04,6780.0
2025-11-05,6420.0
2025-11-08,6625.0
2025-11-10,6450.0
2025-11-11,6840.0
2025-11-12,6750.0
2025-11-13,6780.0
2025-11-14,6880.0
2025-11-18,6860.0
2025-11-19,6890.0
2025-11-20,6885.0
2025-11-21,6820.0
2025-11-22,6770.0
2025-11-25,6840.0
2025-11-27,6840.0
2025-11-28,6890.0
2025-11-29,6865.0
2025-12-01,6690.0
2025-12-02,6720.0
2025-12-03,6525.0
2025-12-04,6295.0
2025-12-05,6280.0
2025-12-06,6385.0
2025-12-08,6305.0
2025-12-09,6710.0
2025-12-10,6565.0
2025-12-11,6440.0
2025-12-12,6475.0
2025-12-13,6635.0
2025-12-15,6690.0
2025-12-16,6620.0
2025-12-17,6725.0
2025-12-18,6615.0
2025-12-19,6660.0
2025-12-20,6400.0
2025-12-22,6750.0
2025-12-23,6520.0
2025-12-24,6470.0
2025-12-25,6690.0
2025-12-26,6690.0
2025-12-27,6705.0
2025-12-29,6905.0
2025-12-30,6880.0
2025-12-31,6870.0
2026-01-01,6890.0
2026-01-02,6850.0
2026-01-03,6920.0
2026-01-05,6890.0
2026-01-06,6950.0
2026-01-07,7030.0
2026-01-08,7025.0
2026-01-09,7090.0
2026-01-10,7030.0
2026-01-12,7235.0
2026-01-13,7265.0
2026-01-16,7275.0
2026-01-19,7060.0
2026-01-20,6875.0
2026-01-21,6990.0
2026-01-22,6855.0
2026-01-23,7190.0
2026-01-24,7025.0
2026-01-27,6590.0
2026-01-28,7350.0
2026-01-29,7435.0
2026-01-30,6975.0
2026-01-31,6480.0
2026-02-02,6410.0
2026-02-03,6875.0
2026-02-04,6870.0
2026-02-05,6330.0
2026-02-06,6660.0
2026-02-07,6625.0
2026-02-09,6440.0
2026-02-10,6530.0
2026-02-11,6490.0
2026-02-16,6710.0
2026-02-17,6925.0
2026-02-18,6490.0
2026-02-19,5965.0
2026-02-20,6710.0
2026-02-21,6430.0
2026-02-23,6625.0
2026-02-24,6875.0
2026-02-25,6780.0
2026-02-26,6500.0
2026-02-27,7155.0
2026-02-28,6980.0
2026-03-02,7090.0
2026-03-05,6750.0
2026-03-06,6970.0
2026-03-07,7250.0
2026-03-09,6990.0
2026-03-10,7370.0
2026-03-11,7340.0
2026-03-12,7360.0
2026-03-13,7370.0
2026-03-14,7330.0
2026-03-16,7470.0
2026-03-17,7400.0
2026-03-18,7350.0
2026-03-19,7450.0
2026-03-21,7450.0
2026-03-23,6800.0
2026-03-24,7085.0
2026-03-25,7150.0
2026-03-27,7255.0
2026-03-28,6340.0
2026-04-02,7725.0
2026-04-03,7075.0
2026-04-04,7865.0
2026-04-06,7545.0
2026-04-07,7650.0
2026-04-08,7380.0
2026-04-09,7525.0
2026-04-10,6750.0
2026-04-11,6760.0
2026-04-13,6490.0
2026-04-15,6970.0
2026-04-16,7340.0
2026-04-17,7490.0
2026-04-18,7200.0
2026-04-21,6850.0
2026-04-22,7645.0
2026-04-24,7520.0
2026-04-25,7605.0
2026-09-21,9015.0
