date,price
2025-01-01,6722.0
2025-01-02,6740.0
2025-01-03,6752.0
2025-01-04,6755.0
2025-01-06,6757.0
2025-01-07,6775.0
2025-01-08,6787.0
2025-01-10,6895.0
2025-01-11,6870.0
2025-01-13,6782.0
2025-01-16,7007.0
2025-01-17,6852.0
2025-01-18,6740.0
2025-01-20,6887.0
2025-01-21,6902.0
2025-01-22,6877.0
2025-01-24,6960.0
2025-01-27,6855.0
2025-01-28,6700.0
2025-01-29,6737.0
2025-01-30,6832.0
2025-02-01,6730.0
2025-02-03,6155.0
2025-02-04,6482.0
2025-02-05,6475.0
2025-02-06,6595.0
2025-02-07,6827.0
2025-02-08,6842.0
2025-02-10,6867.0
2025-02-11,6495.0
2025-02-12,6625.0
2025-02-13,6607.0
2025-02-14,5765.0
2025-02-15,6895.0
2025-02-17,6950.0
2025-02-18,6910.0
2025-02-19,6822.0
2025-02-20,6815.0
2025-02-21,6802.0
2025-02-22,6905.0
2025-02-24,6927.0
2025-02-25,6922.0
2025-02-27,6950.0
2025-02-28,6937.0
2025-03-01,6947.0
2025-03-03,6892.0
2025-03-04,6825.0
2025-03-05,6737.0
2025-03-06,6767.0
2025-03-07,6777.0
2025-03-08,6775.0
2025-03-10,6787.0
2025-03-11,6805.0
2025-03-15,6452.0
2025-03-17,6865.0
2025-03-18,6825.0
2025-03-19,6852.0
2025-03-20,6855.0
2025-03-21,6820.0
2025-03-22,6817.0
2025-03-24,6825.0
2025-03-26,6850.0
2025-04-01,6897.0
2025-04-02,7175.0
2025-04-03,7002.0
2025-04-04,6980.0
2025-04-05,6950.0
2025-04-07,6940.0
2025-04-08,6955.0
2025-04-09,6792.0
2025-04-10,6805.0
2025-04-11,6897.0
2025-04-12,7112.0
2025-04-15,6755.0
2025-04-16,6757.0
2025-04-17,7095.0
2025-04-18,6905.0
2025-04-19,6907.0
2025-04-21,6887.0
2025-04-22,6895.0
2025-04-23,6922.0
2025-04-24,6925.0
2025-04-26,7265.0
2025-04-28,7102.0
2025-04-29,6942.0
2025-05-01,7227.0
2025-05-02,7220.0
2025-05-03,7210.0
2025-05-05,7217.0
2025-05-06,7200.0
2025-05-07,7235.0
2025-05-08,7222.0
2025-05-09,7202.0
2025-05-10,7202.0
2025-05-12,7210.0
2025-05-13,7250.0
2025-05-14,7235.0
2025-05-15,7250.0
2025-05-16,7087.0
2025-05-17,6965.0
2025-05-19,7115.0
2025-05-20,7177.0
2025-05-21,6980.0
2025-05-22,6620.0
2025-05-23,6862.0
2025-05-24,7342.0
2025-05-26,6707.0
2025-05-27,6762.0
2025-05-28,6702.0
2025-05-29,5652.0
2025-05-30,5000.0
2025-05-31,6100.0
2025-09-02,7630.0
2025-09-05,8255.0
2025-09-13,7355.0
2025-09-15,6375.0
2025-09-16,6655.0
2025-09-17,6750.0
2025-09-18,6382.0
2025-09-19,6775.0
2025-09-20,6415.0
2025-09-22,6312.0
2025-09-23,6675.0
2025-09-24,6575.0
2025-09-25,6962.0
2025-09-26,6280.0
2025-09-27,6725.0
