date,price
2025-01-03,3762.0
2025-01-04,4582.0
2025-01-06,3902.0
2025-01-07,4250.0
2025-01-08,3850.0
2025-01-09,4000.0
2025-01-10,3737.0
2025-01-11,3850.0
2025-01-13,3562.0
2025-01-15,3912.0
2025-01-16,4162.0
2025-01-24,3927.0
2025-01-25,4102.0
2025-01-27,4912.0
2025-01-29,4162.0
2025-01-30,4550.0
2025-02-01,4402.0
2025-02-03,3750.0
2025-02-05,3950.0
2025-02-07,3500.0
2025-02-08,3805.0
2025-02-10,4155.0
2025-02-13,4050.0
2025-02-14,3650.0
2025-02-15,3500.0
2025-02-18,4027.0
2025-02-19,4125.0
2025-02-21,4232.0
2025-02-24,4385.0
2025-02-27,4650.0
2025-03-01,4525.0
2025-03-03,3825.0
2025-03-06,4505.0
2025-03-07,4475.0
2025-03-08,4375.0
2025-03-10,4250.0
2025-03-13,4250.0
2025-03-18,4300.0
2025-03-19,4500.0
2025-03-21,4050.0
2025-04-02,4375.0
2025-04-03,3737.0
2025-04-04,4405.0
2025-04-05,3730.0
2025-04-07,4125.0
2025-04-15,4275.0
2025-04-16,7087.0
2025-04-24,4225.0
2025-04-25,4275.0
2025-04-28,4050.0
2025-04-29,3887.0
2025-04-30,4412.0
2025-05-01,4225.0
2025-05-05,4025.0
2025-05-06,3962.0
2025-05-10,4200.0
2025-05-13,4012.0
2025-05-14,4562.0
2025-05-17,4112.0
2025-05-20,4300.0
2025-05-21,4662.0
2025-05-22,3875.0
2025-05-24,4375.0
2025-05-26,4500.0
2025-05-28,4250.0
2025-05-29,4400.0
2025-05-30,5637.0
2025-06-04,4225.0
2025-06-05,4337.0
2025-06-09,4400.0
2025-06-10,4312.0
2025-06-11,4012.0
2025-06-12,4350.0
2025-06-14,4482.0
2025-06-17,4750.0
2025-06-18,3675.0
2025-06-19,4537.0
2025-06-21,4750.0
2025-06-23,4625.0
2025-06-24,4550.0
2025-06-25,4550.0
2025-06-26,4875.0
2025-06-28,4712.0
2025-06-30,4725.0
2025-07-01,4462.0
2025-07-03,4700.0
2025-07-04,4762.0
2025-07-05,4625.0
2025-07-07,4600.0
2025-07-09,3750.0
2025-07-11,3837.0
2025-07-12,4637.0
2025-07-14,4600.0
2025-07-15,4175.0
2025-07-16,4905.0
2025-07-17,4737.0
2025-07-21,4787.0
2025-07-22,4375.0
2025-07-23,3750.0
2025-07-24,4287.0
2025-07-26,4225.0
2025-07-28,4152.0
2025-07-29,4100.0
2025-07-30,3662.0
2025-07-31,3837.0
2025-08-04,4250.0
2025-08-05,4025.0
2025-08-06,3675.0
2025-08-07,3750.0
2025-08-08,3675.0
2025-08-11,3562.0
2025-08-12,3637.0
2025-08-13,3652.0
2025-08-18,4075.0
2025-08-21,4125.0
2025-08-27,4575.0
2025-09-03,4062.0
2025-09-04,3762.0
2025-09-09,3800.0
2025-09-11,3700.0
2025-09-15,3425.0
2025-09-16,4627.0
2025-09-20,3887.0
2025-09-22,3662.0
2025-10-01,3512.0
2025-10-14,3437.0
2025-10-29,3702.0
2025-10-30,3850.0
2025-11-01,4625.0
2025-11-05,3850.0
2025-11-12,5025.0
2025-11-13,4525.0
2025-11-14,4900.0
2025-11-15,4930.0
2025-11-18,5005.0
2025-11-19,5525.0
2025-11-20,4380.0
2025-11-21,4435.0
2025-11-22,4702.0
2025-11-24,4175.0
2025-11-25,4450.0
2025-11-26,4275.0
2025-11-27,3900.0
2025-11-28,4200.0
2025-11-29,4160.0
2025-12-01,4770.0
2025-12-02,4125.0
2025-12-03,4250.0
2025-12-04,4635.0
2025-12-05,4100.0
2025-12-06,3750.0
2025-12-08,4300.0
2025-12-09,3775.0
2025-12-10,3875.0
2025-12-11,4675.0
2025-12-12,3950.0
