date,price
2025-06-05,5750.0
2025-06-07,5375.0
2025-06-09,5250.0
2025-06-10,5500.0
2025-06-11,5900.0
2025-06-12,5900.0
2025-06-13,5750.0
2025-06-14,5500.0
2025-06-16,5700.0
2025-06-17,5250.0
2025-06-20,6250.0
2025-06-21,6000.0
2025-06-24,5750.0
2025-06-25,5850.0
2025-06-26,5900.0
2025-06-28,6300.0
2025-06-30,6625.0
2025-07-01,6500.0
2025-07-02,6650.0
2025-07-03,6625.0
2025-07-04,5750.0
2025-07-05,5750.0
2025-07-07,5750.0
2025-07-08,5750.0
2025-07-11,6250.0
2025-07-12,6250.0
2025-07-14,6125.0
2025-07-15,6000.0
2025-07-16,6100.0
2025-07-17,6250.0
2025-07-18,6250.0
2025-07-19,6500.0
2025-07-21,6750.0
2025-07-22,6800.0
2025-07-23,5750.0
2025-07-24,6000.0
2025-07-25,6250.0
2025-07-26,6150.0
2025-07-28,6100.0
2025-07-29,6250.0
2025-07-30,6150.0
2025-07-31,6725.0
2025-08-01,6900.0
2025-08-02,6825.0
2025-08-04,6625.0
2025-08-05,6700.0
2025-08-06,6750.0
2025-08-07,6500.0
2025-08-08,6500.0
2025-08-11,6500.0
2025-08-12,5500.0
2025-08-13,6000.0
2025-08-21,5750.0
2025-08-22,6350.0
2025-08-23,5750.0
2025-08-26,5800.0
2025-08-27,6000.0
2025-08-29,6625.0
2025-08-30,6250.0
2025-09-01,6250.0
2025-09-05,6000.0
2025-09-09,5500.0
2025-09-10,6000.0
2025-09-11,6000.0
2025-11-25,6250.0
2025-11-28,6150.0
2025-12-01,6500.0
2025-12-15,6200.0
2025-12-16,6500.0
2025-12-17,6600.0
2025-12-18,6400.0
2025-12-20,6400.0
2025-12-24,6600.0
2025-12-25,6700.0
2025-12-26,6500.0
2025-12-27,6850.0
2025-12-29,6900.0
2025-12-30,6900.0
2026-01-03,7100.0
2026-01-05,6900.0
2026-01-06,6900.0
2026-01-07,7000.0
2026-01-13,6000.0
2026-01-16,6750.0
2026-01-29,8000.0
2026-02-11,7875.0
2026-02-20,7000.0
2026-05-05,8000.0
2026-05-18,8350.0
2026-05-26,8425.0
2026-05-28,8400.0
2026-05-29,8400.0
2026-05-30,8150.0
2026-06-02,8400.0
2026-06-03,8450.0
2026-06-04,8550.0
2026-06-05,8400.0
2026-06-06,7350.0
2026-06-08,8000.0
2026-06-09,7700.0
2026-06-10,7525.0
2026-06-11,7625.0
2026-06-12,7800.0
2026-06-13,7850.0
2026-06-15,8025.0
2026-06-16,8200.0
2026-06-17,8350.0
2026-06-18,8100.0
2026-06-19,8200.0
2026-06-20,8225.0
2026-06-22,8100.0
2026-06-23,8325.0
2026-06-24,8400.0
2026-06-25,8450.0
2026-06-26,8200.0
2026-06-27,8150.0
2026-06-29,8225.0
2026-06-30,8200.0
2026-07-02,8200.0
2026-07-03,8150.0
2026-07-04,8200.0
2026-07-06,8175.0
2026-07-07,8300.0
2026-07-08,8450.0
2026-07-09,8450.0
2026-07-10,8650.0
2026-07-11,8600.0
2026-07-13,8650.0
2026-07-14,8800.0
2026-07-15,8800.0
2026-07-17,9150.0
2026-07-18,9050.0
2026-07-20,9250.0
2026-07-21,8300.0
2026-07-22,9200.0
2026-07-23,9300.0
2026-07-27,9250.0
2026-07-28,9200.0
2026-07-30,9200.0
2026-07-31,9100.0
2026-08-04,8550.0
2026-08-05,9225.0
2026-08-06,8875.0
2026-08-07,9125.0
2026-08-08,9250.0
2026-08-10,9150.0
2026-08-20,9150.0
2026-08-26,9000.0
2026-08-31,9050.0
