date,price
2025-11-27,5850.0
2025-11-28,5825.0
2025-11-29,5900.0
2025-12-01,5950.0
2025-12-02,5875.0
2025-12-03,5825.0
2025-12-04,5825.0
2025-12-05,5400.0
2025-12-06,5850.0
2025-12-08,5925.0
2025-12-09,5900.0
2025-12-10,5825.0
2025-12-11,5850.0
2025-12-12,5850.0
2025-12-13,5925.0
2025-12-15,5925.0
2025-12-16,5925.0
2025-12-17,5850.0
2025-12-18,5900.0
2025-12-19,5900.0
2025-12-20,5550.0
2025-12-22,6050.0
2025-12-23,5950.0
2025-12-25,5975.0
2025-12-26,5975.0
2025-12-27,5925.0
2025-12-29,6050.0
2025-12-30,6050.0
2025-12-31,5945.0
2026-01-01,6100.0
2026-01-02,6225.0
2026-01-03,6050.0
2026-01-05,6100.0
2026-01-06,6100.0
2026-01-07,6125.0
2026-01-08,6200.0
2026-01-09,6250.0
2026-01-10,6250.0
2026-01-12,6200.0
2026-01-13,6225.0
2026-01-15,6175.0
2026-01-16,6275.0
2026-01-17,6300.0
2026-01-19,6375.0
2026-01-20,6375.0
2026-01-21,6325.0
2026-01-22,6425.0
2026-01-23,6450.0
2026-01-24,6525.0
2026-01-30,7025.0
2026-01-31,6950.0
2026-02-02,6650.0
2026-02-03,6625.0
2026-02-05,6550.0
2026-02-06,6600.0
2026-02-07,6625.0
2026-02-09,6550.0
2026-02-10,6475.0
2026-02-11,6525.0
2026-02-12,6275.0
2026-02-13,6775.0
2026-02-14,6525.0
2026-02-17,6650.0
2026-02-18,7075.0
2026-02-19,6675.0
2026-02-20,6575.0
2026-02-21,6250.0
2026-02-23,6650.0
2026-02-26,6800.0
2026-02-27,6675.0
2026-02-28,6575.0
2026-03-02,6450.0
2026-03-03,6525.0
2026-03-05,6475.0
2026-03-06,6615.0
2026-03-07,6525.0
2026-03-09,6475.0
2026-03-10,6425.0
2026-03-11,6275.0
2026-03-12,6475.0
2026-03-13,6475.0
2026-03-14,6425.0
2026-03-16,6600.0
2026-03-17,6550.0
2026-03-18,6550.0
2026-03-19,6550.0
2026-04-06,6825.0
2026-04-07,6725.0
2026-04-08,6525.0
2026-04-09,6600.0
2026-04-10,6725.0
2026-04-11,6700.0
2026-04-13,6725.0
2026-04-15,6775.0
2026-04-16,6825.0
2026-04-17,6775.0
2026-04-18,6775.0
2026-04-20,6725.0
2026-04-21,6800.0
2026-04-22,6800.0
2026-04-23,6725.0
2026-04-24,6775.0
2026-04-25,6775.0
2026-04-27,6800.0
2026-04-28,6685.0
2026-04-29,6575.0
2026-04-30,6800.0
2026-05-01,6800.0
2026-05-02,6700.0
2026-05-04,6725.0
2026-05-06,6775.0
2026-05-07,6775.0
2026-05-08,6675.0
2026-05-09,6475.0
2026-05-11,6675.0
2026-05-12,6600.0
2026-05-13,6675.0
2026-05-14,6600.0
2026-05-15,6550.0
2026-05-16,6525.0
2026-05-18,6650.0
2026-05-19,6625.0
2026-05-20,6650.0
2026-05-21,6675.0
2026-05-22,6600.0
2026-05-23,6550.0
2026-05-25,6550.0
2026-05-26,6475.0
2026-05-27,6475.0
2026-05-28,6450.0
2026-05-29,6550.0
2026-05-30,6475.0
2026-06-01,6375.0
2026-06-02,6475.0
2026-06-03,6425.0
2026-06-04,6575.0
2026-06-05,6450.0
2026-06-06,6500.0
2026-06-08,6350.0
2026-06-09,6550.0
2026-06-10,6475.0
2026-06-11,6550.0
2026-06-12,6475.0
2026-06-13,6575.0
2026-06-15,6425.0
2026-06-16,6285.0
2026-06-18,6400.0
2026-06-19,6450.0
2026-06-22,6425.0
2026-06-23,6425.0
2026-06-24,6275.0
2026-06-27,6300.0
2026-06-30,6400.0
2026-07-02,6375.0
2026-07-04,5960.0
2026-07-06,6135.0
2026-07-22,6160.0
2026-07-28,6060.0
2026-07-30,6360.0
2026-07-31,6050.0
2026-08-03,6225.0
2026-08-04,6025.0
2026-08-05,5925.0
2026-08-19,6000.0
2026-08-21,5875.0
2026-09-14,6310.0
