date,price
2025-01-03,5000.0
2025-01-04,5000.0
2025-01-07,5000.0
2025-01-08,5000.0
2025-01-09,5000.0
2025-01-10,5000.0
2025-01-11,5000.0
2025-01-13,5000.0
2025-01-15,5000.0
2025-01-16,5000.0
2025-01-17,5000.0
2025-01-18,5000.0
2025-01-20,5000.0
2025-01-21,5000.0
2025-01-22,5000.0
2025-01-23,5000.0
2025-01-24,5000.0
2025-01-25,5000.0
2025-01-27,5000.0
2025-01-28,5000.0
2025-01-29,5000.0
2025-01-30,5000.0
2025-01-31,5000.0
2025-02-01,5000.0
2025-02-03,5000.0
2025-02-04,5000.0
2025-02-05,5000.0
2025-02-06,5000.0
2025-02-07,5000.0
2025-02-10,5000.0
2025-02-11,5000.0
2025-02-12,5100.0
2025-02-13,5000.0
2025-02-14,5000.0
2025-02-15,5000.0
2025-02-17,5000.0
2025-02-18,5000.0
2025-02-19,5000.0
2025-02-20,5000.0
2025-02-21,5000.0
2025-02-22,5000.0
2025-02-24,5000.0
2025-02-25,5000.0
2025-02-27,5000.0
2025-02-28,5000.0
2025-03-01,5000.0
2025-03-04,5000.0
2025-03-05,5000.0
2025-03-06,5000.0
2025-03-07,5000.0
2025-03-08,5000.0
2025-03-10,5000.0
2025-03-11,5000.0
2025-03-12,5000.0
2025-03-17,5000.0
2025-03-18,5000.0
2025-03-19,5000.0
2025-03-20,4900.0
2025-03-21,5000.0
2025-03-22,4900.0
2025-04-01,4800.0
2025-04-02,5000.0
2025-04-07,5000.0
2025-04-08,5000.0
2025-04-09,5000.0
2025-04-10,5000.0
2025-04-11,5000.0
2025-04-15,5000.0
2025-04-16,5000.0
2025-04-17,4800.0
2025-04-18,5000.0
2025-04-19,5000.0
2025-04-21,5000.0
2025-04-22,5000.0
2025-04-23,5000.0
2025-04-24,4800.0
2025-04-25,4800.0
2025-04-26,5000.0
2025-04-28,4800.0
2025-04-29,4700.0
2025-04-30,4300.0
2025-05-01,5000.0
2025-05-02,4800.0
2025-05-03,4500.0
2025-05-05,4800.0
2025-05-09,4800.0
2025-05-12,4800.0
2025-05-13,4800.0
2025-05-14,4600.0
2025-05-15,4500.0
2025-05-16,4800.0
2025-05-17,4800.0
2025-05-20,4800.0
2025-05-21,4800.0
2025-05-24,4800.0
2025-05-26,4800.0
2025-05-27,5000.0
2025-05-28,4800.0
2025-05-29,4800.0
2025-05-30,4700.0
2025-05-31,5000.0
2025-06-02,4800.0
2025-06-03,5000.0
2025-06-04,5000.0
2025-06-05,4800.0
2025-06-09,5000.0
2025-06-10,5000.0
2025-06-11,5000.0
2025-06-12,4800.0
2025-06-13,4800.0
2025-06-14,4800.0
2025-06-16,5000.0
2025-06-20,4800.0
2025-06-21,4800.0
2025-06-23,4800.0
2025-06-24,4800.0
2025-06-25,4500.0
2025-06-26,4800.0
2025-06-30,5000.0
2025-07-01,5000.0
2025-07-02,4500.0
2025-07-03,4500.0
2025-07-04,4800.0
2025-07-07,5000.0
2025-07-10,5000.0
2025-07-11,5000.0
2025-07-12,4700.0
2025-07-15,5000.0
2025-07-16,5000.0
2025-07-18,4800.0
2025-07-19,4700.0
2025-07-21,4800.0
2025-07-22,4800.0
2025-07-23,4800.0
2025-07-24,5000.0
2025-07-26,4800.0
2025-07-28,4800.0
2025-07-29,4800.0
2025-07-30,4500.0
2025-08-01,4800.0
2025-08-04,5000.0
2025-08-05,4800.0
2025-08-06,5000.0
2025-08-07,4800.0
2025-08-11,5000.0
2025-08-12,4900.0
2025-08-20,4500.0
2025-08-21,4800.0
2025-08-22,4800.0
2025-08-25,5000.0
2025-09-01,4800.0
2025-09-04,4800.0
2025-09-05,4800.0
2025-09-09,4700.0
2025-09-10,4800.0
