date,price
2025-01-01,5780.0
2025-01-02,5760.0
2025-01-03,5800.0
2025-01-04,5815.0
2025-01-06,5770.0
2025-01-07,5625.0
2025-01-08,5675.0
2025-01-09,5630.0
2025-01-10,5765.0
2025-01-11,5585.0
2025-01-13,5675.0
2025-01-15,5480.0
2025-01-16,5705.0
2025-01-17,5815.0
2025-01-18,5725.0
2025-01-20,5460.0
2025-01-21,5530.0
2025-01-23,5675.0
2025-01-24,5400.0
2025-01-25,5555.0
2025-01-27,5560.0
2025-01-28,5515.0
2025-01-29,4965.0
2025-01-30,5065.0
2025-01-31,5155.0
2025-02-01,5160.0
2025-02-03,5200.0
2025-02-05,5515.0
2025-02-06,4880.0
2025-02-07,4990.0
2025-02-08,5675.0
2025-02-10,5175.0
2025-02-11,5360.0
2025-02-12,5125.0
2025-02-18,5320.0
2025-02-20,5295.0
2025-02-24,5300.0
2025-02-25,5270.0
2025-02-27,5190.0
2025-03-08,5100.0
2025-03-18,4995.0
2025-03-20,4935.0
2025-03-24,5040.0
2025-04-02,4895.0
2025-04-03,5115.0
2025-04-09,5095.0
2025-04-14,5140.0
2025-04-19,4810.0
2025-04-21,4190.0
2025-04-22,5080.0
2025-04-24,5100.0
2025-04-25,5055.0
2025-04-26,4995.0
2025-05-01,5060.0
2025-05-03,5025.0
2025-05-05,5115.0
2025-05-06,5660.0
2025-05-10,5585.0
2025-05-14,5760.0
2025-05-21,5780.0
2025-05-22,5625.0
2025-05-24,6540.0
2025-05-26,5085.0
2025-05-27,5375.0
2025-05-28,5790.0
2025-06-02,5600.0
2025-06-03,4620.0
2025-06-09,4850.0
2025-06-25,5500.0
2025-07-01,5300.0
2025-07-09,4875.0
2025-07-16,5585.0
2025-07-17,5635.0
2025-07-21,5830.0
2025-07-29,5600.0
2025-08-05,5150.0
2025-09-09,5980.0
2025-09-10,5750.0
2025-10-09,3835.0
2025-10-13,5475.0
2025-10-29,4950.0
2025-11-10,5265.0
2025-11-11,5650.0
2025-11-14,5737.0
2025-11-15,5778.0
2025-11-17,5685.0
2025-11-24,5845.0
2025-11-27,5875.0
2025-11-28,6018.0
2025-11-29,6030.0
2025-12-01,5560.0
2025-12-04,6145.0
2025-12-05,6098.0
2025-12-08,6277.0
2025-12-09,6052.0
2025-12-10,6335.0
2025-12-11,6180.0
2025-12-12,5592.0
2025-12-13,6245.0
2025-12-15,6285.0
2025-12-17,6240.0
2025-12-18,6738.0
2025-12-20,6800.0
2025-12-22,5815.0
2025-12-23,6442.0
2025-12-24,6632.0
2025-12-25,6315.0
2025-12-26,6630.0
2025-12-29,6520.0
2025-12-30,6815.0
2025-12-31,6352.0
2026-01-01,6595.0
2026-01-03,6722.0
2026-01-05,6698.0
2026-01-06,6752.0
2026-01-07,6638.0
2026-01-17,6885.0
2026-01-19,7000.0
2026-01-21,7202.0
2026-01-23,7260.0
2026-01-24,6840.0
2026-02-02,7732.0
2026-02-09,5855.0
2026-02-14,7005.0
2026-02-18,7765.0
2026-02-21,7875.0
2026-02-25,7718.0
2026-02-28,6600.0
2026-03-11,7087.0
2026-03-14,6807.0
2026-03-16,9462.0
2026-03-23,6417.0
2026-05-14,6530.0
2026-05-19,7200.0
2026-07-09,6452.0
2026-07-27,6628.0
