date,price
2025-01-04,4430.0
2025-01-06,4505.0
2025-01-07,4505.0
2025-01-08,4500.0
2025-01-09,4555.0
2025-01-10,4500.0
2025-01-13,4500.0
2025-01-15,4480.0
2025-01-16,4500.0
2025-01-17,4500.0
2025-01-18,4455.0
2025-01-20,4500.0
2025-01-21,4600.0
2025-01-22,4500.0
2025-01-23,4500.0
2025-01-24,4750.0
2025-01-27,4750.0
2025-01-28,4750.0
2025-01-29,4750.0
2025-01-31,4500.0
2025-02-03,4750.0
2025-02-04,4430.0
2025-02-05,4425.0
2025-02-06,4600.0
2025-02-10,4500.0
2025-02-11,4375.0
2025-02-12,4375.0
2025-02-13,4450.0
2025-02-14,4100.0
2025-02-15,3750.0
2025-02-17,4500.0
2025-02-18,4500.0
2025-02-19,4500.0
2025-02-22,4500.0
2025-02-28,4525.0
2025-03-03,4550.0
2025-03-04,4500.0
2025-03-18,4500.0
2025-03-21,4500.0
2025-04-01,4500.0
2025-04-08,4500.0
2025-04-09,4500.0
2025-04-15,4575.0
2025-04-17,4500.0
2025-04-21,4750.0
2025-04-24,4500.0
2025-04-30,4000.0
2025-05-03,4500.0
2025-05-05,4500.0
2025-05-09,4500.0
2025-05-12,4450.0
2025-05-30,4550.0
2025-06-10,4775.0
2025-06-12,4750.0
2025-06-13,4750.0
2025-06-14,4550.0
2025-06-16,4500.0
2025-06-18,4500.0
2025-06-24,4625.0
2025-07-15,4750.0
2025-07-18,4750.0
2025-07-22,5000.0
2025-07-30,4500.0
2025-08-22,4500.0
2025-08-26,4500.0
2025-08-30,4500.0
2025-09-01,4500.0
2025-09-04,4750.0
2025-09-05,4250.0
2025-09-08,4500.0
2025-09-10,4000.0
2025-09-13,4250.0
2025-09-15,4000.0
2025-09-16,4500.0
2025-09-18,4500.0
2025-09-20,4000.0
2025-09-22,4000.0
2025-09-23,4000.0
2025-09-24,4000.0
2025-09-25,4000.0
2025-09-26,4000.0
2025-09-27,4000.0
2025-09-29,4000.0
2025-09-30,4000.0
2025-10-01,4000.0
2025-10-03,4000.0
2025-10-04,3500.0
2025-10-06,4500.0
2025-10-07,4000.0
2025-10-14,4000.0
2025-10-15,4500.0
2025-10-16,4000.0
2025-10-17,4500.0
2025-10-27,4500.0
2025-10-28,4500.0
2025-10-29,4500.0
2025-10-30,4500.0
2025-10-31,4500.0
2025-11-01,4500.0
2025-11-03,4500.0
2025-11-04,4500.0
2025-11-05,5000.0
2025-11-06,4500.0
2025-11-11,5000.0
2025-11-12,4500.0
2025-11-13,5000.0
2025-11-14,5000.0
2025-11-15,5000.0
2025-11-17,4500.0
2025-11-18,5000.0
2025-11-19,4500.0
2025-11-20,5000.0
2025-11-21,5000.0
2025-11-22,5000.0
2025-11-24,5000.0
2025-11-25,4500.0
2025-11-26,5000.0
2025-11-27,5000.0
2025-11-28,5000.0
2025-11-29,5000.0
2025-12-01,5000.0
2025-12-02,5000.0
2025-12-04,5000.0
2025-12-05,5000.0
2025-12-06,5000.0
2025-12-08,5000.0
2025-12-09,5000.0
2025-12-10,5500.0
2025-12-11,5500.0
2025-12-12,6000.0
2025-12-13,5000.0
2025-12-15,5000.0
2025-12-17,5000.0
2025-12-18,5000.0
2025-12-22,6000.0
2025-12-23,6000.0
2025-12-24,4500.0
2025-12-26,5500.0
2025-12-27,5500.0
2025-12-29,5500.0
2025-12-30,5500.0
2025-12-31,6000.0
2026-01-01,5500.0
2026-01-02,6000.0
2026-01-03,6000.0
2026-01-05,6000.0
2026-01-06,5500.0
2026-01-07,6000.0
2026-01-08,5500.0
2026-01-09,6000.0
2026-01-10,6000.0
2026-01-12,6000.0
2026-01-13,6000.0
2026-01-15,6000.0
2026-01-16,6000.0
2026-01-17,6000.0
2026-01-19,6000.0
2026-01-20,6000.0
2026-01-21,6000.0
2026-01-22,6000.0
2026-01-23,6000.0
2026-01-27,6000.0
2026-01-28,6000.0
2026-01-29,6000.0
2026-01-30,6000.0
2026-01-31,6500.0
2026-02-02,6500.0
2026-02-03,6500.0
2026-05-19,5000.0
2026-05-20,5500.0
2026-05-21,5500.0
2026-05-23,5500.0
2026-05-25,5500.0
2026-05-26,6000.0
2026-05-27,5500.0
2026-05-28,5500.0
2026-05-30,6000.0
2026-06-01,5500.0
2026-06-02,6000.0
2026-06-03,6000.0
2026-06-04,6000.0
2026-06-09,6000.0
2026-06-10,6000.0
2026-09-22,5500.0
2026-09-23,6500.0
