date,price
2025-01-02,5358.0
2025-01-03,5350.0
2025-01-04,5300.0
2025-01-06,4675.0
2025-01-07,5200.0
2025-01-08,5390.0
2025-01-09,5540.0
2025-01-10,5675.0
2025-01-11,5675.0
2025-01-15,5450.0
2025-01-16,5550.0
2025-01-20,5500.0
2025-01-21,5375.0
2025-01-22,5375.0
2025-01-23,5375.0
2025-01-24,5375.0
2025-01-25,5375.0
2025-01-27,5350.0
2025-01-28,5350.0
2025-01-29,5325.0
2025-01-30,5325.0
2025-01-31,5325.0
2025-02-04,5225.0
2025-02-05,5125.0
2025-02-06,5125.0
2025-02-07,5125.0
2025-02-08,5125.0
2025-02-10,5125.0
2025-02-17,5100.0
2025-02-21,5050.0
2025-05-28,5000.0
2025-05-30,5000.0
2025-05-31,5000.0
2025-06-03,5325.0
2025-06-05,7600.0
2025-06-06,5025.0
2025-06-07,5137.0
2025-06-09,5202.0
2025-06-10,5207.0
2025-06-11,5200.0
2025-06-12,5702.0
2025-06-13,5925.0
2025-06-14,5930.0
2025-06-16,5737.0
2025-06-17,5925.0
2025-06-18,5575.0
2025-06-19,5453.0
2025-06-20,5780.0
2025-06-21,5700.0
2025-06-23,5562.0
2025-06-24,5378.0
2025-06-25,5750.0
2025-07-02,5602.0
2025-07-04,5525.0
2025-07-07,5375.0
2025-07-12,5325.0
2025-07-15,5475.0
2025-07-17,5350.0
2025-07-29,5250.0
2025-09-29,5475.0
2025-10-04,5225.0
2025-10-06,5500.0
2025-10-07,5612.0
2025-10-08,5700.0
2025-10-09,5625.0
2025-10-11,5475.0
2025-10-13,5485.0
2025-10-14,5350.0
2025-10-15,5275.0
2025-10-16,5425.0
2025-10-17,5375.0
2025-10-18,5150.0
2025-10-27,5000.0
2025-10-29,5000.0
2025-10-30,5250.0
2025-11-01,5250.0
2025-11-03,5050.0
2025-11-04,5050.0
2025-11-05,4988.0
2025-11-06,4987.0
2025-11-08,5025.0
2025-11-10,5350.0
2025-11-11,5075.0
2025-11-12,5075.0
2025-11-13,4375.0
2025-11-14,5100.0
2025-11-15,5100.0
2025-11-17,5462.0
2025-11-18,5375.0
2025-11-19,5375.0
2025-11-20,5400.0
2025-11-21,5625.0
2025-11-24,5575.0
2025-11-25,5575.0
2025-11-26,5600.0
2025-11-27,5600.0
2025-11-28,5562.0
2025-11-29,5562.0
2025-12-01,5500.0
2025-12-03,5575.0
2025-12-04,5870.0
2025-12-05,5700.0
2025-12-06,5700.0
2025-12-08,5575.0
2025-12-09,5575.0
2025-12-10,5775.0
2025-12-11,5775.0
2025-12-12,5625.0
2025-12-15,5900.0
2025-12-16,5625.0
2025-12-17,5625.0
2025-12-18,6200.0
2025-12-19,6200.0
2025-12-23,5900.0
2025-12-24,5900.0
2025-12-26,5750.0
2025-12-27,5750.0
2025-12-29,5700.0
2025-12-30,6000.0
2026-01-02,5850.0
2026-01-03,5850.0
2026-01-05,6000.0
2026-01-06,6000.0
2026-01-07,5125.0
2026-01-13,6000.0
2026-01-22,6150.0
2026-02-03,6175.0
2026-05-16,7125.0
2026-05-18,7700.0
2026-05-19,7700.0
2026-05-21,7750.0
2026-05-23,7700.0
2026-05-26,8375.0
2026-05-27,8375.0
2026-05-29,8400.0
2026-06-01,7975.0
2026-06-02,7975.0
2026-06-03,8350.0
2026-06-04,8350.0
2026-06-09,8425.0
2026-06-10,8425.0
2026-06-12,8150.0
2026-06-13,8150.0
2026-06-15,7900.0
2026-06-16,7900.0
2026-06-17,7900.0
2026-06-18,8000.0
2026-06-19,8000.0
2026-06-20,8000.0
2026-06-22,7250.0
2026-06-23,7500.0
2026-06-24,7500.0
2026-06-27,7750.0
2026-06-29,7525.0
2026-06-30,7525.0
2026-08-11,7250.0
