date,price
2025-01-02,5755.0
2025-01-03,5650.0
2025-01-04,5655.0
2025-01-06,5555.0
2025-01-07,5625.0
2025-01-09,5500.0
2025-01-10,5700.0
2025-01-11,5500.0
2025-01-15,5555.0
2025-01-16,5500.0
2025-01-17,5500.0
2025-01-18,5500.0
2025-01-20,5500.0
2025-01-21,5650.0
2025-01-22,5625.0
2025-01-23,5500.0
2025-01-24,5500.0
2025-01-25,5500.0
2025-01-27,5575.0
2025-01-28,5500.0
2025-01-29,5500.0
2025-02-07,5105.0
2025-02-08,5055.0
2025-02-10,5000.0
2025-02-11,5000.0
2025-02-13,5105.0
2025-02-14,5000.0
2025-02-15,5205.0
2025-02-17,4750.0
2025-02-18,5250.0
2025-02-20,5055.0
2025-02-21,5155.0
2025-02-24,5000.0
2025-02-27,4750.0
2025-02-28,5055.0
2025-04-16,5155.0
2025-06-07,5155.0
2025-06-09,5055.0
2025-06-12,5180.0
2025-06-13,5500.0
2025-06-16,5555.0
2025-06-17,5500.0
2025-06-18,5500.0
2025-06-19,5500.0
2025-06-20,5925.0
2025-06-21,5900.0
2025-06-23,5755.0
2025-06-28,5805.0
2025-06-30,5755.0
2025-07-04,5255.0
2025-07-05,5405.0
2025-07-08,5500.0
2025-07-09,5500.0
2025-07-11,5500.0
2025-07-14,5500.0
2025-07-15,5350.0
2025-07-16,5400.0
2025-07-17,5300.0
2025-07-23,4625.0
2025-07-24,4500.0
2025-07-25,4250.0
2025-07-26,4250.0
2025-07-30,4155.0
2025-07-31,4255.0
2025-08-04,4305.0
2025-08-05,4355.0
2025-08-06,4105.0
2025-08-08,4000.0
2025-08-11,4005.0
2025-08-28,3800.0
2025-08-29,3600.0
2025-09-02,3650.0
2025-09-04,3500.0
2025-10-01,5500.0
2025-10-03,4500.0
2025-10-04,5255.0
2025-10-06,4855.0
2025-10-08,5000.0
2025-10-09,5555.0
2025-10-10,5500.0
2025-10-11,5555.0
2025-10-13,5625.0
2025-10-15,5500.0
2025-10-16,5500.0
2025-10-30,5400.0
2025-10-31,5400.0
2025-11-01,5400.0
2025-11-03,5500.0
2025-11-04,5500.0
2025-11-06,5250.0
2025-11-07,6200.0
2025-11-08,5600.0
2025-11-10,5500.0
2025-11-11,5750.0
2025-11-12,6000.0
2025-11-13,6000.0
2025-11-14,6000.0
2025-11-15,6125.0
2025-11-17,6500.0
2025-11-18,6400.0
2025-11-19,6250.0
2025-11-21,6500.0
2025-11-22,6500.0
2025-11-24,6500.0
2025-11-25,6400.0
2025-11-26,6350.0
2025-11-27,6050.0
2025-11-28,6350.0
2025-11-29,6250.0
2025-12-01,6500.0
2025-12-02,6500.0
2025-12-03,6500.0
2025-12-05,6900.0
2025-12-08,6355.0
2025-12-09,6400.0
2025-12-10,6500.0
2025-12-12,6500.0
2025-12-13,6500.0
2025-12-15,6525.0
2025-12-16,6625.0
2025-12-17,6625.0
2025-12-18,6555.0
2025-12-19,6500.0
2025-12-20,6505.0
2025-12-22,6500.0
2025-12-23,6555.0
2025-12-24,6625.0
2025-12-26,6500.0
2025-12-27,6555.0
2025-12-29,6405.0
2025-12-30,6500.0
2025-12-31,6500.0
2026-01-01,6675.0
2026-01-02,6500.0
2026-01-05,6500.0
2026-01-06,6400.0
2026-01-07,6500.0
2026-01-08,6500.0
2026-01-09,6500.0
2026-01-10,6350.0
2026-01-12,6250.0
2026-01-15,6250.0
2026-01-16,6000.0
2026-01-19,6000.0
2026-01-20,6000.0
2026-01-22,6500.0
2026-01-27,6500.0
2026-01-28,6650.0
2026-01-29,6625.0
2026-01-30,6000.0
2026-02-02,7000.0
2026-02-03,6250.0
2026-02-04,6250.0
2026-02-06,6650.0
2026-02-09,7380.0
2026-02-10,6255.0
2026-02-11,6500.0
2026-03-13,6655.0
2026-03-14,7255.0
2026-05-28,6605.0
2026-06-01,7000.0
2026-06-02,7500.0
2026-06-03,6755.0
2026-06-04,6955.0
2026-06-06,8555.0
2026-06-09,7255.0
2026-06-10,7235.0
2026-06-11,7755.0
2026-06-12,7255.0
2026-06-13,7255.0
2026-06-15,7750.0
2026-06-16,7255.0
2026-06-17,7250.0
2026-06-18,7250.0
2026-06-19,7400.0
2026-06-20,6750.0
2026-06-22,7000.0
2026-06-23,7000.0
2026-06-24,6750.0
2026-06-25,7000.0
2026-06-26,7000.0
2026-06-30,6755.0
2026-07-08,6625.0
2026-07-10,6500.0
2026-07-11,6500.0
2026-07-13,6255.0
2026-07-18,6125.0
2026-09-21,7055.0
