date,price
2025-01-01,5610.0
2025-01-02,5660.0
2025-01-03,5660.0
2025-01-06,5510.0
2025-01-07,5310.0
2025-01-08,5510.0
2025-01-09,5340.0
2025-01-10,5525.0
2025-01-11,5415.0
2025-01-15,5380.0
2025-01-16,5550.0
2025-01-17,5330.0
2025-01-18,5495.0
2025-01-20,5480.0
2025-01-21,5510.0
2025-01-22,5470.0
2025-01-23,5515.0
2025-01-24,5310.0
2025-01-25,5345.0
2025-01-27,5340.0
2025-01-28,5315.0
2025-01-29,5350.0
2025-01-30,5405.0
2025-01-31,5235.0
2025-02-01,5290.0
2025-02-03,4925.0
2025-02-04,4980.0
2025-02-05,4800.0
2025-02-06,4800.0
2025-02-07,4600.0
2025-02-10,4710.0
2025-02-11,4850.0
2025-02-13,4650.0
2025-02-14,4920.0
2025-02-15,4770.0
2025-02-17,4895.0
2025-02-18,4895.0
2025-02-19,4910.0
2025-02-20,4970.0
2025-02-21,4915.0
2025-02-22,4875.0
2025-02-24,5175.0
2025-02-25,5010.0
2025-03-01,5000.0
2025-03-03,4870.0
2025-03-05,4860.0
2025-03-07,4780.0
2025-06-09,5350.0
2025-06-10,5325.0
2025-06-12,5355.0
2025-06-16,5055.0
2025-06-19,5000.0
2025-07-08,4600.0
2025-07-11,4880.0
2025-07-14,4925.0
2025-07-15,4880.0
2025-07-22,4395.0
2025-07-25,4750.0
2025-08-13,4250.0
2025-09-18,5105.0
2025-09-19,5255.0
2025-09-24,4875.0
2025-09-25,5005.0
2025-09-27,5590.0
2025-09-29,4920.0
2025-09-30,5250.0
2025-10-01,5000.0
2025-10-03,5000.0
2025-10-04,4825.0
2025-10-06,5070.0
2025-10-08,5170.0
2025-10-09,5405.0
2025-10-10,5340.0
2025-10-11,5330.0
2025-10-13,5330.0
2025-10-14,5280.0
2025-10-15,5140.0
2025-10-16,5150.0
2025-10-29,5100.0
2025-10-30,5155.0
2025-11-01,5185.0
2025-11-03,4845.0
2025-11-04,4965.0
2025-11-08,5050.0
2025-11-10,5105.0
2025-11-11,5510.0
2025-11-12,5360.0
2025-11-13,5550.0
2025-11-14,5740.0
2025-11-15,5880.0
2025-11-17,5840.0
2025-11-18,5870.0
2025-11-19,5745.0
2025-11-20,5880.0
2025-11-21,5885.0
2025-11-22,6170.0
2025-11-24,5990.0
2025-11-25,5970.0
2025-11-26,6060.0
2025-11-27,5880.0
2025-11-28,6110.0
2025-11-29,6060.0
2025-12-01,6060.0
2025-12-02,6465.0
2025-12-03,6180.0
2025-12-05,6240.0
2025-12-06,6175.0
2025-12-08,6225.0
2025-12-09,6185.0
2025-12-10,6195.0
2025-12-11,6450.0
2025-12-12,6250.0
2025-12-13,6460.0
2025-12-15,6365.0
2025-12-16,6415.0
2025-12-17,6200.0
2025-12-18,6300.0
2025-12-19,6425.0
2025-12-20,6445.0
2025-12-22,6610.0
2025-12-23,6670.0
2025-12-24,6770.0
2025-12-26,6705.0
2025-12-27,6775.0
2025-12-29,6685.0
2025-12-30,6775.0
2025-12-31,6770.0
2026-01-01,6765.0
2026-01-02,6710.0
2026-01-05,6600.0
2026-01-06,6660.0
2026-01-07,6415.0
2026-01-08,6385.0
2026-01-09,6465.0
2026-01-10,6350.0
2026-01-12,6310.0
2026-01-13,6235.0
2026-01-16,5650.0
2026-01-17,6000.0
2026-01-19,6000.0
2026-01-20,5825.0
2026-01-21,6285.0
2026-01-22,6180.0
2026-01-27,6640.0
2026-01-28,5850.0
2026-02-04,6675.0
2026-02-05,5875.0
2026-02-12,6700.0
2026-05-27,7110.0
2026-06-11,8225.0
2026-06-17,6640.0
2026-06-20,6500.0
