date,price
2025-01-02,4645.0
2025-01-03,5250.0
2025-01-04,4760.0
2025-01-06,4570.0
2025-01-07,4485.0
2025-01-08,4730.0
2025-01-09,4715.0
2025-01-10,4575.0
2025-01-11,4450.0
2025-01-13,4715.0
2025-01-15,4495.0
2025-01-17,4570.0
2025-01-18,5330.0
2025-01-20,4780.0
2025-01-21,5005.0
2025-01-22,4825.0
2025-01-23,5150.0
2025-01-25,4995.0
2025-01-27,4650.0
2025-01-28,4700.0
2025-01-29,4640.0
2025-01-30,4260.0
2025-01-31,4575.0
2025-02-01,4170.0
2025-02-03,5200.0
2025-02-04,4385.0
2025-02-05,4900.0
2025-02-06,4690.0
2025-02-07,4460.0
2025-02-08,4250.0
2025-02-10,4475.0
2025-02-11,5625.0
2025-02-13,5005.0
2025-02-14,4815.0
2025-02-15,4520.0
2025-02-17,5210.0
2025-02-18,4595.0
2025-02-19,4945.0
2025-02-20,4830.0
2025-02-21,4675.0
2025-02-22,4700.0
2025-02-24,4565.0
2025-02-27,4380.0
2025-02-28,4715.0
2025-03-01,5005.0
2025-03-03,4685.0
2025-03-04,4340.0
2025-03-05,4000.0
2025-03-08,4790.0
2025-03-10,4350.0
2025-03-11,4500.0
2025-03-13,4355.0
2025-03-15,4665.0
2025-03-17,4610.0
2025-03-18,4880.0
2025-03-19,4585.0
2025-03-20,4300.0
2025-03-21,4625.0
2025-03-25,4600.0
2025-04-01,4885.0
2025-04-02,4370.0
2025-04-03,4850.0
2025-04-04,4615.0
2025-04-05,4525.0
2025-04-08,4400.0
2025-04-09,4825.0
2025-04-10,4750.0
2025-04-11,4860.0
2025-04-15,4060.0
2025-04-19,4890.0
2025-04-21,4570.0
2025-04-22,4570.0
2025-04-24,4750.0
2025-04-25,4690.0
2025-04-26,4650.0
2025-04-28,4750.0
2025-04-29,4650.0
2025-05-01,4755.0
2025-05-06,4700.0
2025-05-09,4470.0
2025-05-10,4440.0
2025-05-12,4590.0
2025-05-13,4760.0
2025-05-14,4795.0
2025-05-15,4790.0
2025-05-16,4450.0
2025-05-17,4645.0
2025-05-19,4660.0
2025-05-20,4885.0
2025-05-21,4430.0
2025-05-22,4835.0
2025-05-24,4700.0
2025-05-26,4615.0
2025-05-27,4845.0
2025-05-28,4835.0
2025-05-29,4500.0
2025-05-30,4250.0
2025-05-31,4520.0
2025-06-02,4135.0
2025-06-03,4905.0
2025-06-05,4635.0
2025-06-09,4725.0
2025-06-10,4250.0
2025-06-11,5025.0
2025-06-12,4500.0
2025-06-13,4875.0
2025-06-16,4500.0
2025-06-18,4725.0
2025-06-19,4690.0
2025-06-20,4955.0
2025-06-21,5005.0
2025-06-23,5400.0
2025-06-24,4835.0
2025-06-25,4500.0
2025-07-01,4710.0
2025-07-02,4610.0
2025-07-05,4300.0
2025-07-07,4500.0
2025-07-14,5625.0
2025-07-16,4175.0
2025-07-19,3975.0
2025-07-21,5105.0
2025-07-30,5000.0
2025-07-31,4615.0
2025-08-01,4000.0
2025-08-02,4525.0
2025-08-30,3780.0
2025-09-02,4670.0
2025-09-04,4750.0
2025-09-08,5010.0
2025-09-13,4635.0
2025-09-16,5025.0
2025-09-17,3820.0
2025-09-19,3575.0
2025-09-20,3985.0
2025-09-22,3750.0
2025-09-24,3935.0
2025-09-26,3900.0
2025-09-27,4300.0
2025-09-29,4330.0
2025-09-30,3675.0
2025-10-01,3905.0
2025-10-03,3800.0
2025-10-06,3585.0
2025-10-07,3485.0
2025-10-08,3500.0
2025-10-09,3440.0
2025-10-10,3465.0
2025-10-11,3755.0
2025-10-13,3774.0
2025-10-14,3695.0
2025-10-15,3510.0
2025-10-16,3495.0
2025-10-17,3830.0
2025-10-27,4055.0
2025-10-28,4325.0
2025-10-29,4290.0
2025-10-30,4655.0
2025-10-31,4405.0
2025-11-01,4570.0
2025-11-03,4755.0
2025-11-04,4300.0
2025-11-05,4445.0
2025-11-08,4705.0
2025-11-10,4880.0
2025-11-11,4920.0
2025-11-15,5930.0
2026-03-05,6425.0
2026-04-06,7250.0
