date,price
2025-11-06,4300.0
2025-11-07,4055.0
2025-11-12,5120.0
2025-11-13,5025.0
2025-11-14,5130.0
2025-11-18,5375.0
2025-11-22,5355.0
2025-11-24,5355.0
2025-11-25,5335.0
2025-11-26,5280.0
2025-11-28,5475.0
2025-11-29,5105.0
2025-12-01,6130.0
2025-12-02,6075.0
2025-12-03,5530.0
2025-12-04,5755.0
2025-12-05,5225.0
2025-12-06,5325.0
2025-12-08,5500.0
2025-12-09,5800.0
2025-12-10,5755.0
2025-12-11,5375.0
2025-12-12,5350.0
2025-12-13,5350.0
2025-12-15,5505.0
2025-12-16,5700.0
2025-12-17,6125.0
2025-12-18,5750.0
2025-12-19,5555.0
2025-12-20,5410.0
2025-12-22,5750.0
2025-12-23,5590.0
2025-12-24,5705.0
2025-12-25,6060.0
2025-12-26,5875.0
2025-12-27,6025.0
2025-12-29,6100.0
2025-12-30,5755.0
2025-12-31,5955.0
2026-01-01,6150.0
2026-01-02,6060.0
2026-01-03,6130.0
2026-01-05,6255.0
2026-01-06,6250.0
2026-01-07,5925.0
2026-01-08,6255.0
2026-01-09,6080.0
2026-01-10,6075.0
2026-01-12,6180.0
2026-01-13,6025.0
2026-01-15,6005.0
2026-01-16,6255.0
2026-01-17,6250.0
2026-01-19,5875.0
2026-01-20,6025.0
2026-01-21,6005.0
2026-01-22,6250.0
2026-01-23,6450.0
2026-01-24,6500.0
2026-01-27,7050.0
2026-01-28,7350.0
2026-01-29,6525.0
2026-01-30,6750.0
2026-01-31,7350.0
2026-02-02,6500.0
2026-02-06,6150.0
2026-02-07,6355.0
2026-02-09,6005.0
2026-02-10,6075.0
2026-02-11,6225.0
2026-02-12,6450.0
2026-02-14,6025.0
2026-02-16,6755.0
2026-02-17,6100.0
2026-02-18,5900.0
2026-02-19,6250.0
2026-02-20,6175.0
2026-02-21,6275.0
2026-02-23,6260.0
2026-02-24,6400.0
2026-02-25,6000.0
2026-02-27,6000.0
2026-02-28,6125.0
2026-03-02,6125.0
2026-03-13,5675.0
2026-03-16,5775.0
2026-03-17,6375.0
2026-03-19,6025.0
2026-03-20,6725.0
2026-03-24,6505.0
2026-03-25,6875.0
2026-04-01,6275.0
2026-04-02,6875.0
2026-04-03,7000.0
2026-04-04,7050.0
2026-04-07,6875.0
2026-04-08,6950.0
2026-04-09,6650.0
2026-04-10,6875.0
2026-04-11,6625.0
2026-04-13,6450.0
2026-04-15,6500.0
2026-04-16,6275.0
2026-04-17,5880.0
2026-04-18,6650.0
2026-04-20,6730.0
2026-04-21,6500.0
2026-04-22,6130.0
2026-04-23,6225.0
2026-04-25,6075.0
2026-04-27,6250.0
2026-04-28,5725.0
2026-05-02,6700.0
2026-05-04,6105.0
2026-05-05,7000.0
2026-05-06,5900.0
2026-05-07,6200.0
2026-05-11,6055.0
2026-05-13,6655.0
2026-05-14,6350.0
2026-05-16,6750.0
2026-05-18,6500.0
2026-05-19,6150.0
2026-05-20,6330.0
2026-05-21,6500.0
2026-05-22,6255.0
2026-05-25,6500.0
2026-05-26,7500.0
2026-05-27,6055.0
2026-05-29,6750.0
2026-06-01,6975.0
2026-06-02,6600.0
2026-06-03,6500.0
2026-06-04,5800.0
2026-06-05,6500.0
2026-06-06,6480.0
2026-06-09,5850.0
2026-06-10,6025.0
2026-06-12,5650.0
2026-06-13,6050.0
2026-06-15,6025.0
2026-06-16,6150.0
2026-06-17,6000.0
2026-06-18,5850.0
2026-06-19,6500.0
2026-06-20,6100.0
2026-06-24,5950.0
2026-06-30,6500.0
2026-07-01,6005.0
2026-07-04,6000.0
2026-07-07,5750.0
2026-07-09,5850.0
2026-07-17,6355.0
2026-08-17,6250.0
2026-08-29,7000.0
2026-09-12,7070.0
2026-09-15,6505.0
2026-09-17,6505.0
