date,price
2025-01-06,5080.0
2025-01-11,4930.0
2025-01-13,4980.0
2025-01-15,4980.0
2025-01-16,5355.0
2025-01-17,4955.0
2025-01-18,4505.0
2025-01-22,5055.0
2025-01-23,5355.0
2025-01-24,5030.0
2025-01-28,5205.0
2025-01-29,5030.0
2025-01-31,5305.0
2025-02-01,5255.0
2025-02-02,4605.0
2025-02-04,5155.0
2025-02-05,4505.0
2025-02-11,4930.0
2025-02-17,4730.0
2025-02-19,4805.0
2025-02-20,4955.0
2025-02-21,5030.0
2025-02-25,5030.0
2025-02-27,5080.0
2025-02-28,4855.0
2025-03-03,4905.0
2025-03-06,5155.0
2025-03-07,4505.0
2025-03-08,4555.0
2025-03-10,4805.0
2025-03-11,4555.0
2025-03-12,4930.0
2025-03-18,4355.0
2025-03-21,4580.0
2025-03-24,4630.0
2025-03-28,4480.0
2025-04-03,4505.0
2025-04-10,4555.0
2025-04-17,4505.0
2025-04-21,4830.0
2025-04-24,4755.0
2025-04-28,4905.0
2025-05-01,4780.0
2025-05-05,4605.0
2025-05-08,4580.0
2025-05-12,4855.0
2025-05-15,4855.0
2025-05-19,4955.0
2025-05-22,4905.0
2025-05-26,4930.0
2025-05-29,4880.0
2025-06-02,4855.0
2025-06-05,4930.0
2025-06-09,4880.0
2025-06-12,4930.0
2025-06-16,5005.0
2025-06-19,5055.0
2025-06-24,6805.0
2025-06-30,4930.0
2025-07-03,4930.0
2025-07-10,4855.0
2025-07-14,4955.0
2025-08-25,4905.0
2025-08-28,4505.0
2025-08-30,5030.0
2025-09-01,4880.0
2025-09-11,4730.0
2025-09-15,4255.0
2025-09-16,3930.0
2025-09-17,4755.0
2025-09-19,4205.0
2025-09-22,4055.0
2025-09-23,4780.0
2025-09-24,4105.0
2025-09-27,4355.0
2025-09-29,4755.0
2025-09-30,4455.0
2025-10-01,4505.0
2025-10-03,4380.0
2025-10-04,4280.0
2025-10-06,4080.0
2025-10-07,4755.0
2025-10-09,4405.0
2025-10-13,4330.0
2025-10-14,4480.0
2025-10-15,4255.0
2025-10-16,4605.0
2025-10-17,4630.0
2025-10-27,4955.0
2025-10-29,4780.0
2025-10-30,4680.0
2025-10-31,4805.0
2025-11-03,5030.0
2025-11-04,4755.0
2025-11-05,5105.0
2025-11-06,5255.0
2025-11-07,4930.0
2025-11-08,4880.0
2025-11-10,5255.0
2025-11-11,4880.0
2025-11-12,5455.0
2025-11-13,5305.0
2025-11-14,5505.0
2025-11-15,5280.0
2025-11-17,5280.0
2025-11-25,5480.0
2025-12-02,5505.0
2026-01-02,6230.0
2026-01-07,6025.0
2026-01-17,6205.0
2026-01-19,6330.0
2026-01-24,7180.0
2026-01-30,7055.0
2026-02-04,6605.0
2026-02-09,6805.0
2026-02-10,6580.0
2026-02-21,6280.0
2026-02-23,6005.0
2026-02-26,6055.0
2026-03-09,5805.0
2026-03-11,6255.0
2026-03-13,6055.0
2026-03-16,6505.0
2026-04-17,5880.0
2026-04-22,6405.0
2026-04-29,6105.0
2026-05-04,6180.0
2026-05-11,5555.0
2026-05-13,6355.0
2026-05-20,5830.0
2026-05-22,6180.0
2026-05-25,6555.0
2026-06-03,6055.0
2026-06-05,7105.0
2026-06-08,6680.0
2026-06-10,5955.0
2026-06-17,6305.0
2026-06-22,5555.0
2026-06-24,5855.0
2026-06-27,5530.0
2026-06-29,6255.0
2026-07-01,5555.0
2026-07-02,5505.0
2026-07-13,5880.0
2026-07-24,6455.0
2026-07-27,6905.0
2026-07-31,6405.0
2026-08-03,6180.0
2026-08-10,6630.0
2026-08-25,6680.0
2026-09-22,6505.0
