date,price
2025-01-09,5065.0
2025-01-10,5060.0
2025-01-11,5150.0
2025-01-15,5050.0
2025-01-16,5070.0
2025-01-17,5150.0
2025-02-14,5065.0
2025-02-17,4995.0
2025-02-24,5040.0
2025-02-27,4980.0
2025-02-28,5070.0
2025-03-01,5050.0
2025-03-03,5005.0
2025-03-04,5100.0
2025-03-05,5165.0
2025-03-06,4975.0
2025-03-07,4895.0
2025-03-17,4975.0
2025-03-18,4955.0
2025-03-19,4975.0
2025-03-21,4950.0
2025-04-02,4925.0
2025-04-03,4850.0
2025-04-04,4655.0
2025-04-08,4850.0
2025-04-10,4800.0
2025-04-11,4870.0
2025-04-14,4870.0
2025-04-15,4650.0
2025-04-16,4640.0
2025-04-17,4600.0
2025-04-18,4645.0
2025-04-19,4635.0
2025-04-21,4720.0
2025-04-22,4525.0
2025-04-23,4500.0
2025-04-24,4880.0
2025-04-25,4720.0
2025-04-26,4715.0
2025-04-28,4590.0
2025-04-29,4790.0
2025-04-30,4790.0
2025-05-01,4860.0
2025-05-03,4810.0
2025-05-13,4635.0
2025-05-14,4750.0
2025-05-15,4840.0
2025-05-17,5000.0
2025-05-19,4715.0
2025-05-20,4590.0
2025-05-21,4900.0
2025-05-22,4685.0
2025-05-23,5025.0
2025-05-27,4825.0
2025-05-30,4960.0
2025-05-31,4775.0
2025-06-02,4800.0
2025-06-03,4850.0
2025-06-04,4950.0
2025-06-05,4845.0
2025-06-07,5000.0
2025-06-09,4840.0
2025-06-10,4940.0
2025-06-11,4650.0
2025-06-12,4970.0
2025-06-13,5065.0
2025-06-14,5125.0
2025-06-16,5080.0
2025-06-17,5195.0
2025-06-18,5250.0
2025-06-19,5190.0
2025-06-20,5465.0
2025-06-21,5370.0
2025-06-23,5090.0
2025-06-24,4970.0
2025-06-25,5050.0
2025-06-26,5100.0
2025-06-28,5205.0
2025-06-30,5250.0
2025-07-01,5165.0
2025-07-03,5155.0
2025-07-05,5150.0
2025-07-10,5195.0
2025-07-11,5275.0
2025-07-12,5180.0
2025-07-14,5160.0
2025-07-16,5475.0
2025-07-17,5415.0
2025-07-18,5290.0
2025-07-19,5115.0
2025-07-21,4925.0
2025-07-22,5005.0
2025-07-23,5075.0
2025-07-24,4800.0
2025-07-25,5025.0
2025-07-26,5090.0
2025-07-29,4965.0
2025-07-30,4875.0
2025-07-31,5150.0
2025-08-01,4975.0
2025-08-02,5115.0
2025-08-05,5365.0
2025-08-06,4965.0
2025-08-07,5275.0
2025-08-08,4665.0
2025-08-19,5600.0
2025-08-20,5465.0
2025-08-21,5150.0
2025-08-22,5375.0
2025-08-25,4940.0
2025-08-26,4800.0
2025-08-27,5490.0
2025-08-28,4790.0
2025-08-29,4515.0
2025-08-30,4925.0
2025-09-01,5300.0
2025-09-02,5515.0
2025-09-03,5115.0
2025-09-04,5400.0
2025-09-05,5150.0
2025-09-06,4700.0
2025-09-09,4925.0
2025-09-10,4985.0
2025-09-11,5390.0
2025-09-12,5350.0
2025-09-13,5360.0
2025-09-15,4990.0
2025-09-16,5365.0
2025-09-17,4925.0
2025-09-18,5375.0
2025-09-19,4850.0
2025-09-20,4775.0
2025-09-23,4475.0
2025-09-24,4025.0
2025-09-25,4750.0
2025-09-26,4900.0
2025-09-27,4925.0
2025-09-29,4950.0
2025-09-30,4940.0
2025-10-01,4940.0
2025-10-03,5075.0
2025-10-04,4990.0
2025-10-06,4440.0
2025-10-07,4950.0
2025-10-08,4995.0
2025-10-09,5125.0
2025-10-10,4940.0
2025-10-11,5045.0
2025-10-13,4950.0
2025-10-15,4865.0
2025-10-16,4815.0
2025-10-17,5075.0
2025-11-03,4985.0
2025-11-04,4980.0
2025-11-05,4615.0
2025-11-06,4885.0
2026-02-24,5750.0
2026-02-25,5940.0
2026-02-26,5875.0
2026-02-27,5650.0
2026-02-28,5910.0
2026-03-02,5915.0
2026-03-03,6150.0
2026-03-05,6150.0
2026-03-07,5950.0
2026-03-09,6300.0
2026-03-10,6240.0
2026-03-11,6205.0
2026-03-12,6150.0
2026-03-14,6290.0
2026-03-16,6365.0
2026-03-17,6265.0
2026-03-20,6450.0
2026-03-21,6765.0
2026-03-23,6890.0
2026-03-24,6525.0
2026-04-04,6450.0
2026-04-06,6050.0
2026-04-08,7250.0
2026-04-09,6190.0
2026-04-10,7015.0
2026-04-11,6900.0
2026-04-14,6665.0
2026-04-15,6500.0
2026-04-21,5875.0
2026-04-22,6325.0
2026-04-23,6450.0
2026-04-24,6390.0
2026-04-25,6650.0
2026-04-27,6650.0
2026-04-28,6550.0
2026-04-29,6500.0
2026-04-30,6650.0
2026-05-01,6550.0
2026-05-05,6615.0
2026-05-07,6675.0
2026-05-13,6650.0
2026-05-14,6800.0
2026-05-15,6600.0
2026-05-16,7350.0
2026-05-18,7125.0
2026-05-19,6990.0
2026-05-20,7225.0
2026-05-21,7240.0
2026-05-25,7150.0
2026-05-26,6965.0
2026-05-27,7700.0
2026-05-28,7000.0
2026-05-29,7140.0
2026-05-30,7330.0
2026-06-01,7575.0
2026-06-02,6980.0
2026-06-03,7190.0
2026-06-04,7415.0
2026-06-05,7275.0
2026-06-08,7250.0
2026-06-09,7125.0
2026-06-15,6950.0
2026-06-17,7050.0
2026-06-18,6085.0
2026-06-19,6230.0
2026-06-20,6510.0
2026-06-23,6440.0
2026-06-24,6310.0
2026-06-25,6475.0
2026-06-27,5650.0
2026-06-29,5055.0
2026-06-30,5740.0
2026-07-01,5875.0
2026-07-02,5650.0
2026-07-03,6075.0
2026-07-04,5925.0
2026-07-09,5925.0
2026-07-10,6415.0
2026-07-11,6400.0
2026-07-13,6440.0
2026-07-14,6350.0
2026-07-15,6005.0
2026-07-17,6100.0
2026-07-18,6725.0
2026-07-20,6200.0
2026-07-23,6465.0
2026-07-25,6550.0
2026-07-27,6650.0
2026-07-28,6440.0
2026-07-30,6700.0
2026-07-31,6240.0
2026-08-03,6375.0
2026-08-04,6875.0
2026-08-06,6100.0
2026-08-11,6100.0
2026-08-12,6450.0
2026-08-13,6600.0
2026-08-14,6805.0
2026-08-18,6450.0
2026-08-19,6275.0
2026-08-20,6300.0
2026-08-21,6140.0
2026-08-22,5875.0
2026-08-25,5850.0
2026-08-26,5800.0
2026-08-27,5860.0
2026-08-29,5400.0
2026-09-08,5900.0
2026-09-09,6450.0
2026-09-10,5825.0
2026-09-12,6300.0
2026-09-16,6275.0
2026-09-18,6225.0
2026-09-19,6050.0
2026-09-21,6265.0
2026-09-22,5765.0
2026-09-23,5400.0
