date,price
2025-11-07,4855.0
2025-11-10,4905.0
2025-11-11,4755.0
2025-11-13,4630.0
2025-11-18,5505.0
2025-11-24,5505.0
2025-11-25,5155.0
2025-11-26,5355.0
2025-11-27,5355.0
2025-11-28,5405.0
2025-12-01,5355.0
2025-12-02,5380.0
2025-12-03,5405.0
2025-12-04,5355.0
2025-12-05,5805.0
2025-12-08,5505.0
2025-12-09,5455.0
2025-12-10,5505.0
2025-12-11,5505.0
2025-12-15,5580.0
2025-12-18,5655.0
2025-12-22,5705.0
2025-12-23,5805.0
2025-12-24,5855.0
2025-12-25,6055.0
2025-12-26,6305.0
2025-12-29,6255.0
2025-12-31,6105.0
2026-01-02,6655.0
2026-01-05,6305.0
2026-01-07,6405.0
2026-01-08,6355.0
2026-01-09,6230.0
2026-01-12,6355.0
2026-01-13,6805.0
2026-01-15,6305.0
2026-01-16,6305.0
2026-01-20,6905.0
2026-01-27,7705.0
2026-01-28,7305.0
2026-01-30,7130.0
2026-01-31,6955.0
2026-02-02,6880.0
2026-02-03,6655.0
2026-02-09,7005.0
2026-02-16,7505.0
2026-02-17,7605.0
2026-02-23,7280.0
2026-02-24,7330.0
2026-02-27,7055.0
2026-03-02,6880.0
2026-03-03,6805.0
2026-03-06,7230.0
2026-03-09,6755.0
2026-03-10,6955.0
2026-03-11,6855.0
2026-03-23,7255.0
2026-04-06,7430.0
2026-04-07,7330.0
2026-04-14,7380.0
2026-04-15,7330.0
2026-04-17,7205.0
2026-04-20,6905.0
2026-04-21,6680.0
2026-04-24,7255.0
2026-04-25,7180.0
2026-04-27,7255.0
2026-04-29,7000.0
2026-04-30,7605.0
2026-05-06,7105.0
2026-05-07,7005.0
2026-05-08,7005.0
2026-05-11,7205.0
2026-05-13,7005.0
2026-05-18,6880.0
2026-05-20,6880.0
2026-05-26,6880.0
2026-05-29,7005.0
2026-05-30,6855.0
2026-06-01,7005.0
2026-06-03,6805.0
2026-06-05,6955.0
2026-06-10,7055.0
2026-06-11,6830.0
2026-06-17,6905.0
2026-06-18,6855.0
2026-06-22,6805.0
2026-06-23,6855.0
2026-06-24,8355.0
2026-06-30,7205.0
2026-07-01,6880.0
2026-07-06,6855.0
2026-07-07,6930.0
2026-07-09,7105.0
2026-07-10,6930.0
2026-07-13,7055.0
2026-07-14,7030.0
2026-07-15,7255.0
2026-07-17,7130.0
2026-07-20,7280.0
2026-07-22,7080.0
2026-07-23,7155.0
2026-07-27,7255.0
2026-07-28,7155.0
2026-07-29,7105.0
2026-07-30,7130.0
2026-07-31,7155.0
2026-08-03,6955.0
2026-08-04,7005.0
2026-08-05,6955.0
2026-08-06,7030.0
2026-08-11,6855.0
2026-08-12,7080.0
2026-08-13,7055.0
2026-08-18,8080.0
2026-08-19,7080.0
2026-08-20,7080.0
2026-08-27,6755.0
2026-09-01,6655.0
2026-09-08,7105.0
2026-09-09,7055.0
2026-09-12,6750.0
2026-09-14,6655.0
2026-09-17,6755.0
2026-09-18,6755.0
2026-09-19,6905.0
2026-09-21,6830.0
2026-09-22,6905.0
