date,price
2025-01-02,5430.0
2025-01-03,5455.0
2025-01-04,5380.0
2025-01-06,5455.0
2025-01-07,5430.0
2025-01-08,5405.0
2025-01-09,5455.0
2025-01-11,5455.0
2025-01-15,5405.0
2025-01-16,5430.0
2025-01-18,5430.0
2025-01-20,5505.0
2025-01-21,5455.0
2025-01-23,5505.0
2025-01-24,5530.0
2025-01-25,5380.0
2025-01-27,5405.0
2025-01-28,5355.0
2025-01-29,5330.0
2025-01-30,5280.0
2025-01-31,5330.0
2025-02-01,5305.0
2025-02-03,5280.0
2025-02-04,5305.0
2025-02-07,5355.0
2025-02-08,5355.0
2025-02-10,5380.0
2025-02-11,5355.0
2025-02-12,5380.0
2025-02-13,5355.0
2025-02-15,5330.0
2025-02-17,5330.0
2025-02-18,5380.0
2025-02-21,5405.0
2025-02-22,5305.0
2025-02-24,5230.0
2025-02-27,5330.0
2025-02-28,5330.0
2025-03-01,5330.0
2025-03-03,5305.0
2025-03-04,5280.0
2025-03-05,5305.0
2025-03-07,5280.0
2025-03-08,5255.0
2025-03-10,5255.0
2025-03-11,5255.0
2025-03-12,5230.0
2025-03-15,5230.0
2025-03-17,5255.0
2025-03-18,5230.0
2025-03-19,5255.0
2025-03-20,5305.0
2025-03-21,5255.0
2025-03-22,5280.0
2025-04-01,5255.0
2025-04-02,5305.0
2025-04-03,5330.0
2025-04-04,5280.0
2025-04-05,5280.0
2025-04-07,5305.0
2025-04-08,5305.0
2025-04-09,5305.0
2025-04-10,5305.0
2025-04-14,5255.0
2025-04-15,5255.0
2025-04-16,5230.0
2025-04-18,5280.0
2025-04-19,5255.0
2025-04-22,5280.0
2025-04-23,5255.0
2025-04-25,5305.0
2025-04-28,5255.0
2025-05-02,5280.0
2025-05-05,5280.0
2025-05-06,5030.0
2025-05-07,5105.0
2025-05-08,5180.0
2025-05-09,5180.0
2025-05-10,5280.0
2025-05-12,5280.0
2025-05-13,5355.0
2025-05-15,5330.0
2025-05-16,5280.0
2025-05-17,5280.0
2025-05-19,5255.0
2025-05-20,5330.0
2025-05-21,5355.0
2025-05-23,5305.0
2025-05-24,5305.0
2025-05-26,5355.0
2025-05-27,5305.0
2025-05-28,5305.0
2025-05-31,5330.0
2025-06-02,5330.0
2025-06-03,5280.0
2025-06-04,5305.0
2025-06-09,5305.0
2025-06-10,5330.0
2025-06-13,5330.0
2025-06-14,5380.0
2025-06-16,5330.0
2025-06-17,5355.0
2025-06-18,5305.0
2025-06-20,5280.0
2025-06-21,5255.0
2025-06-23,5230.0
2025-06-24,5230.0
2025-06-30,5255.0
2025-07-01,5230.0
2025-07-02,5255.0
2025-07-03,5355.0
2025-07-04,5305.0
2025-07-05,5305.0
2025-07-08,5330.0
2025-07-11,5405.0
2025-07-12,5405.0
2025-07-14,5405.0
2025-07-15,5355.0
2025-07-16,5405.0
2025-07-22,5505.0
2025-07-23,5555.0
2025-07-29,5255.0
2025-07-30,5305.0
2025-08-01,5355.0
2025-08-02,5105.0
2025-08-05,5005.0
2025-08-06,5330.0
2025-08-08,5130.0
2025-08-12,5255.0
2025-08-13,5030.0
2025-08-20,5255.0
2025-08-26,5280.0
2025-08-27,5230.0
2025-08-28,5405.0
2025-08-29,5355.0
2025-08-30,5255.0
2025-09-01,5105.0
2025-09-03,5255.0
2025-09-04,5380.0
2025-09-08,5080.0
2025-09-09,4855.0
2025-09-12,4555.0
2025-09-15,4880.0
2025-09-16,4805.0
2025-09-17,4680.0
2025-09-19,4655.0
2025-09-20,4205.0
2025-09-22,4805.0
2025-09-23,4755.0
2025-09-24,4830.0
2025-09-25,4680.0
2025-09-26,4805.0
2025-09-27,4855.0
2025-09-29,4705.0
2025-09-30,4905.0
2025-10-03,4855.0
2025-10-04,4380.0
2025-10-06,4555.0
2025-10-10,4255.0
2025-10-11,4730.0
2025-10-13,4605.0
2025-10-14,4555.0
2025-10-18,4805.0
2025-10-27,4680.0
2025-10-28,4880.0
2025-10-30,4830.0
2025-11-01,4905.0
2025-11-03,4930.0
