date,price
2025-03-01,5200.0
2025-03-03,5150.0
2025-03-04,5205.0
2025-03-05,5205.0
2025-03-06,5205.0
2025-03-07,5105.0
2025-03-08,5205.0
2025-03-10,5105.0
2025-03-11,5150.0
2025-03-15,5205.0
2025-03-17,5205.0
2025-03-18,5155.0
2025-03-19,5205.0
2025-03-20,5205.0
2025-03-21,5205.0
2025-03-22,5155.0
2025-04-02,4900.0
2025-04-03,5000.0
2025-04-04,5050.0
2025-04-10,5200.0
2025-04-11,5100.0
2025-04-15,5100.0
2025-04-16,5075.0
2025-04-18,4455.0
2025-04-19,5100.0
2025-04-21,5100.0
2025-04-23,5000.0
2025-04-24,5100.0
2025-04-25,5000.0
2025-04-26,4750.0
2025-04-28,5000.0
2025-04-29,5000.0
2025-04-30,5000.0
2025-05-01,5000.0
2025-05-02,5000.0
2025-05-03,5000.0
2025-05-05,4995.0
2025-05-10,5000.0
2025-05-12,5000.0
2025-05-13,5000.0
2025-05-14,5000.0
2025-05-15,5000.0
2025-05-16,5000.0
2025-05-17,4750.0
2025-05-19,5000.0
2025-05-21,5000.0
2025-05-22,4655.0
2025-05-23,4605.0
2025-05-24,4755.0
2025-05-26,4655.0
2025-05-27,4755.0
2025-05-28,4905.0
2025-05-29,4905.0
2025-05-30,4905.0
2025-05-31,4905.0
2025-06-02,4905.0
2025-06-03,4855.0
2025-06-04,4855.0
2025-06-05,5000.0
2025-06-09,5000.0
2025-06-10,4855.0
2025-06-11,4805.0
2025-06-12,4755.0
2025-06-13,4805.0
2025-06-14,5355.0
2025-06-16,4805.0
2025-06-17,4755.0
2025-06-18,4805.0
2025-06-19,4705.0
2025-06-20,4805.0
2025-06-21,4755.0
2025-06-23,4705.0
2025-06-24,4805.0
2025-06-25,4755.0
2025-06-26,4755.0
2025-06-27,4905.0
2025-06-28,4805.0
2025-06-30,4855.0
2025-07-01,4905.0
2025-07-03,5005.0
2025-07-10,4805.0
2025-07-11,5000.0
2025-07-12,4000.0
2025-07-14,5000.0
2025-07-15,5055.0
2025-07-16,5055.0
2025-07-17,5005.0
2025-07-18,5005.0
2025-07-19,4905.0
2025-07-21,4605.0
2025-07-22,5005.0
2025-07-23,4905.0
2025-07-24,4955.0
2025-07-26,5005.0
2025-07-29,5105.0
2025-07-30,5005.0
2025-07-31,5000.0
2025-08-01,5000.0
2025-08-02,4905.0
2025-08-04,4905.0
2025-08-05,4855.0
2025-08-06,4855.0
2025-08-07,4855.0
2025-08-08,4855.0
2025-08-11,4850.0
2025-08-12,4855.0
2025-08-20,3805.0
2025-08-22,4255.0
2025-08-25,4255.0
2025-08-26,4755.0
2025-08-30,4855.0
2025-09-01,4455.0
2025-09-02,4505.0
2025-09-03,4805.0
2025-09-04,4755.0
2025-09-05,4805.0
2025-09-08,4705.0
2025-09-11,4805.0
2025-09-12,4655.0
2025-09-13,4655.0
2025-09-15,4700.0
2025-09-16,4705.0
2025-09-17,4700.0
2025-09-18,4755.0
2025-09-19,4755.0
2025-09-20,4705.0
2025-09-22,4755.0
2025-09-23,4000.0
2025-09-25,4755.0
2025-09-26,5000.0
2025-09-27,4255.0
2025-09-29,4105.0
2025-09-30,4205.0
2025-10-01,4005.0
2025-10-03,4505.0
2025-10-04,4105.0
2025-10-06,4255.0
2025-10-07,4205.0
2025-10-08,4255.0
2025-10-09,4255.0
2025-10-10,4255.0
2025-10-11,4255.0
2025-10-13,4350.0
2025-10-14,4505.0
2025-10-15,4650.0
2025-10-16,4650.0
2025-10-17,4605.0
2025-10-18,4605.0
2025-11-04,5100.0
2025-11-05,5150.0
2025-11-06,5000.0
2025-11-08,5350.0
2025-11-10,5350.0
2025-11-11,5250.0
2025-11-12,5500.0
2025-11-13,5500.0
2025-11-14,5500.0
2025-11-15,5250.0
2025-11-17,5550.0
2025-11-18,5650.0
2025-11-19,5250.0
2025-11-20,5600.0
2025-11-21,5750.0
2025-11-24,5650.0
2025-11-25,5650.0
2025-11-26,5650.0
2025-11-27,5600.0
2025-11-28,6900.0
2025-12-01,5600.0
2025-12-02,5500.0
2025-12-03,5500.0
2025-12-04,5500.0
2025-12-05,5500.0
2025-12-06,5550.0
2025-12-08,5600.0
2025-12-09,5550.0
2025-12-10,5650.0
2025-12-11,5600.0
2025-12-12,7050.0
2025-12-13,5650.0
2025-12-15,5650.0
2025-12-16,5700.0
2025-12-17,5650.0
2025-12-18,5700.0
2025-12-19,5650.0
2025-12-20,5700.0
2025-12-22,5700.0
2025-12-23,5700.0
2025-12-24,5700.0
2025-12-25,5750.0
2025-12-26,5800.0
2025-12-27,5850.0
2025-12-30,6250.0
2025-12-31,6250.0
2026-01-01,6250.0
2026-01-02,6400.0
2026-01-03,6250.0
2026-01-05,6250.0
2026-01-06,6250.0
2026-01-07,6250.0
2026-01-08,6250.0
2026-01-09,6250.0
2026-01-10,6250.0
2026-01-12,6000.0
2026-01-13,6250.0
2026-01-15,5900.0
2026-01-16,6250.0
2026-01-17,6000.0
2026-01-19,6500.0
2026-01-20,6500.0
2026-01-21,6500.0
2026-01-22,6750.0
2026-01-28,7250.0
2026-01-29,7500.0
2026-01-30,7350.0
2026-01-31,7000.0
2026-02-03,6750.0
2026-02-04,6750.0
2026-02-05,6500.0
2026-02-06,6750.0
2026-02-07,6500.0
2026-02-09,6750.0
2026-02-10,6500.0
2026-02-16,6500.0
2026-02-17,6500.0
2026-02-18,6600.0
2026-02-19,6250.0
2026-02-20,6500.0
2026-02-21,6250.0
2026-02-23,6750.0
2026-02-24,6400.0
2026-02-25,6500.0
2026-02-26,6000.0
2026-02-27,6250.0
2026-02-28,6250.0
2026-03-05,6250.0
2026-03-06,6350.0
2026-03-07,6250.0
2026-03-09,6250.0
2026-03-10,6250.0
2026-03-11,6250.0
2026-03-12,6250.0
2026-03-13,6250.0
2026-03-16,6500.0
2026-03-18,6250.0
2026-03-19,6250.0
2026-03-21,6400.0
2026-03-23,6250.0
2026-03-24,6500.0
2026-03-25,6500.0
2026-04-04,6500.0
2026-04-06,6500.0
2026-04-07,6750.0
2026-04-08,6750.0
2026-04-09,6750.0
2026-04-10,6700.0
2026-04-11,6400.0
2026-04-13,6500.0
2026-04-14,6500.0
2026-04-15,6500.0
2026-04-16,6500.0
2026-04-17,6400.0
2026-04-18,6750.0
2026-04-20,6250.0
2026-04-21,6250.0
2026-04-22,6250.0
2026-04-23,6250.0
2026-04-24,6250.0
2026-04-25,6350.0
2026-04-27,6500.0
2026-04-28,6000.0
2026-04-29,6350.0
2026-05-02,6500.0
2026-05-04,6650.0
2026-05-05,6650.0
2026-05-06,6650.0
2026-05-07,6500.0
2026-05-08,6500.0
2026-05-09,6750.0
2026-05-11,6750.0
2026-05-12,6500.0
2026-05-13,6650.0
2026-05-14,6500.0
2026-05-15,6500.0
2026-05-16,6450.0
2026-05-18,6500.0
2026-05-19,6450.0
2026-05-20,6400.0
2026-05-21,6500.0
2026-05-22,6500.0
2026-05-23,6550.0
2026-05-25,6500.0
2026-05-26,6500.0
2026-05-27,6500.0
2026-05-28,6600.0
2026-05-29,6500.0
2026-05-30,6650.0
2026-06-01,6500.0
2026-06-02,6600.0
2026-06-03,6600.0
2026-06-05,6500.0
2026-06-06,6600.0
2026-06-08,6550.0
2026-06-09,6650.0
2026-06-10,6600.0
2026-06-11,6500.0
2026-06-12,6500.0
2026-06-13,6500.0
2026-06-15,6250.0
2026-06-16,6450.0
2026-06-17,6500.0
2026-06-18,6500.0
2026-06-19,6450.0
2026-06-22,6600.0
2026-06-23,6500.0
2026-06-24,6500.0
2026-06-26,6400.0
2026-06-27,6350.0
2026-06-29,6350.0
2026-06-30,6500.0
2026-07-01,6350.0
2026-07-02,6350.0
2026-07-03,6500.0
2026-07-04,6350.0
2026-07-06,6500.0
2026-07-07,6600.0
2026-07-08,6550.0
2026-07-09,6650.0
2026-07-10,6500.0
2026-07-11,6600.0
2026-07-13,6600.0
2026-07-14,6550.0
2026-07-15,6650.0
2026-07-17,6750.0
2026-07-18,6750.0
2026-07-20,6650.0
2026-07-21,6600.0
2026-07-22,6750.0
2026-07-23,6500.0
2026-07-24,6600.0
2026-07-25,6650.0
2026-07-27,6650.0
2026-07-28,6650.0
2026-07-30,6400.0
2026-07-31,6750.0
2026-08-01,6600.0
2026-08-03,6600.0
2026-08-04,6600.0
2026-08-05,6600.0
2026-08-06,6600.0
2026-08-07,6600.0
2026-08-08,6250.0
2026-08-10,6600.0
2026-08-11,6500.0
2026-08-12,6600.0
2026-08-13,6600.0
2026-08-14,6500.0
2026-08-18,6500.0
2026-08-19,6500.0
2026-08-20,6250.0
2026-08-21,6400.0
2026-08-22,6250.0
2026-08-25,6250.0
2026-08-26,6250.0
2026-08-27,6250.0
2026-08-29,6250.0
2026-09-08,6250.0
2026-09-09,6250.0
2026-09-12,6250.0
2026-09-14,5750.0
2026-09-15,5750.0
2026-09-17,5750.0
2026-09-18,6000.0
2026-09-19,6250.0
2026-09-21,6250.0
