date,price
2025-03-01,5055.0
2025-03-03,5100.0
2025-03-04,5055.0
2025-03-05,5055.0
2025-03-06,5055.0
2025-03-07,5055.0
2025-03-08,5105.0
2025-03-10,5005.0
2025-03-11,5105.0
2025-03-15,5055.0
2025-03-17,5005.0
2025-03-18,5055.0
2025-03-19,5055.0
2025-03-20,5055.0
2025-03-21,5055.0
2025-03-22,5005.0
2025-04-02,5050.0
2025-04-03,5050.0
2025-04-04,5000.0
2025-04-10,5100.0
2025-04-11,5000.0
2025-04-15,5050.0
2025-04-16,5075.0
2025-04-18,4055.0
2025-04-19,5050.0
2025-04-21,5000.0
2025-04-23,5100.0
2025-04-24,5000.0
2025-04-25,5050.0
2025-04-26,4405.0
2025-04-28,5100.0
2025-04-29,5100.0
2025-04-30,5050.0
2025-05-01,5050.0
2025-05-02,5050.0
2025-05-03,5050.0
2025-05-05,5050.0
2025-05-10,5050.0
2025-05-12,5050.0
2025-05-13,5050.0
2025-05-14,5050.0
2025-05-15,5050.0
2025-05-16,5050.0
2025-05-17,4500.0
2025-05-19,5050.0
2025-05-21,5000.0
2025-05-24,5005.0
2025-05-26,5055.0
2025-05-27,5355.0
2025-05-28,5405.0
2025-05-29,5255.0
2025-05-30,5405.0
2025-05-31,5305.0
2025-06-02,5305.0
2025-06-03,5505.0
2025-06-04,5255.0
2025-06-05,5305.0
2025-06-09,5355.0
2025-06-10,5355.0
2025-06-11,5355.0
2025-06-12,5355.0
2025-06-13,5355.0
2025-06-14,5505.0
2025-06-16,5405.0
2025-06-17,5355.0
2025-06-18,5255.0
2025-06-19,5255.0
2025-06-20,5255.0
2025-06-21,5005.0
2025-06-23,5005.0
2025-06-24,4905.0
2025-06-25,4755.0
2025-06-26,4755.0
2025-06-27,5455.0
2025-06-28,4755.0
2025-06-30,5105.0
2025-07-01,5205.0
2025-07-03,5155.0
2025-07-10,5005.0
2025-07-11,5055.0
2025-07-12,4250.0
2025-07-14,5005.0
2025-07-15,5255.0
2025-07-16,5355.0
2025-07-17,5155.0
2025-07-18,5155.0
2025-07-19,5105.0
2025-07-21,4855.0
2025-07-22,5105.0
2025-07-23,4800.0
2025-07-24,5005.0
2025-07-25,5000.0
2025-07-28,5105.0
2025-07-30,5205.0
2025-08-11,5105.0
2025-09-19,5000.0
2025-09-20,5000.0
2025-09-22,4855.0
2025-09-23,4255.0
2025-09-25,4405.0
2025-09-26,5205.0
2025-09-27,4355.0
2025-09-29,4255.0
2025-09-30,4855.0
2025-10-01,4255.0
2025-10-03,4705.0
2025-10-04,4255.0
2025-10-06,4455.0
2025-10-07,4455.0
2025-10-08,4500.0
2025-10-09,4455.0
2025-10-10,4455.0
2025-10-11,4455.0
2025-10-13,4605.0
2025-10-14,4705.0
2025-10-15,4755.0
2025-10-16,4855.0
2025-10-17,4705.0
2025-10-18,4705.0
2025-11-04,5000.0
2025-11-05,4950.0
2025-11-06,5150.0
2025-11-07,5000.0
2025-11-08,5250.0
2025-11-10,5250.0
2025-11-11,5350.0
2025-11-12,5400.0
2025-11-13,5500.0
2025-11-17,5500.0
2025-11-18,5500.0
2025-11-19,5400.0
2025-11-21,5600.0
2025-11-24,5500.0
2025-11-25,5500.0
2025-11-28,5350.0
2025-12-01,5500.0
2025-12-03,5400.0
2025-12-04,5350.0
2025-12-05,5400.0
2025-12-06,5500.0
2025-12-08,5450.0
2025-12-09,5350.0
2025-12-13,5500.0
