date,price
2025-11-14,5400.0
2025-11-20,5500.0
2025-11-26,5500.0
2025-11-27,5500.0
2025-12-02,5400.0
2025-12-10,5450.0
2025-12-11,5400.0
2025-12-12,5500.0
2025-12-15,5500.0
2025-12-16,5500.0
2025-12-17,5500.0
2025-12-18,5600.0
2025-12-19,5500.0
2025-12-20,5550.0
2025-12-22,5600.0
2025-12-23,5800.0
2025-12-24,5600.0
2025-12-25,5700.0
2025-12-26,5750.0
2025-12-27,5750.0
2025-12-30,6000.0
2025-12-31,6000.0
2026-01-01,6000.0
2026-01-02,6250.0
2026-01-03,6000.0
2026-01-05,6150.0
2026-01-06,6000.0
2026-01-08,6000.0
2026-01-09,6000.0
2026-01-10,6000.0
2026-01-13,6000.0
2026-01-15,6250.0
2026-01-16,6000.0
2026-01-17,6250.0
2026-01-19,6250.0
2026-01-20,6250.0
2026-01-21,6250.0
2026-01-22,6500.0
2026-01-28,7500.0
2026-01-29,7250.0
2026-01-30,7250.0
2026-01-31,6750.0
2026-02-03,6500.0
2026-02-04,6500.0
2026-02-05,6500.0
2026-02-06,6500.0
2026-02-07,6500.0
2026-02-09,6500.0
2026-02-10,6250.0
2026-02-16,6250.0
2026-02-17,6250.0
2026-02-18,6350.0
2026-02-19,6000.0
2026-02-20,6400.0
2026-02-21,6000.0
2026-02-23,6550.0
2026-02-24,6250.0
2026-02-25,6250.0
2026-02-26,6250.0
2026-02-27,6000.0
2026-02-28,6000.0
2026-03-05,6000.0
2026-03-06,6150.0
2026-03-07,6000.0
2026-03-09,6000.0
2026-03-10,6250.0
2026-03-11,6750.0
2026-03-12,6250.0
2026-03-13,6250.0
2026-03-16,6250.0
2026-03-18,6250.0
2026-03-19,6250.0
2026-03-20,6250.0
2026-03-21,6250.0
2026-03-23,6250.0
2026-03-24,6500.0
2026-03-25,6750.0
2026-04-04,6500.0
2026-04-06,6500.0
2026-04-07,6500.0
2026-04-08,6750.0
2026-04-09,6750.0
2026-04-10,6900.0
2026-04-11,6900.0
2026-04-13,6750.0
2026-04-14,6750.0
2026-04-15,6750.0
2026-04-16,6750.0
2026-04-17,6750.0
2026-04-18,6500.0
2026-04-20,6250.0
2026-04-21,6500.0
2026-04-22,6500.0
2026-04-23,6500.0
2026-04-24,6500.0
2026-04-25,6650.0
2026-04-27,6750.0
2026-04-28,6000.0
2026-04-29,6750.0
2026-05-02,6750.0
2026-05-04,6500.0
2026-05-05,6500.0
2026-05-06,6500.0
2026-05-07,6750.0
2026-05-08,6750.0
2026-05-09,6500.0
2026-05-11,6500.0
2026-05-12,6750.0
2026-05-13,6900.0
2026-05-14,6850.0
2026-05-15,6750.0
2026-05-16,6700.0
2026-05-18,6750.0
2026-05-19,6650.0
2026-05-20,6650.0
2026-05-21,6900.0
2026-05-22,6700.0
2026-05-23,6850.0
2026-05-25,6750.0
2026-05-26,6750.0
2026-05-27,6800.0
2026-05-28,6800.0
2026-05-29,6800.0
2026-05-30,6900.0
2026-06-01,6800.0
2026-06-02,7000.0
2026-06-03,7000.0
2026-06-04,6500.0
2026-06-05,6750.0
2026-06-06,6900.0
2026-06-08,6850.0
2026-06-09,7000.0
2026-06-10,6950.0
2026-06-11,6800.0
2026-06-12,6850.0
2026-06-13,6750.0
2026-06-15,6650.0
2026-06-16,6750.0
2026-06-17,6750.0
2026-06-18,6750.0
2026-06-19,6800.0
2026-06-22,6900.0
2026-06-23,6700.0
2026-06-24,6750.0
2026-06-26,6650.0
2026-06-27,6500.0
2026-06-29,6500.0
2026-06-30,6600.0
2026-07-01,6500.0
2026-07-02,6750.0
2026-07-03,6750.0
