date,price
2025-02-18,5025.0
2025-02-19,5005.0
2025-02-20,5225.0
2025-03-04,5025.0
2025-03-05,5005.0
2025-03-06,5075.0
2025-03-07,5000.0
2025-03-08,5025.0
2025-03-10,5125.0
2025-03-11,5075.0
2025-03-15,4950.0
2025-03-17,4750.0
2025-03-18,4950.0
2025-03-19,5000.0
2025-04-01,5000.0
2025-04-02,5000.0
2025-04-04,5025.0
2025-04-07,5025.0
2025-04-08,4875.0
2025-04-10,5025.0
2025-04-11,5025.0
2025-04-14,4875.0
2025-04-15,5025.0
2025-04-16,5000.0
2025-04-17,5000.0
2025-04-18,4800.0
2025-04-19,4800.0
2025-04-21,4750.0
2025-04-22,4750.0
2025-04-24,5000.0
2025-04-29,4750.0
2025-05-15,5000.0
2025-05-16,5025.0
2025-05-20,4700.0
2025-05-21,4700.0
2025-06-07,4800.0
2025-06-09,5500.0
2025-06-16,5550.0
2025-06-17,5275.0
2025-06-26,4850.0
2025-06-30,5025.0
2025-07-02,5025.0
2025-07-03,5075.0
2025-07-04,5125.0
2025-07-05,5025.0
2025-07-08,5500.0
2025-07-09,5525.0
2025-07-10,5025.0
2025-07-14,5550.0
2025-07-15,5575.0
2025-07-17,5275.0
2025-07-18,5375.0
2025-07-19,5250.0
2025-07-21,5275.0
2025-07-22,5375.0
2025-07-23,5550.0
2025-07-24,5050.0
2025-07-26,6600.0
2025-07-29,5425.0
2025-07-30,5500.0
2025-08-01,5050.0
2025-08-04,5050.0
2025-08-05,5025.0
2025-08-06,5250.0
2025-08-07,4750.0
2025-08-11,5075.0
2025-08-12,5025.0
2025-08-30,4500.0
2025-09-01,4550.0
2025-09-06,4500.0
2025-09-08,4900.0
2025-09-11,4850.0
2025-09-12,4800.0
2025-09-15,4800.0
2025-09-16,4950.0
2025-09-17,4500.0
2025-09-18,4500.0
2025-09-19,4825.0
2025-09-20,4500.0
2025-09-22,4375.0
2025-09-23,4250.0
2025-09-24,4300.0
2025-09-25,4500.0
2025-09-26,4750.0
2025-09-27,4525.0
2025-09-29,4525.0
2025-09-30,4750.0
2025-10-01,4500.0
2025-10-03,4750.0
2025-10-04,4500.0
2025-10-06,4975.0
2025-10-07,4400.0
2025-10-08,4500.0
2025-10-09,5025.0
2025-10-10,5000.0
2025-10-13,5125.0
2025-10-14,5100.0
2025-10-16,5425.0
2025-10-17,5000.0
2025-10-28,5275.0
2025-10-29,5250.0
2025-11-03,5325.0
2025-11-04,5505.0
2025-11-05,5275.0
2026-04-08,7000.0
2026-04-11,5850.0
2026-04-13,5900.0
2026-04-15,5900.0
2026-04-20,5750.0
2026-04-22,5750.0
2026-04-23,5750.0
2026-04-25,5750.0
2026-04-27,5700.0
2026-04-28,5500.0
2026-04-29,5500.0
2026-04-30,5500.0
2026-05-01,5500.0
2026-05-06,5500.0
2026-05-07,5500.0
2026-05-09,5500.0
2026-05-11,5500.0
2026-05-13,5500.0
2026-05-14,5500.0
2026-05-16,5500.0
2026-05-19,5500.0
2026-05-21,5500.0
2026-05-22,5600.0
2026-05-25,5500.0
2026-05-27,5500.0
2026-05-28,5500.0
2026-05-29,5500.0
2026-05-30,5500.0
2026-06-01,5600.0
2026-06-02,5600.0
2026-06-03,5600.0
2026-06-04,5650.0
2026-06-06,5650.0
2026-06-10,5650.0
2026-06-12,5850.0
2026-06-13,5750.0
2026-06-15,5850.0
2026-06-17,5700.0
2026-06-18,5700.0
2026-06-22,5700.0
2026-06-23,5750.0
2026-06-24,5750.0
2026-06-30,5650.0
2026-07-02,5850.0
2026-07-03,5900.0
2026-07-06,5900.0
2026-07-07,5900.0
2026-07-08,5900.0
2026-07-09,5900.0
2026-07-10,5900.0
2026-07-13,6150.0
2026-07-14,6200.0
2026-07-15,6250.0
2026-07-22,6350.0
2026-07-23,6400.0
2026-07-24,6400.0
2026-07-27,6500.0
2026-07-28,6750.0
2026-07-30,6500.0
2026-08-03,6900.0
2026-08-04,6900.0
2026-08-05,7200.0
2026-08-06,6900.0
2026-08-07,7150.0
2026-08-08,6900.0
2026-08-11,6800.0
2026-08-12,6600.0
2026-08-13,6750.0
2026-08-14,6750.0
2026-08-17,6700.0
2026-08-18,6800.0
2026-08-19,6750.0
2026-08-20,6700.0
2026-08-21,6650.0
2026-08-24,6600.0
2026-08-29,6650.0
