date,price
2025-01-01,5150.0
2025-01-02,5200.0
2025-01-03,5175.0
2025-01-04,5100.0
2025-01-06,5125.0
2025-01-07,5125.0
2025-01-08,5075.0
2025-01-09,5250.0
2025-01-11,5125.0
2025-01-13,5050.0
2025-01-15,5250.0
2025-01-16,5125.0
2025-01-17,5250.0
2025-01-18,5075.0
2025-01-20,5150.0
2025-01-21,5200.0
2025-01-22,5175.0
2025-01-23,5150.0
2025-01-24,5125.0
2025-01-25,5125.0
2025-01-27,5125.0
2025-01-28,5050.0
2025-01-29,5150.0
2025-01-30,5150.0
2025-01-31,5175.0
2025-02-01,5100.0
2025-02-03,5125.0
2025-02-04,5125.0
2025-02-05,5100.0
2025-02-06,5100.0
2025-02-07,5000.0
2025-02-08,5100.0
2025-02-10,5125.0
2025-02-11,5050.0
2025-02-12,5050.0
2025-02-13,4900.0
2025-02-14,5375.0
2025-02-15,5250.0
2025-02-17,5050.0
2025-02-18,5100.0
2025-02-19,5050.0
2025-02-20,5100.0
2025-02-21,5100.0
2025-02-22,5125.0
2025-02-24,5150.0
2025-02-25,5175.0
2025-02-27,5100.0
2025-02-28,5150.0
2025-03-01,5150.0
2025-03-03,5200.0
2025-03-04,5250.0
2025-03-05,5150.0
2025-03-06,5250.0
2025-03-07,5075.0
2025-03-08,5000.0
2025-03-10,5100.0
2025-03-11,5050.0
2025-03-12,5150.0
2025-03-13,5050.0
2025-03-15,5000.0
2025-03-17,5150.0
2025-03-18,5125.0
2025-03-19,5150.0
2025-03-20,5050.0
2025-03-21,5100.0
2025-03-22,5150.0
2025-04-01,5200.0
2025-04-02,5150.0
2025-04-03,5150.0
2025-04-04,5225.0
2025-04-05,5175.0
2025-04-07,5225.0
2025-04-09,5175.0
2025-04-10,5175.0
2025-04-11,5150.0
2025-04-14,5125.0
2025-04-15,5125.0
2025-04-16,5150.0
2025-04-17,5050.0
2025-04-18,4750.0
2025-04-21,5050.0
2025-04-22,5000.0
2025-04-23,4900.0
2025-04-24,4900.0
2025-04-25,5000.0
2025-04-26,5025.0
2025-04-28,4900.0
2025-04-29,5000.0
2025-04-30,4900.0
2025-05-01,4900.0
2025-05-02,5000.0
2025-05-03,4900.0
2025-05-05,4900.0
2025-05-12,4950.0
2025-05-13,5000.0
2025-05-14,5000.0
2025-05-15,5050.0
2025-05-16,5025.0
2025-05-17,5100.0
2025-05-19,5075.0
2025-05-20,5150.0
2025-05-21,5150.0
2025-05-22,5150.0
2025-05-23,5200.0
2025-05-24,5750.0
2025-05-26,5250.0
2025-05-27,5100.0
2025-05-28,5150.0
2025-05-29,5150.0
2025-05-30,5250.0
2025-05-31,5000.0
2025-06-02,5300.0
2025-06-03,5175.0
2025-06-04,5150.0
2025-06-05,5200.0
2025-06-09,5250.0
2025-06-10,5350.0
2025-06-11,5200.0
2025-06-12,5400.0
2025-06-13,5350.0
2025-06-14,5350.0
2025-06-16,5350.0
2025-06-17,5350.0
2025-06-18,5375.0
2025-06-19,5200.0
2025-06-20,5350.0
2025-06-21,5175.0
2025-06-23,5225.0
2025-06-24,5250.0
2025-06-25,5300.0
2025-06-27,5350.0
2025-06-28,5250.0
2025-06-30,5200.0
2025-07-01,5150.0
2025-07-02,5125.0
2025-07-03,5150.0
2025-07-04,5250.0
2025-07-05,5250.0
2025-07-07,5175.0
2025-07-08,5200.0
2025-07-09,5200.0
2025-07-10,5250.0
2025-07-11,5250.0
2025-07-12,5125.0
2025-07-14,5350.0
2025-07-15,5250.0
2025-07-16,5250.0
2025-07-19,5250.0
2025-07-21,5500.0
2025-07-22,5400.0
2025-07-23,5350.0
2025-07-24,5250.0
2025-07-25,5250.0
2025-07-26,5150.0
2025-07-29,5250.0
2025-08-01,5000.0
2025-08-02,5250.0
2025-08-05,5250.0
2025-08-06,5300.0
2025-08-07,5000.0
2025-08-08,5150.0
2025-08-12,5100.0
2025-08-13,5125.0
2025-08-19,5250.0
2025-08-20,5250.0
2025-08-21,5125.0
2025-08-22,5250.0
2025-08-25,5300.0
2025-08-26,5200.0
2025-08-27,5125.0
2025-08-29,5100.0
2025-08-30,5125.0
2025-09-01,5125.0
2025-09-02,5250.0
2025-09-04,4250.0
2025-09-05,4250.0
2025-09-06,4250.0
2025-09-08,4250.0
2025-09-10,4500.0
2025-09-11,4625.0
2025-09-12,4500.0
2025-09-13,4850.0
2025-09-15,4750.0
2025-09-16,4900.0
2025-09-17,4750.0
2025-09-18,4750.0
2025-09-20,4750.0
2025-09-22,4500.0
2025-09-23,4500.0
2025-09-24,4755.0
2025-09-25,4500.0
2025-09-26,4750.0
2025-09-27,4750.0
2025-09-29,4750.0
2025-09-30,4500.0
2025-10-01,4625.0
2025-10-03,4125.0
2025-10-04,4150.0
2025-10-06,4250.0
2025-10-07,4150.0
2025-10-08,5250.0
2025-10-09,4125.0
2025-10-10,4200.0
2025-10-11,4175.0
2025-10-13,4400.0
2025-10-14,4500.0
2025-10-15,4700.0
2025-10-27,5000.0
2025-10-28,5100.0
2025-10-29,5100.0
2025-10-30,5125.0
2025-11-03,5200.0
2025-11-04,5375.0
2025-11-06,5250.0
2025-11-07,5005.0
2025-11-08,5600.0
2025-11-11,5350.0
2025-11-12,5600.0
2025-11-13,5550.0
2025-11-14,5750.0
2025-11-15,5750.0
2025-11-17,5750.0
2025-11-18,5875.0
