date,price
2025-01-02,5125.0
2025-01-03,5250.0
2025-01-04,5350.0
2025-01-06,5205.0
2025-01-07,5355.0
2025-01-08,5350.0
2025-01-09,5350.0
2025-01-10,5405.0
2025-01-11,5350.0
2025-01-13,5405.0
2025-01-15,5350.0
2025-01-17,5355.0
2025-01-20,5425.0
2025-01-21,5455.0
2025-01-23,5350.0
2025-01-24,5350.0
2025-01-25,5355.0
2025-01-27,5355.0
2025-01-28,5300.0
2025-01-29,5205.0
2025-01-30,5105.0
2025-01-31,5355.0
2025-02-01,5275.0
2025-02-03,5005.0
2025-02-04,5080.0
2025-02-05,5255.0
2025-02-06,5355.0
2025-02-07,5365.0
2025-02-08,5155.0
2025-02-10,5305.0
2025-02-11,5100.0
2025-02-12,5305.0
2025-02-13,5355.0
2025-02-14,5355.0
2025-02-15,5250.0
2025-02-17,5350.0
2025-02-19,5305.0
2025-02-20,5100.0
2025-02-21,5300.0
2025-02-24,5355.0
2025-02-27,5305.0
2025-02-28,5355.0
2025-03-01,5255.0
2025-03-03,5155.0
2025-03-04,5355.0
2025-03-05,5300.0
2025-03-06,5405.0
2025-03-07,5405.0
2025-03-08,5455.0
2025-03-10,5005.0
2025-03-11,5255.0
2025-03-12,5005.0
2025-03-13,5355.0
2025-03-15,5155.0
2025-03-17,5455.0
2025-03-18,5355.0
2025-03-19,5305.0
2025-03-20,5350.0
2025-03-21,5205.0
2025-03-22,5355.0
2025-03-24,5105.0
2025-03-25,5155.0
2025-04-01,5400.0
2025-04-02,5255.0
2025-04-03,5355.0
2025-04-04,5255.0
2025-04-05,5355.0
2025-04-07,5055.0
2025-04-08,5205.0
2025-04-09,5200.0
2025-04-10,5205.0
2025-04-11,5305.0
2025-04-15,5155.0
2025-04-16,5205.0
2025-04-17,5155.0
2025-04-18,5205.0
2025-04-19,5155.0
2025-04-21,5155.0
2025-04-22,5155.0
2025-04-23,5155.0
2025-04-24,5125.0
2025-04-25,5105.0
2025-04-26,5200.0
2025-04-28,5205.0
2025-04-29,5275.0
2025-04-30,5305.0
2025-05-01,5200.0
2025-05-02,5255.0
2025-05-03,5350.0
2025-05-05,5205.0
2025-05-06,5205.0
2025-05-07,5205.0
2025-05-08,5105.0
2025-05-09,5205.0
2025-05-10,5305.0
2025-05-12,5275.0
2025-05-13,5325.0
2025-05-14,5305.0
2025-05-15,5305.0
2025-05-16,5250.0
2025-05-17,5625.0
2025-05-19,5255.0
2025-05-20,5355.0
2025-05-21,5305.0
2025-05-22,5250.0
2025-05-23,5255.0
2025-05-24,5275.0
2025-05-26,5255.0
2025-05-27,5250.0
2025-05-28,5275.0
2025-05-29,5200.0
2025-05-30,5355.0
2025-05-31,5255.0
2025-06-02,5355.0
2025-06-03,5405.0
2025-06-04,5405.0
2025-06-05,5805.0
2025-06-09,5355.0
2025-06-10,5255.0
2025-06-11,5750.0
2025-06-12,5505.0
2025-06-13,5450.0
2025-06-14,5605.0
2025-06-16,5155.0
2025-06-17,5305.0
2025-06-18,5330.0
2025-06-20,5605.0
2025-06-21,5355.0
2025-06-23,5355.0
2025-06-24,5355.0
2025-06-25,5355.0
2025-06-26,5350.0
2025-06-28,5405.0
2025-06-30,5455.0
2025-07-01,5350.0
2025-07-02,5705.0
2025-07-03,5930.0
2025-07-04,5655.0
2025-07-05,5505.0
2025-07-07,5605.0
2025-07-08,5455.0
2025-07-09,5455.0
2025-07-10,5505.0
2025-07-11,5455.0
2025-07-12,5580.0
2025-07-14,5605.0
2025-07-15,5655.0
2025-07-16,5605.0
2025-07-17,5655.0
2025-07-18,5655.0
2025-07-19,5505.0
2025-07-21,5655.0
2025-07-22,5675.0
2025-07-23,5555.0
2025-07-24,5555.0
2025-07-25,5505.0
2025-07-26,5505.0
2025-07-30,5505.0
2025-07-31,5405.0
2025-08-01,5405.0
2025-08-02,5405.0
2025-08-05,5375.0
2025-08-06,5355.0
2025-08-07,5355.0
2025-08-08,5355.0
2025-08-12,5255.0
2025-08-13,5305.0
2025-08-20,5355.0
2025-08-21,5400.0
2025-08-22,5305.0
2025-08-25,5305.0
2025-08-26,5305.0
2025-08-28,5305.0
2025-08-29,5305.0
2025-08-30,5305.0
2025-09-01,5405.0
2025-09-02,5305.0
2025-09-03,5305.0
2025-09-04,5205.0
2025-09-06,5105.0
2025-09-08,5005.0
