date,price
2025-01-02,4800.0
2025-01-03,4850.0
2025-01-04,4850.0
2025-01-06,5150.0
2025-01-07,4800.0
2025-01-08,4800.0
2025-01-09,4800.0
2025-01-10,4750.0
2025-01-15,4750.0
2025-01-16,4850.0
2025-01-17,4900.0
2025-01-18,4950.0
2025-01-20,4950.0
2025-01-21,4950.0
2025-01-22,4950.0
2025-01-23,4850.0
2025-01-24,4850.0
2025-01-25,4750.0
2025-01-27,4750.0
2025-01-28,4700.0
2025-01-29,4650.0
2025-01-30,4650.0
2025-01-31,4600.0
2025-02-01,4650.0
2025-02-03,4625.0
2025-02-04,4600.0
2025-02-05,4625.0
2025-02-06,4750.0
2025-02-10,5000.0
2025-02-11,4900.0
2025-02-12,4700.0
2025-02-13,4750.0
2025-02-14,4900.0
2025-02-15,4750.0
2025-02-17,4700.0
2025-02-18,4700.0
2025-02-19,4650.0
2025-02-24,4750.0
2025-02-27,4700.0
2025-03-01,4750.0
2025-03-03,4650.0
2025-03-04,4700.0
2025-03-05,4800.0
2025-03-06,4750.0
2025-03-07,4750.0
2025-03-08,4650.0
2025-03-10,4700.0
2025-03-11,4700.0
2025-03-12,4700.0
2025-03-17,4600.0
2025-03-18,4650.0
2025-03-19,4600.0
2025-03-20,4650.0
2025-03-21,4650.0
2025-03-24,4650.0
2025-03-25,4700.0
2025-04-01,5000.0
2025-04-02,5050.0
2025-04-04,5000.0
2025-04-05,4950.0
2025-04-07,5000.0
2025-04-08,5000.0
2025-04-09,5000.0
2025-04-10,5000.0
2025-04-15,4600.0
2025-04-18,4750.0
2025-04-21,4750.0
2025-04-23,4800.0
2025-04-24,5100.0
2025-04-28,4800.0
2025-04-29,4750.0
2025-04-30,4850.0
2025-05-05,4700.0
2025-05-08,4600.0
2025-05-09,4500.0
2025-05-27,4750.0
2025-05-28,4800.0
2025-05-29,4850.0
2025-05-30,4850.0
2025-06-10,4650.0
2025-06-11,4650.0
2025-06-17,4750.0
2025-07-01,4700.0
2025-07-02,4750.0
2025-07-03,4700.0
2025-07-05,4700.0
2025-07-07,4700.0
2025-07-08,4500.0
2025-07-10,4750.0
2025-07-11,4750.0
2025-10-09,4125.0
2025-10-10,4100.0
2025-10-11,4125.0
2025-10-13,4150.0
2025-10-14,4150.0
2025-10-15,4750.0
2025-10-16,4750.0
2025-11-04,4250.0
2025-11-05,4250.0
2025-11-07,4350.0
2025-11-08,4250.0
2025-11-10,4300.0
2025-11-11,4200.0
2025-11-12,4500.0
2025-11-13,4650.0
2025-11-14,4750.0
2025-11-15,4850.0
2025-11-17,4900.0
2025-11-18,4850.0
2025-11-19,5125.0
2025-11-20,5125.0
2025-11-21,5100.0
2025-11-24,5100.0
2025-11-25,5150.0
2025-11-27,5250.0
2025-11-28,5150.0
2025-11-29,5250.0
2025-12-01,5500.0
2025-12-02,5250.0
2025-12-03,5350.0
2025-12-04,5200.0
2025-12-05,5150.0
2025-12-06,5250.0
2025-12-08,5400.0
2025-12-09,5300.0
2025-12-10,5250.0
2025-12-11,5400.0
2025-12-12,5400.0
2025-12-13,5400.0
2025-12-15,5350.0
2025-12-16,5400.0
2025-12-17,5350.0
2025-12-18,5400.0
2025-12-19,5400.0
2025-12-20,5400.0
2025-12-23,5850.0
2025-12-24,5850.0
2025-12-25,5900.0
2025-12-30,5800.0
2025-12-31,5900.0
2026-01-01,6000.0
2026-01-02,5850.0
2026-01-03,5850.0
2026-01-05,5800.0
2026-01-06,5850.0
2026-01-07,5650.0
2026-01-08,5650.0
2026-01-09,5750.0
2026-01-12,6350.0
2026-01-15,6300.0
2026-01-16,6400.0
2026-01-17,6100.0
2026-01-19,6100.0
2026-01-20,6100.0
2026-01-21,6150.0
2026-01-22,6250.0
2026-01-23,6550.0
2026-01-24,6750.0
2026-01-27,6850.0
2026-01-28,7000.0
2026-01-29,6500.0
2026-01-30,6500.0
2026-01-31,6450.0
2026-02-02,6400.0
2026-02-09,6600.0
2026-02-10,6900.0
2026-06-03,6750.0
2026-06-04,6400.0
2026-06-05,6400.0
