date,price
2025-01-17,6000.0
2025-01-18,6000.0
2025-02-10,6000.0
2025-02-17,5000.0
2025-02-24,5125.0
2025-02-25,6065.0
2025-03-01,5615.0
2025-03-17,5250.0
2025-03-18,5150.0
2025-03-19,5865.0
2025-03-20,5000.0
2025-03-21,5150.0
2025-03-24,5000.0
2025-03-25,5000.0
2025-03-26,5125.0
2025-03-27,5000.0
2025-04-01,5000.0
2025-04-02,5300.0
2025-04-03,5275.0
2025-04-04,5250.0
2025-04-05,5000.0
2025-04-07,4760.0
2025-05-02,6000.0
2025-05-05,6000.0
2025-05-16,5445.0
2025-05-28,5250.0
2025-05-31,5500.0
2025-06-19,6000.0
2025-06-20,6375.0
2025-06-23,6250.0
2025-06-24,6000.0
2025-06-25,6500.0
2025-06-26,6000.0
2025-06-28,6000.0
2025-06-30,6000.0
2025-07-01,5875.0
2025-07-02,6250.0
2025-07-03,6250.0
2025-07-07,6500.0
2025-07-11,6500.0
2025-07-14,6755.0
2025-08-14,5375.0
2025-08-18,5025.0
2025-09-02,5730.0
2025-09-03,5280.0
2025-09-06,4035.0
2025-09-10,3750.0
2025-09-13,4510.0
2025-09-18,5000.0
2025-09-25,5500.0
2025-09-27,5500.0
2025-09-29,4875.0
2025-09-30,5000.0
2025-10-01,4875.0
2025-10-04,5500.0
2025-10-06,5500.0
2025-10-07,6000.0
2025-10-08,6000.0
2025-10-09,5250.0
2025-10-10,6250.0
2025-10-11,5600.0
2025-10-14,6250.0
2025-10-16,6500.0
2025-10-17,5480.0
2025-10-28,4750.0
2025-10-29,5500.0
2025-10-30,5125.0
2025-10-31,5125.0
2025-11-04,5250.0
2025-11-05,4500.0
2025-11-08,4650.0
2025-11-10,5000.0
2025-11-11,4920.0
2025-11-12,5090.0
2025-11-13,5150.0
2025-11-14,5213.0
2025-11-15,5280.0
2025-11-17,5110.0
2025-11-18,5130.0
2025-11-19,5550.0
2025-11-20,5368.0
2025-11-21,5093.0
2025-11-22,5490.0
2025-11-24,5708.0
2025-11-25,5865.0
2025-11-26,5578.0
2025-11-27,5575.0
2025-11-28,5275.0
2025-12-01,5653.0
2025-12-02,5550.0
2025-12-03,5565.0
2025-12-04,5613.0
2025-12-05,5520.0
2025-12-06,5645.0
2025-12-08,5635.0
2025-12-09,5458.0
2025-12-12,5580.0
2025-12-13,5575.0
2025-12-16,5613.0
2025-12-17,5875.0
2025-12-18,5970.0
2025-12-19,5853.0
2025-12-20,5855.0
2025-12-22,6303.0
2025-12-23,6088.0
2025-12-24,5503.0
2025-12-25,6038.0
2025-12-26,6038.0
2025-12-27,6135.0
2025-12-29,5788.0
2025-12-30,6438.0
2025-12-31,6088.0
2026-01-01,6220.0
2026-01-02,5965.0
2026-01-03,6225.0
2026-01-05,5853.0
2026-01-06,5948.0
2026-01-07,6025.0
2026-01-08,5980.0
2026-01-09,6405.0
2026-01-12,6155.0
2026-01-13,6163.0
2026-01-15,5970.0
2026-01-17,6393.0
2026-01-19,6063.0
2026-01-21,6260.0
2026-01-22,6425.0
2026-01-24,6575.0
2026-01-27,6805.0
2026-01-28,6358.0
2026-01-29,6500.0
2026-02-02,7335.0
2026-02-09,7053.0
2026-02-11,6683.0
2026-02-13,6370.0
2026-02-16,6508.0
2026-02-18,7235.0
2026-02-23,6690.0
2026-02-27,6348.0
2026-03-06,5993.0
2026-03-09,6745.0
2026-03-11,6405.0
2026-03-13,7000.0
2026-03-16,6945.0
2026-03-18,7038.0
2026-03-20,6900.0
2026-03-23,6993.0
2026-03-25,6740.0
2026-03-27,7325.0
2026-04-01,7188.0
2026-04-03,6765.0
2026-04-06,6608.0
2026-04-08,6953.0
2026-04-10,6705.0
2026-04-13,6585.0
2026-04-15,6838.0
2026-04-17,6868.0
2026-04-22,6813.0
2026-04-27,7540.0
2026-04-29,7518.0
2026-05-02,7563.0
2026-05-04,7630.0
2026-05-05,7345.0
2026-05-06,7330.0
2026-05-07,7380.0
2026-05-08,7590.0
2026-05-09,7318.0
2026-05-11,6573.0
2026-05-12,7423.0
2026-05-13,7490.0
2026-05-14,7545.0
2026-05-16,8150.0
2026-05-18,8413.0
2026-05-21,7450.0
2026-05-22,7523.0
2026-05-23,7450.0
2026-05-25,7593.0
2026-05-26,7848.0
2026-05-27,7700.0
2026-05-29,7623.0
2026-05-30,7663.0
2026-06-01,7693.0
2026-06-02,7475.0
2026-06-03,7108.0
2026-06-04,6730.0
2026-06-05,7940.0
2026-06-06,7403.0
2026-06-08,7418.0
2026-06-09,7125.0
2026-06-10,7418.0
2026-06-11,7075.0
2026-06-12,7413.0
2026-06-13,6838.0
2026-06-15,6495.0
2026-06-17,5480.0
2026-06-19,7793.0
2026-06-22,7393.0
2026-06-24,7645.0
2026-06-29,6825.0
2026-07-03,7350.0
2026-07-06,6740.0
2026-07-09,6775.0
2026-07-13,7623.0
2026-07-20,8118.0
2026-07-23,7350.0
2026-08-03,6935.0
2026-08-10,6825.0
2026-08-13,6190.0
2026-08-17,6105.0
2026-08-20,6770.0
2026-08-27,7710.0
2026-08-31,6128.0
2026-09-02,5710.0
2026-09-07,6528.0
2026-09-10,7255.0
2026-09-14,5553.0
2026-09-16,5328.0
2026-09-17,5570.0
2026-09-22,6080.0
2026-09-23,5880.0
