date,price
2025-01-02,5425.0
2025-01-04,5200.0
2025-01-06,5450.0
2025-01-07,5400.0
2025-01-08,5475.0
2025-01-09,5395.0
2025-01-10,5375.0
2025-01-11,5440.0
2025-01-13,5480.0
2025-01-15,5315.0
2025-01-16,5600.0
2025-01-17,5500.0
2025-01-18,5600.0
2025-01-20,5475.0
2025-01-21,5500.0
2025-01-22,5340.0
2025-01-23,5300.0
2025-01-24,5375.0
2025-01-25,5445.0
2025-01-27,5240.0
2025-01-28,5305.0
2025-01-29,5125.0
2025-01-30,5125.0
2025-01-31,5200.0
2025-02-01,5185.0
2025-02-03,5015.0
2025-02-04,5205.0
2025-02-05,5205.0
2025-02-06,5220.0
2025-02-07,5245.0
2025-02-08,5170.0
2025-02-10,5135.0
2025-02-11,5170.0
2025-02-12,5300.0
2025-02-13,5140.0
2025-02-14,5135.0
2025-02-15,5080.0
2025-02-17,5250.0
2025-02-18,5140.0
2025-02-19,5135.0
2025-02-20,5275.0
2025-02-21,5145.0
2025-02-22,5170.0
2025-02-24,5375.0
2025-02-25,5375.0
2025-02-27,5420.0
2025-02-28,5235.0
2025-03-01,5375.0
2025-03-03,5075.0
2025-03-04,5330.0
2025-03-05,5215.0
2025-03-06,5790.0
2025-03-07,5135.0
2025-03-08,5195.0
2025-03-10,5250.0
2025-03-11,4955.0
2025-03-12,5175.0
2025-03-13,5025.0
2025-03-15,5205.0
2025-03-18,5150.0
2025-03-19,5250.0
2025-03-20,5200.0
2025-03-21,5200.0
2025-03-22,5100.0
2025-03-24,5200.0
2025-03-25,5150.0
2025-03-26,5300.0
2025-03-27,5100.0
2025-04-01,5000.0
2025-04-02,5150.0
2025-04-03,5125.0
2025-04-05,5250.0
2025-04-07,5250.0
2025-04-08,5125.0
2025-04-09,5100.0
2025-04-10,5175.0
2025-04-11,5125.0
2025-04-14,5175.0
2025-04-15,5200.0
2025-04-16,5125.0
2025-04-17,5100.0
2025-04-18,5125.0
2025-04-19,5125.0
2025-04-21,5150.0
2025-04-22,5000.0
2025-04-23,4995.0
2025-04-24,4750.0
2025-04-26,5000.0
2025-04-28,4750.0
2025-04-29,4925.0
2025-04-30,4800.0
2025-05-01,4820.0
2025-05-02,4800.0
2025-05-03,5940.0
2025-05-05,5000.0
2025-05-09,5065.0
2025-05-10,4850.0
2025-05-12,4940.0
2025-05-13,5215.0
2025-05-14,5010.0
2025-05-15,4890.0
2025-05-16,5100.0
2025-05-17,4890.0
2025-05-19,5000.0
2025-05-20,4940.0
2025-05-21,5005.0
2025-05-22,5000.0
2025-05-23,5000.0
2025-05-24,5005.0
2025-05-26,5000.0
2025-05-27,5150.0
2025-05-28,5100.0
2025-05-29,5000.0
2025-05-30,5245.0
2025-05-31,4925.0
2025-06-02,5105.0
2025-06-03,5055.0
2025-06-04,5100.0
2025-06-05,5100.0
2025-06-09,5255.0
2025-06-10,5255.0
2025-06-11,5000.0
