date,price
2025-01-03,6450.0
2025-01-04,6465.0
2025-01-06,6330.0
2025-01-07,6695.0
2025-01-08,6595.0
2025-01-09,6575.0
2025-01-10,6500.0
2025-01-11,6315.0
2025-01-13,6675.0
2025-01-15,5955.0
2025-01-16,6575.0
2025-01-17,6570.0
2025-01-18,6575.0
2025-01-21,6500.0
2025-01-22,6525.0
2025-01-23,6400.0
2025-01-24,6390.0
2025-01-25,6260.0
2025-01-27,5450.0
2025-01-28,6200.0
2025-01-29,6260.0
2025-02-01,6205.0
2025-02-03,5855.0
2025-02-04,5830.0
2025-02-05,5905.0
2025-02-07,6285.0
2025-02-08,5620.0
2025-02-10,6355.0
2025-02-11,6075.0
2025-02-12,5725.0
2025-02-13,5000.0
2025-02-14,5025.0
2025-02-15,6005.0
2025-02-18,5675.0
2025-02-19,6140.0
2025-06-11,6750.0
2025-06-12,6870.0
2025-06-13,6885.0
2025-06-14,7105.0
2025-06-16,7125.0
2025-06-17,6905.0
2025-06-18,6810.0
2025-06-19,6700.0
2025-06-20,6705.0
2025-06-21,6700.0
2025-06-23,6700.0
2025-06-24,7020.0
2025-06-25,6750.0
2025-06-26,6725.0
2025-06-27,6850.0
2025-06-28,6865.0
2025-06-30,6060.0
2025-07-01,6730.0
2025-07-02,6510.0
2025-07-03,6715.0
2025-07-04,6625.0
2025-07-05,6760.0
2025-07-07,6440.0
2025-07-08,6815.0
2025-07-09,6725.0
2025-07-10,6245.0
2025-07-11,6300.0
2025-07-12,6350.0
2025-07-14,6675.0
2025-07-15,6500.0
2025-07-16,6625.0
2025-07-17,5560.0
2025-07-18,6705.0
2025-07-19,6100.0
2025-07-21,6260.0
2025-07-22,6300.0
2025-09-23,6710.0
2025-09-25,5755.0
2025-09-26,5950.0
2025-09-27,6005.0
2025-09-29,6675.0
2025-09-30,6750.0
2025-10-01,6825.0
2025-10-03,6895.0
2025-10-04,6895.0
2025-10-06,6900.0
2025-10-07,6800.0
2025-10-08,6790.0
2025-10-09,6700.0
2025-10-10,6645.0
2025-10-11,7000.0
2025-10-13,6610.0
2025-10-14,6550.0
2025-10-15,6605.0
2025-10-16,6515.0
2025-10-17,6525.0
2025-10-27,6285.0
2025-10-28,6425.0
2025-10-29,6425.0
2025-10-30,6405.0
2025-11-01,6405.0
2025-11-03,6475.0
2025-11-04,6500.0
2025-11-06,6570.0
2025-11-07,6605.0
2025-11-08,6625.0
2025-11-10,6850.0
2025-11-11,7000.0
2025-11-12,7100.0
2025-11-13,7040.0
2025-11-14,6840.0
2025-11-15,6720.0
2025-11-17,6725.0
2025-11-18,7450.0
2025-11-19,7505.0
2025-11-21,7555.0
2025-11-22,7625.0
2025-11-24,7750.0
2025-11-25,7700.0
2025-11-26,7705.0
2025-11-27,7555.0
2025-11-28,7505.0
2025-12-01,7510.0
2025-12-02,7850.0
2025-12-03,7885.0
2025-12-04,8075.0
2025-12-05,7425.0
2025-12-06,7500.0
2025-12-08,7605.0
2025-12-09,7615.0
2025-12-10,7670.0
2025-12-11,7700.0
2025-12-12,7700.0
2025-12-13,7700.0
2025-12-15,7910.0
2025-12-16,7775.0
2025-12-17,7750.0
2025-12-18,7750.0
2025-12-19,7675.0
2025-12-22,7775.0
2025-12-23,7770.0
2025-12-24,8070.0
2025-12-26,7775.0
2025-12-27,7340.0
2025-12-29,7550.0
2025-12-30,7850.0
2025-12-31,8105.0
2026-01-01,7800.0
2026-01-02,7915.0
2026-01-03,7750.0
2026-01-05,7750.0
2026-01-06,7815.0
2026-01-07,7960.0
2026-01-08,7680.0
2026-01-09,7715.0
2026-01-10,7340.0
2026-01-12,7400.0
2026-01-13,6500.0
2026-01-16,7515.0
2026-01-17,7350.0
2026-01-19,6700.0
2026-01-20,7000.0
2026-01-21,7100.0
2026-01-22,6500.0
2026-01-23,6575.0
2026-01-29,8500.0
2026-01-30,6500.0
2026-05-29,9200.0
2026-05-30,9150.0
2026-06-01,9000.0
2026-06-02,9000.0
2026-06-03,9090.0
2026-06-04,9150.0
2026-06-05,9125.0
2026-06-06,9125.0
2026-06-08,9130.0
2026-06-09,9010.0
2026-06-10,9000.0
2026-06-11,9000.0
2026-06-12,8750.0
2026-06-13,8550.0
2026-06-15,8750.0
2026-06-16,8825.0
2026-06-17,8500.0
2026-06-18,8505.0
2026-06-19,8605.0
2026-06-20,8500.0
2026-06-22,8460.0
2026-06-23,8650.0
2026-06-24,8655.0
2026-06-25,8450.0
2026-06-27,8500.0
2026-06-29,8480.0
2026-07-01,8400.0
2026-07-02,8350.0
2026-09-19,9125.0
