date,price
2025-01-03,6350.0
2025-01-04,6300.0
2025-01-06,6225.0
2025-01-07,6600.0
2025-01-08,6500.0
2025-01-09,6500.0
2025-01-10,6400.0
2025-01-11,6205.0
2025-01-13,6550.0
2025-01-15,5805.0
2025-01-16,6500.0
2025-01-17,6500.0
2025-01-18,6510.0
2025-01-21,6400.0
2025-01-22,6405.0
2025-01-23,6300.0
2025-01-24,6300.0
2025-01-25,6150.0
2025-01-27,5350.0
2025-01-28,6100.0
2025-01-29,6150.0
2025-02-01,6100.0
2025-02-03,5800.0
2025-02-04,5800.0
2025-02-05,5725.0
2025-02-06,6175.0
2025-02-07,6175.0
2025-02-08,5515.0
2025-02-10,6250.0
2025-02-11,6000.0
2025-02-12,5625.0
2025-02-13,4900.0
2025-02-15,5900.0
2025-02-19,6050.0
2025-02-27,5905.0
2025-06-14,7000.0
2025-06-17,6800.0
2025-06-19,6600.0
2025-06-20,6600.0
2025-06-21,6600.0
2025-06-26,6615.0
2025-06-27,6750.0
2025-06-28,6755.0
2025-07-01,6650.0
2025-07-02,6405.0
2025-07-03,6615.0
2025-07-04,6525.0
2025-07-05,6675.0
2025-07-07,6335.0
2025-07-08,6715.0
2025-07-09,6625.0
2025-07-10,4100.0
2025-07-11,6450.0
2025-07-12,6475.0
2025-07-14,6575.0
2025-07-15,6400.0
2025-07-16,6450.0
2025-07-17,5450.0
2025-07-18,6600.0
2025-07-21,6165.0
2025-07-22,6200.0
2025-10-01,6725.0
2025-10-06,6800.0
2025-10-07,6700.0
2025-10-08,6700.0
2025-10-09,6600.0
2025-10-10,6550.0
2025-10-11,6850.0
2025-10-13,6505.0
2025-10-14,6450.0
2025-10-15,6500.0
2025-10-16,6410.0
2025-10-17,6425.0
2025-10-27,6175.0
2025-10-29,6375.0
2025-10-30,6300.0
2025-11-01,6300.0
2025-11-03,6350.0
2025-11-04,6400.0
2025-11-06,6475.0
2025-11-07,6500.0
2025-11-08,6525.0
2025-11-10,6750.0
2025-11-11,6900.0
2025-11-12,6850.0
2025-11-13,6950.0
2025-11-14,6750.0
2025-11-15,6615.0
2025-11-17,6600.0
2025-11-18,7350.0
2025-11-19,7350.0
2025-11-20,7350.0
2025-11-21,7355.0
2025-11-22,7450.0
2025-11-24,7550.0
2025-11-25,7475.0
2025-11-26,7525.0
2025-11-27,7450.0
2025-11-28,7400.0
2025-11-29,7450.0
2025-12-01,7400.0
2025-12-02,7650.0
2025-12-03,7650.0
2025-12-04,7975.0
2025-12-05,7325.0
2025-12-06,7400.0
2025-12-08,7450.0
2025-12-09,7505.0
2025-12-10,7550.0
2025-12-11,7525.0
2025-12-12,7600.0
2025-12-13,7550.0
2025-12-15,7715.0
2025-12-16,7625.0
2025-12-17,7550.0
2025-12-18,7650.0
2025-12-19,7550.0
2025-12-20,7550.0
2025-12-22,7550.0
2025-12-23,7650.0
2025-12-24,7850.0
2025-12-26,7650.0
2025-12-27,7250.0
2025-12-29,7350.0
2025-12-30,7550.0
2025-12-31,7825.0
2026-01-01,7650.0
2026-01-02,7805.0
2026-01-03,7550.0
2026-01-05,7550.0
2026-01-06,7600.0
2026-01-07,7800.0
2026-01-08,7505.0
2026-01-09,7550.0
2026-01-10,7225.0
2026-01-12,7300.0
2026-01-13,6400.0
2026-01-16,7400.0
2026-01-17,7200.0
2026-01-29,8350.0
2026-05-29,8750.0
2026-06-01,8650.0
2026-06-04,9000.0
2026-06-10,8775.0
2026-06-11,8750.0
2026-06-12,8650.0
2026-06-13,8750.0
2026-06-15,8575.0
2026-06-17,8300.0
2026-06-18,8250.0
2026-06-19,8450.0
2026-06-20,8350.0
2026-06-22,8325.0
2026-06-23,8550.0
2026-06-24,8350.0
2026-06-25,8300.0
2026-06-29,8300.0
2026-07-01,8300.0
2026-07-02,8250.0
