date,price
2025-01-01,4875.0
2025-01-02,5190.0
2025-01-03,5125.0
2025-01-04,5070.0
2025-01-06,5260.0
2025-01-07,5245.0
2025-01-08,5090.0
2025-01-09,5060.0
2025-01-10,5015.0
2025-01-11,5015.0
2025-01-13,4975.0
2025-01-15,4825.0
2025-01-16,5000.0
2025-01-18,5005.0
2025-01-20,5150.0
2025-01-21,5300.0
2025-01-22,5295.0
2025-01-23,5090.0
2025-01-24,5220.0
2025-01-25,4900.0
2025-01-27,5035.0
2025-01-28,5175.0
2025-01-29,4785.0
2025-01-30,5155.0
2025-01-31,5060.0
2025-02-08,5170.0
2025-02-10,5135.0
2025-02-11,5225.0
2025-02-12,5160.0
2025-02-13,4750.0
2025-02-14,5185.0
2025-02-18,4875.0
2025-02-19,4995.0
2025-02-22,5075.0
2025-02-24,4870.0
2025-02-25,4950.0
2025-02-28,4680.0
2025-03-01,4900.0
2025-03-03,4900.0
2025-03-11,4910.0
2025-03-15,4905.0
2025-03-21,4835.0
2025-03-22,4800.0
2025-04-02,4820.0
2025-04-10,4875.0
2025-04-11,4825.0
2025-04-14,4625.0
2025-04-16,4815.0
2025-04-17,4700.0
2025-04-18,4690.0
2025-04-21,4550.0
2025-04-22,4685.0
2025-04-24,4465.0
2025-04-25,4460.0
2025-04-28,4625.0
2025-04-29,4805.0
2025-05-03,4485.0
2025-05-06,4525.0
2025-05-08,4550.0
2025-05-09,4365.0
2025-05-12,4710.0
2025-05-14,4655.0
2025-05-16,4725.0
2025-05-17,4410.0
2025-05-21,4865.0
2025-05-22,4700.0
2025-05-23,4460.0
2025-05-24,4610.0
2025-05-28,4700.0
2025-05-29,4485.0
2025-06-02,4670.0
2025-06-03,4800.0
2025-06-04,4570.0
2025-06-05,4900.0
2025-06-10,4870.0
2025-06-11,4670.0
2025-06-12,4720.0
2025-06-19,4200.0
2025-06-20,4475.0
2025-06-23,4560.0
2025-06-25,4675.0
2025-06-26,4985.0
2025-06-28,4595.0
2025-07-01,5290.0
2025-07-02,4800.0
2025-07-04,4780.0
2025-07-05,4710.0
2025-07-07,4390.0
2025-07-09,4615.0
2025-07-11,4730.0
2025-07-14,4605.0
2025-07-15,4625.0
2025-07-16,4800.0
2025-07-18,4700.0
2025-07-21,4855.0
2025-07-22,5000.0
2025-07-24,4935.0
2025-07-25,4965.0
2025-07-26,4925.0
2025-07-28,4870.0
2025-07-29,5060.0
2025-07-30,4760.0
2025-08-01,4780.0
2025-08-02,4725.0
2025-08-04,4595.0
2025-08-05,4805.0
2025-08-08,5005.0
2025-08-11,4725.0
2025-08-12,4770.0
2025-08-19,4720.0
2025-08-26,4850.0
2025-08-27,4775.0
2025-08-28,4500.0
2025-09-02,4285.0
2025-09-03,4150.0
2025-09-05,4650.0
2025-09-19,4415.0
2025-09-23,4125.0
2025-10-04,4120.0
2025-10-06,4250.0
2025-10-08,3910.0
2025-10-14,4075.0
2025-10-16,3925.0
2025-10-18,4010.0
2025-10-29,4000.0
2025-11-03,4550.0
2025-11-11,4640.0
2025-11-12,4550.0
2025-11-13,5500.0
2025-11-14,4825.0
2025-11-15,4950.0
2025-11-19,5525.0
2025-12-01,5350.0
2025-12-02,5820.0
2025-12-03,5780.0
2025-12-04,5780.0
2025-12-05,6110.0
2025-12-06,6075.0
2025-12-08,6185.0
2025-12-09,5965.0
2025-12-10,6205.0
2025-12-11,5930.0
2025-12-12,5955.0
2025-12-13,6000.0
2025-12-17,6260.0
2025-12-23,6060.0
2025-12-24,6255.0
2025-12-26,6170.0
2025-12-29,5750.0
2025-12-30,6035.0
2025-12-31,5915.0
2026-01-01,5900.0
2026-01-05,6395.0
2026-01-06,6220.0
2026-01-07,6450.0
2026-01-12,5950.0
2026-01-16,6005.0
2026-01-17,6135.0
2026-01-19,6075.0
2026-01-27,6485.0
2026-01-28,6535.0
2026-01-30,6590.0
2026-02-02,6600.0
2026-02-03,6925.0
2026-02-13,6500.0
2026-02-16,6435.0
2026-03-10,6430.0
2026-03-13,5840.0
2026-03-16,6325.0
2026-04-03,6335.0
2026-04-06,5900.0
2026-04-07,5575.0
2026-04-15,6760.0
2026-04-16,6600.0
2026-04-28,5900.0
2026-05-04,5885.0
2026-05-06,5635.0
2026-05-08,6900.0
2026-05-12,6500.0
2026-05-13,6200.0
2026-05-18,6900.0
2026-05-25,6600.0
2026-05-26,5925.0
2026-05-27,6875.0
2026-05-28,6215.0
2026-05-29,6235.0
2026-06-02,6175.0
2026-06-03,5915.0
2026-06-04,6535.0
2026-06-05,6325.0
2026-06-08,6500.0
2026-06-09,6350.0
2026-06-10,6715.0
2026-06-16,6540.0
2026-06-18,6625.0
2026-06-19,6310.0
2026-06-23,6360.0
2026-06-29,6305.0
2026-06-30,7000.0
2026-07-01,6700.0
2026-07-02,6625.0
2026-07-03,5935.0
2026-07-09,5335.0
2026-07-10,6110.0
2026-07-11,6370.0
2026-07-17,6425.0
2026-07-22,6385.0
2026-08-03,6235.0
2026-08-04,5735.0
