date,price
2025-01-01,5450.0
2025-01-02,5350.0
2025-01-03,5600.0
2025-01-04,5450.0
2025-01-06,5300.0
2025-01-07,5275.0
2025-01-08,5275.0
2025-01-09,5250.0
2025-01-10,5550.0
2025-01-11,5320.0
2025-01-13,5400.0
2025-01-15,5350.0
2025-01-16,5250.0
2025-01-17,5350.0
2025-01-18,5355.0
2025-01-20,5400.0
2025-01-21,5350.0
2025-01-22,5250.0
2025-01-23,5325.0
2025-01-24,3750.0
2025-01-25,3500.0
2025-01-27,5350.0
2025-01-28,3625.0
2025-01-29,5000.0
2025-01-30,5150.0
2025-01-31,3750.0
2025-02-01,3955.0
2025-02-03,4000.0
2025-02-04,4150.0
2025-02-05,5300.0
2025-02-06,5225.0
2025-02-07,4300.0
2025-02-08,4450.0
2025-02-10,4500.0
2025-02-11,5275.0
2025-02-12,4575.0
2025-02-13,5200.0
2025-02-14,4500.0
2025-02-15,5175.0
2025-02-17,4500.0
2025-02-18,4475.0
2025-02-19,4500.0
2025-02-20,4525.0
2025-02-21,4525.0
2025-02-22,4100.0
2025-02-24,5300.0
2025-02-25,4500.0
2025-02-27,5300.0
2025-02-28,5250.0
2025-03-01,4500.0
2025-03-03,5275.0
2025-03-04,5100.0
2025-03-05,5150.0
2025-03-06,5300.0
2025-03-07,4050.0
2025-03-08,5250.0
2025-03-10,5200.0
2025-03-11,4550.0
2025-03-12,4705.0
2025-03-13,5150.0
2025-03-15,5150.0
2025-03-17,5100.0
2025-03-18,4725.0
2025-03-19,5150.0
2025-03-20,5150.0
2025-03-21,5200.0
2025-04-01,4250.0
2025-04-02,5100.0
2025-04-03,5150.0
2025-04-04,4500.0
2025-04-05,5150.0
2025-04-07,5150.0
2025-04-08,5200.0
2025-04-09,4425.0
2025-04-10,5175.0
2025-04-11,5150.0
2025-04-14,5175.0
2025-04-15,5100.0
2025-04-16,5100.0
2025-04-17,5100.0
2025-04-18,4500.0
2025-04-19,5125.0
2025-04-21,5125.0
2025-04-22,5110.0
2025-04-23,4800.0
2025-04-24,4500.0
2025-04-25,4300.0
2025-04-26,4250.0
2025-04-28,5100.0
2025-04-29,5050.0
2025-04-30,5100.0
2025-05-01,5100.0
2025-05-02,5050.0
2025-05-03,5050.0
2025-05-05,5050.0
2025-05-06,5025.0
2025-05-15,4500.0
2025-05-16,5100.0
2025-05-17,5075.0
2025-05-19,5100.0
2025-05-20,4655.0
2025-05-21,4500.0
2025-05-22,5100.0
2025-05-23,4800.0
2025-05-24,4500.0
2025-05-26,5200.0
2025-05-27,4700.0
2025-05-28,4500.0
2025-05-29,5700.0
2025-05-30,5750.0
2025-05-31,5850.0
2025-06-02,5600.0
2025-06-03,5250.0
2025-06-04,4075.0
2025-06-05,5450.0
2025-06-07,5350.0
2025-06-09,5450.0
2025-06-10,4200.0
2025-06-11,5750.0
2025-06-12,5700.0
2025-06-13,4225.0
2025-06-14,4450.0
2025-06-16,4075.0
2025-06-17,4175.0
2025-06-18,5850.0
2025-06-19,5750.0
2025-06-20,5750.0
2025-06-21,5700.0
